"reporting_year","station_eu_code","date","C6H6"
2020,"IT2205A",2020-01-01,4.162
2020,"IT2205A",2020-01-02,3.751
2020,"IT2205A",2020-01-03,0.443
2020,"IT2205A",2020-01-04,1.17
2020,"IT2205A",2020-01-05,1.269
2020,"IT2205A",2020-01-06,0.484
2020,"IT2205A",2020-01-07,4.113
2020,"IT2205A",2020-01-08,1.19
2020,"IT2205A",2020-01-09,1.061
2020,"IT2205A",2020-01-10,1.151
2020,"IT2205A",2020-01-11,0.872
2020,"IT2205A",2020-01-12,0.873
2020,"IT2205A",2020-01-13,0.87
2020,"IT2205A",2020-01-14,0.589
2020,"IT2205A",2020-01-15,0.297
2020,"IT2205A",2020-01-16,1.091
2020,"IT2205A",2020-01-17,2.979
2020,"IT2205A",2020-01-18,0.328
2020,"IT2205A",2020-01-19,0.044
2020,"IT2205A",2020-01-20,0.063
2020,"IT2205A",2020-01-21,0.239
2020,"IT2205A",2020-01-22,0.446
2020,"IT2205A",2020-01-23,0.465
2020,"IT2205A",2020-01-24,0.525
2020,"IT2205A",2020-01-25,0.59
2020,"IT2205A",2020-01-26,0.608
2020,"IT2205A",2020-01-27,0.58
2020,"IT2205A",2020-01-28,0.55
2020,"IT2205A",2020-01-29,0.482
2020,"IT2205A",2020-01-30,2.182
2020,"IT2205A",2020-01-31,0.651
2020,"IT2205A",2020-02-01,0.491
2020,"IT2205A",2020-02-02,0.425
2020,"IT2205A",2020-02-03,0.327
2020,"IT2205A",2020-02-04,0.35
2020,"IT2205A",2020-02-05,0.337
2020,"IT2205A",2020-02-06,0.26
2020,"IT2205A",2020-02-07,0.31
2020,"IT2205A",2020-02-10,0.702
2020,"IT2205A",2020-02-11,0.294
2020,"IT2205A",2020-02-12,0.306
2020,"IT2205A",2020-02-13,0.323
2020,"IT2205A",2020-02-14,0.219
2020,"IT2205A",2020-02-15,0.22
2020,"IT2205A",2020-02-16,0.254
2020,"IT2205A",2020-02-17,0.327
2020,"IT2205A",2020-02-18,0.29
2020,"IT2205A",2020-02-19,0.321
2020,"IT2205A",2020-02-20,0.245
