"reporting_year","station_eu_code","date","NO2"
2020,"IT2205A",2020-01-01,4.547
2020,"IT2205A",2020-01-02,3.59
2020,"IT2205A",2020-01-03,6.342
2020,"IT2205A",2020-01-04,4.245
2020,"IT2205A",2020-01-05,2.051
2020,"IT2205A",2020-01-06,1.687
2020,"IT2205A",2020-01-07,3.281
2020,"IT2205A",2020-01-08,4.035
2020,"IT2205A",2020-01-09,7.504
2020,"IT2205A",2020-01-10,4.846
2020,"IT2205A",2020-01-11,8.819
2020,"IT2205A",2020-01-12,2.64
2020,"IT2205A",2020-01-13,8.244
2020,"IT2205A",2020-01-14,7.228
2020,"IT2205A",2020-01-15,8.355
2020,"IT2205A",2020-01-16,8.536
2020,"IT2205A",2020-01-17,4.995
2020,"IT2205A",2020-01-18,2.651
2020,"IT2205A",2020-01-19,4.661
2020,"IT2205A",2020-01-20,2.825
2020,"IT2205A",2020-01-21,2.478
2020,"IT2205A",2020-01-22,7.112
2020,"IT2205A",2020-01-23,7.761
2020,"IT2205A",2020-01-24,11.305
2020,"IT2205A",2020-01-25,6.698
2020,"IT2205A",2020-01-26,9.459
2020,"IT2205A",2020-01-27,4.15
2020,"IT2205A",2020-01-28,1.492
2020,"IT2205A",2020-01-29,3.07
2020,"IT2205A",2020-01-30,6.152
2020,"IT2205A",2020-01-31,2.562
2020,"IT2205A",2020-02-01,4.822
2020,"IT2205A",2020-02-02,3.335
2020,"IT2205A",2020-02-03,3.166
2020,"IT2205A",2020-02-04,3.455
2020,"IT2205A",2020-02-05,2.191
2020,"IT2205A",2020-02-06,2.6
2020,"IT2205A",2020-02-07,5.383
2020,"IT2205A",2020-02-08,4.751
2020,"IT2205A",2020-02-09,3.72
2020,"IT2205A",2020-02-10,3.068
2020,"IT2205A",2020-02-11,3.26
2020,"IT2205A",2020-02-12,4.275
2020,"IT2205A",2020-02-13,5.547
2020,"IT2205A",2020-02-14,2.813
2020,"IT2205A",2020-02-15,3.251
2020,"IT2205A",2020-02-16,5.206
2020,"IT2205A",2020-02-17,6.531
2020,"IT2205A",2020-02-18,6.035
2020,"IT2205A",2020-02-19,3.3
2020,"IT2205A",2020-02-20,2.968
2020,"IT2205A",2020-02-21,5.551
2020,"IT2205A",2020-02-22,1.802
2020,"IT2205A",2020-02-23,4.219
2020,"IT2205A",2020-02-24,6.163
2020,"IT2205A",2020-02-25,2.277
2020,"IT2205A",2020-02-26,2.503
2020,"IT2205A",2020-02-27,2.421
2020,"IT2205A",2020-02-28,2.965
2020,"IT2205A",2020-02-29,5.784
2020,"IT2205A",2020-03-01,2.517
2020,"IT2205A",2020-03-02,1.37
2020,"IT2205A",2020-03-03,2.396
2020,"IT2205A",2020-03-04,2.936
2020,"IT2205A",2020-03-05,3.212
2020,"IT2205A",2020-03-06,2.85
2020,"IT2205A",2020-03-07,2.206
2020,"IT2205A",2020-03-08,3.331
2020,"IT2205A",2020-03-09,7.003
2020,"IT2205A",2020-03-10,3.915
2020,"IT2205A",2020-03-11,5.381
2020,"IT2205A",2020-03-12,3.115
2020,"IT2205A",2020-03-13,2.406
2020,"IT2205A",2020-03-14,5.619
2020,"IT2205A",2020-03-15,2.349
2020,"IT2205A",2020-03-16,2.513
2020,"IT2205A",2020-03-17,3.626
2020,"IT2205A",2020-03-18,3.74
2020,"IT2205A",2020-03-19,5.954
2020,"IT2205A",2020-03-20,4.229
2020,"IT2205A",2020-03-21,4.672
2020,"IT2205A",2020-03-22,3.205
2020,"IT2205A",2020-03-23,2.072
2020,"IT2205A",2020-03-24,2.198
2020,"IT2205A",2020-03-25,2.559
2020,"IT2205A",2020-03-26,2.139
2020,"IT2205A",2020-03-27,1.93
2020,"IT2205A",2020-03-28,3.289
2020,"IT2205A",2020-03-29,3.288
2020,"IT2205A",2020-03-30,3.123
2020,"IT2205A",2020-03-31,3.325
2020,"IT2205A",2020-04-01,1.531
2020,"IT2205A",2020-04-02,3.566
2020,"IT2205A",2020-04-03,2.961
2020,"IT2205A",2020-04-04,2.725
2020,"IT2205A",2020-04-05,2.228
2020,"IT2205A",2020-04-06,2.617
2020,"IT2205A",2020-04-07,1.763
2020,"IT2205A",2020-04-08,3.272
2020,"IT2205A",2020-04-09,3.771
2020,"IT2205A",2020-04-10,4.49
2020,"IT2205A",2020-04-11,5.535
2020,"IT2205A",2020-04-12,4.427
2020,"IT2205A",2020-04-13,2.934
2020,"IT2205A",2020-04-14,2.18
2020,"IT2205A",2020-04-15,1.921
2020,"IT2205A",2020-04-16,3.908
2020,"IT2205A",2020-04-17,3.841
2020,"IT2205A",2020-04-18,2.899
2020,"IT2205A",2020-04-19,1.987
2020,"IT2205A",2020-04-20,3.275
2020,"IT2205A",2020-04-21,1.56
2020,"IT2205A",2020-04-22,2.688
2020,"IT2205A",2020-04-23,1.96
2020,"IT2205A",2020-04-24,2.609
2020,"IT2205A",2020-04-25,3.185
2020,"IT2205A",2020-04-26,2.873
2020,"IT2205A",2020-04-27,50.399
2020,"IT2205A",2020-04-28,7.855
2020,"IT2205A",2020-04-29,2.995
2020,"IT2205A",2020-04-30,2.734
2020,"IT2205A",2020-05-01,2.493
2020,"IT2205A",2020-05-02,2.051
2020,"IT2205A",2020-05-03,2.199
2020,"IT2205A",2020-05-04,2.818
2020,"IT2205A",2020-05-05,3.492
2020,"IT2205A",2020-05-06,1.805
2020,"IT2205A",2020-05-07,1.479
2020,"IT2205A",2020-05-08,3.63
2020,"IT2205A",2020-05-09,3.499
2020,"IT2205A",2020-05-10,3.533
2020,"IT2205A",2020-05-11,2.655
2020,"IT2205A",2020-05-12,2.032
2020,"IT2205A",2020-05-13,3.66
2020,"IT2205A",2020-05-14,2.12
