"reporting_year","station_eu_code","date","NOX"
2020,"IT2205A",2020-01-01,8.034
2020,"IT2205A",2020-01-02,7.127
2020,"IT2205A",2020-01-03,9.908
2020,"IT2205A",2020-01-04,6.903
2020,"IT2205A",2020-01-05,4.567
2020,"IT2205A",2020-01-06,4.42
2020,"IT2205A",2020-01-07,7.159
2020,"IT2205A",2020-01-08,6.554
2020,"IT2205A",2020-01-09,11.846
2020,"IT2205A",2020-01-10,8.877
2020,"IT2205A",2020-01-11,13.09
2020,"IT2205A",2020-01-12,5.742
2020,"IT2205A",2020-01-13,11.885
2020,"IT2205A",2020-01-14,11.236
2020,"IT2205A",2020-01-15,12.08
2020,"IT2205A",2020-01-16,13.083
2020,"IT2205A",2020-01-17,8.513
2020,"IT2205A",2020-01-18,5.487
2020,"IT2205A",2020-01-19,8.785
2020,"IT2205A",2020-01-20,5.622
2020,"IT2205A",2020-01-21,12.564
2020,"IT2205A",2020-01-22,11.837
2020,"IT2205A",2020-01-23,12.263
2020,"IT2205A",2020-01-24,16.697
2020,"IT2205A",2020-01-25,10.95
2020,"IT2205A",2020-01-26,14.354
2020,"IT2205A",2020-01-27,6.852
2020,"IT2205A",2020-01-28,4.266
2020,"IT2205A",2020-01-29,6.001
2020,"IT2205A",2020-01-30,10.535
2020,"IT2205A",2020-01-31,5.643
2020,"IT2205A",2020-02-01,8.371
2020,"IT2205A",2020-02-02,6.775
2020,"IT2205A",2020-02-03,6.374
2020,"IT2205A",2020-02-04,6.692
2020,"IT2205A",2020-02-05,4.65
2020,"IT2205A",2020-02-06,4.754
2020,"IT2205A",2020-02-07,8.248
2020,"IT2205A",2020-02-08,8.641
2020,"IT2205A",2020-02-09,7.023
2020,"IT2205A",2020-02-10,6.017
2020,"IT2205A",2020-02-11,6.13
2020,"IT2205A",2020-02-12,7.332
2020,"IT2205A",2020-02-13,8.701
2020,"IT2205A",2020-02-14,5.503
2020,"IT2205A",2020-02-15,6.042
2020,"IT2205A",2020-02-16,8.766
2020,"IT2205A",2020-02-17,10.133
2020,"IT2205A",2020-02-18,9.288
2020,"IT2205A",2020-02-19,6.117
2020,"IT2205A",2020-02-20,5.155
2020,"IT2205A",2020-02-21,9.086
2020,"IT2205A",2020-02-22,3.86
2020,"IT2205A",2020-02-23,7.888
2020,"IT2205A",2020-02-24,9.604
2020,"IT2205A",2020-02-25,5.468
2020,"IT2205A",2020-02-26,5.527
2020,"IT2205A",2020-02-27,5.738
2020,"IT2205A",2020-02-28,6.301
2020,"IT2205A",2020-02-29,9.626
2020,"IT2205A",2020-03-01,5.627
2020,"IT2205A",2020-03-02,4.135
2020,"IT2205A",2020-03-03,5.487
2020,"IT2205A",2020-03-04,6.37
2020,"IT2205A",2020-03-05,6.235
2020,"IT2205A",2020-03-06,5.776
2020,"IT2205A",2020-03-07,5.281
2020,"IT2205A",2020-03-08,6.305
2020,"IT2205A",2020-03-09,11.804
