"reporting_year","station_eu_code","date","O3"
2020,"IT2205A",2020-01-01,69.428
2020,"IT2205A",2020-01-02,73.277
2020,"IT2205A",2020-01-03,69.49
2020,"IT2205A",2020-01-04,77.56
2020,"IT2205A",2020-01-05,74.415
2020,"IT2205A",2020-01-06,76.278
2020,"IT2205A",2020-01-07,77.367
2020,"IT2205A",2020-01-08,69.972
2020,"IT2205A",2020-01-09,65.599
2020,"IT2205A",2020-01-10,74.422
2020,"IT2205A",2020-01-11,66.491
2020,"IT2205A",2020-01-12,68.845
2020,"IT2205A",2020-01-13,53.948
2020,"IT2205A",2020-01-14,66.212
2020,"IT2205A",2020-01-15,58.14
2020,"IT2205A",2020-01-16,64.514
2020,"IT2205A",2020-01-17,77.935
2020,"IT2205A",2020-01-18,84.319
2020,"IT2205A",2020-01-19,70.938
2020,"IT2205A",2020-01-20,65.418
2020,"IT2205A",2020-01-21,66.468
2020,"IT2205A",2020-01-22,54.733
2020,"IT2205A",2020-01-23,59.256
2020,"IT2205A",2020-01-24,60.599
2020,"IT2205A",2020-01-25,71.988
2020,"IT2205A",2020-01-26,51.06
2020,"IT2205A",2020-01-27,70.363
2020,"IT2205A",2020-01-28,83.438
2020,"IT2205A",2020-01-29,78.067
2020,"IT2205A",2020-01-30,70.515
2020,"IT2205A",2020-01-31,75.23
2020,"IT2205A",2020-02-01,57.745
2020,"IT2205A",2020-02-02,71.467
2020,"IT2205A",2020-02-03,68.681
2020,"IT2205A",2020-02-04,67.739
2020,"IT2205A",2020-02-05,75.564
2020,"IT2205A",2020-02-06,75.406
2020,"IT2205A",2020-02-07,75.903
2020,"IT2205A",2020-02-08,74.258
2020,"IT2205A",2020-02-09,77.451
2020,"IT2205A",2020-02-10,89.129
2020,"IT2205A",2020-02-11,78.24
2020,"IT2205A",2020-02-12,74.697
2020,"IT2205A",2020-02-13,71.956
2020,"IT2205A",2020-02-14,82.287
2020,"IT2205A",2020-02-15,81.483
2020,"IT2205A",2020-02-16,76.565
2020,"IT2205A",2020-02-17,78.85
2020,"IT2205A",2020-02-18,85.884
2020,"IT2205A",2020-02-19,84.24
2020,"IT2205A",2020-02-20,82.563
2020,"IT2205A",2020-02-21,78.75
2020,"IT2205A",2020-02-22,82.955
2020,"IT2205A",2020-02-23,82.811
2020,"IT2205A",2020-02-24,80.878
2020,"IT2205A",2020-02-25,74.177
2020,"IT2205A",2020-02-26,90.975
2020,"IT2205A",2020-02-27,89.697
2020,"IT2205A",2020-02-28,82.194
2020,"IT2205A",2020-02-29,81.339
2020,"IT2205A",2020-03-01,92.2
2020,"IT2205A",2020-03-02,85.383
2020,"IT2205A",2020-03-03,85.577
2020,"IT2205A",2020-03-04,82.709
2020,"IT2205A",2020-03-05,81.112
2020,"IT2205A",2020-03-06,89.894
2020,"IT2205A",2020-03-07,81.974
