"reporting_year","station_eu_code","date","PM10"
2020,"IT2205A",2020-01-01,15.62
2020,"IT2205A",2020-01-02,10.48
2020,"IT2205A",2020-01-03,8.66
2020,"IT2205A",2020-01-04,12.31
2020,"IT2205A",2020-01-05,12.49
2020,"IT2205A",2020-01-06,9.13
2020,"IT2205A",2020-01-07,8.08
2020,"IT2205A",2020-01-08,13.25
2020,"IT2205A",2020-01-09,14.94
2020,"IT2205A",2020-01-10,13.12
2020,"IT2205A",2020-01-11,16.5
2020,"IT2205A",2020-01-12,15.98
2020,"IT2205A",2020-01-13,13.37
2020,"IT2205A",2020-01-14,11.93
2020,"IT2205A",2020-01-15,19.15
2020,"IT2205A",2020-01-16,19.13
2020,"IT2205A",2020-01-17,15.21
2020,"IT2205A",2020-01-18,18.53
2020,"IT2205A",2020-01-19,7.51
2020,"IT2205A",2020-01-20,11.27
2020,"IT2205A",2020-01-21,0.44
2020,"IT2205A",2020-01-22,22.18
2020,"IT2205A",2020-01-23,18.42
2020,"IT2205A",2020-01-24,22.73
2020,"IT2205A",2020-01-25,19.1
2020,"IT2205A",2020-01-26,25.15
2020,"IT2205A",2020-01-27,14.71
2020,"IT2205A",2020-01-28,14.05
2020,"IT2205A",2020-01-29,12.99
2020,"IT2205A",2020-01-30,0.46
2020,"IT2205A",2020-01-31,15.53
2020,"IT2205A",2020-02-01,9.93
2020,"IT2205A",2020-02-02,10.59
2020,"IT2205A",2020-02-03,8.37
2020,"IT2205A",2020-02-04,17.47
2020,"IT2205A",2020-02-05,11.01
2020,"IT2205A",2020-02-06,12.73
2020,"IT2205A",2020-02-07,8.66
2020,"IT2205A",2020-02-08,9.05
2020,"IT2205A",2020-02-09,12.39
2020,"IT2205A",2020-02-10,13.33
2020,"IT2205A",2020-02-11,13.29
2020,"IT2205A",2020-02-12,21.62
2020,"IT2205A",2020-02-13,19.43
2020,"IT2205A",2020-02-14,9.42
2020,"IT2205A",2020-02-15,8.37
2020,"IT2205A",2020-02-16,8.14
2020,"IT2205A",2020-02-17,11.6
2020,"IT2205A",2020-02-18,12
2020,"IT2205A",2020-02-19,14.31
2020,"IT2205A",2020-02-20,9.57
2020,"IT2205A",2020-02-21,8.15
2020,"IT2205A",2020-02-22,10.75
2020,"IT2205A",2020-02-23,11.1
2020,"IT2205A",2020-02-24,14.71
2020,"IT2205A",2020-02-25,10.62
2020,"IT2205A",2020-02-26,10.94
2020,"IT2205A",2020-02-27,8.3
2020,"IT2205A",2020-02-28,9.8
2020,"IT2205A",2020-02-29,13.3
2020,"IT2205A",2020-03-01,19.48
2020,"IT2205A",2020-03-02,12.87
2020,"IT2205A",2020-03-03,10.23
2020,"IT2205A",2020-03-04,11.38
2020,"IT2205A",2020-03-05,11.11
2020,"IT2205A",2020-03-06,9.27
2020,"IT2205A",2020-03-07,10.35
2020,"IT2205A",2020-03-08,7
2020,"IT2205A",2020-03-09,11.44
2020,"IT2205A",2020-03-10,14.91
2020,"IT2205A",2020-03-11,11.66
2020,"IT2205A",2020-03-12,11.06
2020,"IT2205A",2020-03-13,9.14
2020,"IT2205A",2020-03-14,12.58
2020,"IT2205A",2020-03-15,14.58
2020,"IT2205A",2020-03-16,12.29
2020,"IT2205A",2020-03-17,9.23
2020,"IT2205A",2020-03-18,12.96
2020,"IT2205A",2020-03-19,25.39
2020,"IT2205A",2020-03-20,19.2
2020,"IT2205A",2020-03-21,20.01
2020,"IT2205A",2020-03-22,22.11
2020,"IT2205A",2020-03-23,12.61
2020,"IT2205A",2020-03-24,10.13
2020,"IT2205A",2020-03-25,7.87
2020,"IT2205A",2020-03-26,5.32
2020,"IT2205A",2020-03-27,6.1
2020,"IT2205A",2020-03-28,7.78
2020,"IT2205A",2020-03-29,9.23
2020,"IT2205A",2020-03-30,43.77
2020,"IT2205A",2020-03-31,41.8
2020,"IT2205A",2020-04-01,10.56
2020,"IT2205A",2020-04-02,15.47
2020,"IT2205A",2020-04-03,19.44
2020,"IT2205A",2020-04-04,18.75
2020,"IT2205A",2020-04-05,18.99
2020,"IT2205A",2020-04-06,19.65
2020,"IT2205A",2020-04-07,18.78
2020,"IT2205A",2020-04-08,15.22
2020,"IT2205A",2020-04-09,17.67
2020,"IT2205A",2020-04-10,27.67
2020,"IT2205A",2020-04-11,37.55
2020,"IT2205A",2020-04-12,36.34
2020,"IT2205A",2020-04-13,21.2
2020,"IT2205A",2020-04-14,12.03
2020,"IT2205A",2020-04-15,10.72
2020,"IT2205A",2020-04-16,7.85
2020,"IT2205A",2020-04-17,10.79
2020,"IT2205A",2020-04-18,36.81
2020,"IT2205A",2020-04-19,56.83
2020,"IT2205A",2020-04-20,30.32
2020,"IT2205A",2020-04-21,18.38
2020,"IT2205A",2020-04-22,8.79
2020,"IT2205A",2020-04-23,4.54
2020,"IT2205A",2020-04-24,7.4
2020,"IT2205A",2020-04-25,11.41
2020,"IT2205A",2020-04-27,-0.53
2020,"IT2205A",2020-04-28,10.91
2020,"IT2205A",2020-04-29,7.19
2020,"IT2205A",2020-04-30,-0.77
2020,"IT2205A",2020-05-01,11.9
2020,"IT2205A",2020-05-02,13.73
2020,"IT2205A",2020-05-03,11.63
2020,"IT2205A",2020-05-04,5.14
2020,"IT2205A",2020-05-05,6.47
2020,"IT2205A",2020-05-06,9.19
2020,"IT2205A",2020-05-07,10.41
2020,"IT2205A",2020-05-08,7.3
2020,"IT2205A",2020-05-09,9.1
2020,"IT2205A",2020-05-10,10.12
2020,"IT2205A",2020-05-11,23.97
2020,"IT2205A",2020-05-12,15.04
2020,"IT2205A",2020-05-13,22.37
2020,"IT2205A",2020-05-14,54.6
2020,"IT2205A",2020-05-15,93.47
2020,"IT2205A",2020-05-16,37.8
2020,"IT2205A",2020-05-17,55.24
