"reporting_year","station_eu_code","date","SO2"
2020,"IT2205A",2020-01-01,4.655
2020,"IT2205A",2020-01-02,4.383
2020,"IT2205A",2020-01-03,9.133
2020,"IT2205A",2020-01-04,7.137
2020,"IT2205A",2020-01-05,5.843
2020,"IT2205A",2020-01-06,10.185
2020,"IT2205A",2020-01-07,14.724
2020,"IT2205A",2020-01-08,11.067
2020,"IT2205A",2020-01-09,11.71
2020,"IT2205A",2020-01-10,12.638
2020,"IT2205A",2020-01-11,20.965
2020,"IT2205A",2020-01-12,18.156
2020,"IT2205A",2020-01-13,6.376
2020,"IT2205A",2020-01-14,4.252
2020,"IT2205A",2020-01-15,4.11
2020,"IT2205A",2020-01-16,12.622
2020,"IT2205A",2020-01-17,20.403
2020,"IT2205A",2020-01-18,11.196
2020,"IT2205A",2020-01-19,1.669
2020,"IT2205A",2020-01-20,5.475
2020,"IT2205A",2020-01-21,8.037
2020,"IT2205A",2020-01-22,4.978
2020,"IT2205A",2020-01-23,8.691
2020,"IT2205A",2020-01-24,8.624
2020,"IT2205A",2020-01-25,17.707
2020,"IT2205A",2020-01-26,13.512
2020,"IT2205A",2020-01-27,8.944
2020,"IT2205A",2020-01-28,5.962
2020,"IT2205A",2020-01-29,9.139
2020,"IT2205A",2020-01-30,6.71
2020,"IT2205A",2020-01-31,5.715
2020,"IT2205A",2020-02-01,13.985
2020,"IT2205A",2020-02-02,8.874
2020,"IT2205A",2020-02-03,8.218
2020,"IT2205A",2020-02-04,5.107
2020,"IT2205A",2020-02-05,5.835
2020,"IT2205A",2020-02-06,8.708
2020,"IT2205A",2020-02-07,14.048
2020,"IT2205A",2020-02-08,12.025
2020,"IT2205A",2020-02-09,14.288
2020,"IT2205A",2020-02-10,6.63
2020,"IT2205A",2020-02-11,7.359
2020,"IT2205A",2020-02-12,8.368
2020,"IT2205A",2020-02-13,9.917
2020,"IT2205A",2020-02-14,9.739
2020,"IT2205A",2020-02-15,6.545
2020,"IT2205A",2020-02-16,5.02
2020,"IT2205A",2020-02-17,5.825
2020,"IT2205A",2020-02-18,4.141
2020,"IT2205A",2020-02-19,4.975
2020,"IT2205A",2020-02-20,9.468
2020,"IT2205A",2020-02-21,8.495
2020,"IT2205A",2020-02-22,5.786
2020,"IT2205A",2020-02-23,11.803
2020,"IT2205A",2020-02-24,8.319
2020,"IT2205A",2020-02-25,9.269
2020,"IT2205A",2020-02-26,25.132
2020,"IT2205A",2020-02-27,2.321
2020,"IT2205A",2020-02-28,13.09
