"reporting_year","station_eu_code","date","CO"
2020,"IT1334A",2020-01-01,0.461
2020,"IT1334A",2020-01-02,0.553
2020,"IT1334A",2020-01-03,0.709
2020,"IT1334A",2020-01-04,0.632
2020,"IT1334A",2020-01-05,0.247
2020,"IT1334A",2020-01-06,0.414
2020,"IT1334A",2020-01-07,0.722
2020,"IT1334A",2020-01-08,0.603
2020,"IT1334A",2020-01-09,0.628
2020,"IT1334A",2020-01-10,0.594
2020,"IT1334A",2020-01-11,0.567
2020,"IT1334A",2020-01-12,0.39
2020,"IT1334A",2020-01-13,0.684
2020,"IT1334A",2020-01-15,0.556
2020,"IT1334A",2020-01-16,0.682
2020,"IT1334A",2020-01-17,0.741
2020,"IT1334A",2020-01-18,0.443
2020,"IT1334A",2020-01-19,0.263
2020,"IT1334A",2020-01-20,0.385
2020,"IT1334A",2020-01-21,0.427
2020,"IT1334A",2020-01-22,0.598
2020,"IT1334A",2020-01-23,0.598
2020,"IT1334A",2020-01-24,0.578
2020,"IT1334A",2020-01-25,0.642
2020,"IT1334A",2020-01-26,0.553
2020,"IT1334A",2020-01-27,0.569
2020,"IT1334A",2020-01-28,0.644
2020,"IT1334A",2020-01-29,0.358
2020,"IT1334A",2020-01-30,0.355
2020,"IT1334A",2020-01-31,0.442
2020,"IT1334A",2020-02-01,0.609
2020,"IT1334A",2020-02-02,0.582
2020,"IT1334A",2020-02-03,0.852
2020,"IT1334A",2020-02-04,0.407
2020,"IT1334A",2020-02-05,0.224
2020,"IT1334A",2020-02-06,0.326
2020,"IT1334A",2020-02-07,0.434
2020,"IT1334A",2020-02-08,0.51
2020,"IT1334A",2020-02-09,0.492
2020,"IT1334A",2020-02-10,0.806
2020,"IT1334A",2020-02-11,0.517
2020,"IT1334A",2020-02-12,0.274
2020,"IT1334A",2020-02-13,0.438
2020,"IT1334A",2020-02-14,0.318
2020,"IT1334A",2020-02-15,0.312
2020,"IT1334A",2020-02-16,0.41
2020,"IT1334A",2020-02-17,0.562
2020,"IT1334A",2020-02-18,0.369
2020,"IT1334A",2020-02-19,0.284
2020,"IT1334A",2020-02-20,0.258
2020,"IT1334A",2020-02-21,0.318
2020,"IT1334A",2020-02-22,0.347
2020,"IT1334A",2020-02-23,0.398
2020,"IT1334A",2020-02-24,0.486
2020,"IT1334A",2020-02-25,0.512
2020,"IT1334A",2020-02-26,0.337
2020,"IT1334A",2020-02-27,0.338
2020,"IT1334A",2020-02-28,0.261
2020,"IT1334A",2020-02-29,0.304
2020,"IT1334A",2020-03-01,0.313
2020,"IT1334A",2020-03-02,0.404
2020,"IT1334A",2020-03-03,0.421
2020,"IT1334A",2020-03-04,0.248
2020,"IT1334A",2020-03-05,0.337
2020,"IT1334A",2020-03-06,0.411
2020,"IT1334A",2020-03-07,0.262
2020,"IT1334A",2020-03-08,0.255
2020,"IT1334A",2020-03-09,0.343
2020,"IT1334A",2020-03-10,0.279
2020,"IT1334A",2020-03-11,0.293
2020,"IT1334A",2020-03-12,0.318
2020,"IT1334A",2020-03-13,0.329
2020,"IT1334A",2020-03-14,0.229
2020,"IT1334A",2020-03-15,0.218
2020,"IT1334A",2020-03-16,0.234
2020,"IT1334A",2020-03-17,0.259
2020,"IT1334A",2020-03-18,0.279
2020,"IT1334A",2020-03-19,0.238
2020,"IT1334A",2020-03-20,0.248
2020,"IT1334A",2020-03-21,0.225
2020,"IT1334A",2020-03-22,0.198
2020,"IT1334A",2020-03-23,0.211
2020,"IT1334A",2020-03-24,0.218
2020,"IT1334A",2020-03-25,0.257
2020,"IT1334A",2020-03-26,0.3
2020,"IT1334A",2020-03-27,0.35
2020,"IT1334A",2020-03-28,0.24
2020,"IT1334A",2020-03-29,0.224
2020,"IT1334A",2020-03-30,0.241
2020,"IT1334A",2020-03-31,0.208
2020,"IT1334A",2020-04-01,0.225
2020,"IT1334A",2020-04-02,0.251
2020,"IT1334A",2020-04-03,0.252
2020,"IT1334A",2020-04-04,0.226
2020,"IT1334A",2020-04-05,0.219
2020,"IT1334A",2020-04-06,0.242
2020,"IT1334A",2020-04-07,0.234
2020,"IT1334A",2020-04-08,0.228
2020,"IT1334A",2020-04-09,0.221
2020,"IT1334A",2020-04-10,0.216
2020,"IT1334A",2020-04-11,0.206
2020,"IT1334A",2020-04-12,0.202
2020,"IT1334A",2020-04-13,0.199
2020,"IT1334A",2020-04-14,0.185
2020,"IT1334A",2020-04-15,0.211
2020,"IT1334A",2020-04-16,0.23
2020,"IT1334A",2020-04-17,0.237
2020,"IT1334A",2020-04-18,0.226
2020,"IT1334A",2020-04-19,0.21
2020,"IT1334A",2020-04-20,0.265
2020,"IT1334A",2020-04-21,0.253
2020,"IT1334A",2020-04-22,0.23
2020,"IT1334A",2020-04-23,0.24
2020,"IT1334A",2020-04-24,0.254
2020,"IT1334A",2020-04-25,0.216
2020,"IT1334A",2020-04-26,0.209
2020,"IT1334A",2020-04-27,0.242
2020,"IT1334A",2020-04-28,0.245
2020,"IT1334A",2020-04-29,0.233
2020,"IT1334A",2020-04-30,0.232
2020,"IT1334A",2020-05-01,0.189
2020,"IT1334A",2020-05-02,0.196
2020,"IT1334A",2020-05-03,0.17
2020,"IT1334A",2020-05-04,0.22
2020,"IT1334A",2020-05-05,0.242
2020,"IT1334A",2020-05-06,0.229
2020,"IT1334A",2020-05-07,0.225
2020,"IT1334A",2020-05-08,0.256
2020,"IT1334A",2020-05-09,0.25
2020,"IT1334A",2020-05-10,0.224
2020,"IT1334A",2020-05-11,0.23
2020,"IT1334A",2020-05-12,0.225
2020,"IT1334A",2020-05-13,0.251
