"reporting_year","station_eu_code","date","NO2"
2020,"IT0505A",2020-01-01,1.143
2020,"IT0505A",2020-01-02,1.345
2020,"IT0505A",2020-01-03,0.645
2020,"IT0505A",2020-01-04,1.117
2020,"IT0505A",2020-01-05,0.669
2020,"IT0505A",2020-01-06,1.813
2020,"IT0505A",2020-01-07,0.765
2020,"IT0505A",2020-01-08,1.092
2020,"IT0505A",2020-01-09,1.34
2020,"IT0505A",2020-01-10,4.873
2020,"IT0505A",2020-01-11,1.623
2020,"IT0505A",2020-01-12,1.615
2020,"IT0505A",2020-01-13,1.74
2020,"IT0505A",2020-01-14,4.754
2020,"IT0505A",2020-01-15,4.285
2020,"IT0505A",2020-01-16,2.708
2020,"IT0505A",2020-01-17,3.893
2020,"IT0505A",2020-01-18,1.952
2020,"IT0505A",2020-01-19,1.783
2020,"IT0505A",2020-01-20,2.316
2020,"IT0505A",2020-01-21,1.465
2020,"IT0505A",2020-01-22,1.057
2020,"IT0505A",2020-01-23,1.683
2020,"IT0505A",2020-01-24,2.244
2020,"IT0505A",2020-01-25,3.237
2020,"IT0505A",2020-01-26,3.567
2020,"IT0505A",2020-01-27,3.84
2020,"IT0505A",2020-01-28,4.812
2020,"IT0505A",2020-01-29,1.067
2020,"IT0505A",2020-01-30,2.48
2020,"IT0505A",2020-01-31,2.925
2020,"IT0505A",2020-02-01,5.885
2020,"IT0505A",2020-02-02,2.181
2020,"IT0505A",2020-02-03,2.127
2020,"IT0505A",2020-02-04,3.224
2020,"IT0505A",2020-02-05,1.83
2020,"IT0505A",2020-02-06,1.859
2020,"IT0505A",2020-02-07,3.254
2020,"IT0505A",2020-02-08,6.799
2020,"IT0505A",2020-02-09,12.755
2020,"IT0505A",2020-02-10,8.225
2020,"IT0505A",2020-02-11,2.566
2020,"IT0505A",2020-02-12,1.397
2020,"IT0505A",2020-02-13,5.157
2020,"IT0505A",2020-02-14,2.897
2020,"IT0505A",2020-02-15,2.387
2020,"IT0505A",2020-02-16,5.234
2020,"IT0505A",2020-02-17,9.473
2020,"IT0505A",2020-02-18,2.631
2020,"IT0505A",2020-02-19,3.009
2020,"IT0505A",2020-02-20,2.792
2020,"IT0505A",2020-02-21,2.045
2020,"IT0505A",2020-02-22,3.816
2020,"IT0505A",2020-02-23,1.845
2020,"IT0505A",2020-02-24,3.708
2020,"IT0505A",2020-02-25,10.296
2020,"IT0505A",2020-02-26,3.772
2020,"IT0505A",2020-02-27,3.276
2020,"IT0505A",2020-02-28,2.228
2020,"IT0505A",2020-02-29,6.671
2020,"IT0505A",2020-03-01,3.054
2020,"IT0505A",2020-03-02,2.75
