"reporting_year","station_eu_code","date","NOX"
2020,"IT0505A",2020-01-01,1.606
2020,"IT0505A",2020-01-02,1.742
2020,"IT0505A",2020-01-03,1.012
2020,"IT0505A",2020-01-04,1.522
2020,"IT0505A",2020-01-05,1.04
2020,"IT0505A",2020-01-06,2.42
2020,"IT0505A",2020-01-07,1.143
2020,"IT0505A",2020-01-08,1.533
2020,"IT0505A",2020-01-09,1.706
2020,"IT0505A",2020-01-10,5.689
2020,"IT0505A",2020-01-11,2.062
2020,"IT0505A",2020-01-12,2.045
2020,"IT0505A",2020-01-13,2.187
2020,"IT0505A",2020-01-14,5.498
2020,"IT0505A",2020-01-15,4.779
2020,"IT0505A",2020-01-16,3.168
2020,"IT0505A",2020-01-17,4.402
2020,"IT0505A",2020-01-18,2.344
2020,"IT0505A",2020-01-19,2.258
2020,"IT0505A",2020-01-20,2.995
2020,"IT0505A",2020-01-21,1.845
2020,"IT0505A",2020-01-22,1.407
2020,"IT0505A",2020-01-23,2.105
2020,"IT0505A",2020-01-24,2.762
2020,"IT0505A",2020-01-25,3.663
2020,"IT0505A",2020-01-26,4.063
2020,"IT0505A",2020-01-27,4.33
2020,"IT0505A",2020-01-28,5.33
2020,"IT0505A",2020-01-29,1.469
2020,"IT0505A",2020-01-30,2.931
2020,"IT0505A",2020-01-31,3.348
2020,"IT0505A",2020-02-01,6.315
2020,"IT0505A",2020-02-02,2.56
2020,"IT0505A",2020-02-03,2.675
2020,"IT0505A",2020-02-04,3.663
2020,"IT0505A",2020-02-05,2.322
2020,"IT0505A",2020-02-06,2.453
2020,"IT0505A",2020-02-07,3.854
2020,"IT0505A",2020-02-08,7.845
2020,"IT0505A",2020-02-09,13.857
2020,"IT0505A",2020-02-10,8.764
2020,"IT0505A",2020-02-11,2.997
2020,"IT0505A",2020-02-12,1.837
2020,"IT0505A",2020-02-13,5.691
2020,"IT0505A",2020-02-14,3.315
2020,"IT0505A",2020-02-15,2.891
2020,"IT0505A",2020-02-16,5.739
2020,"IT0505A",2020-02-17,9.817
2020,"IT0505A",2020-02-18,3.018
