"reporting_year","station_eu_code","date","O3"
2020,"IT0505A",2020-01-01,89.128
2020,"IT0505A",2020-01-02,88.03
2020,"IT0505A",2020-01-03,85.287
2020,"IT0505A",2020-01-04,85.12
2020,"IT0505A",2020-01-05,91.361
2020,"IT0505A",2020-01-06,90.537
2020,"IT0505A",2020-01-07,93.691
2020,"IT0505A",2020-01-08,97.105
2020,"IT0505A",2020-01-09,99.851
2020,"IT0505A",2020-01-10,85.943
2020,"IT0505A",2020-01-11,89.227
2020,"IT0505A",2020-01-12,93.68
2020,"IT0505A",2020-01-13,94.331
2020,"IT0505A",2020-01-14,84.373
2020,"IT0505A",2020-01-15,86.192
2020,"IT0505A",2020-01-16,89.244
2020,"IT0505A",2020-01-17,87.773
2020,"IT0505A",2020-01-18,84.996
2020,"IT0505A",2020-01-19,82.62
2020,"IT0505A",2020-01-20,80.233
2020,"IT0505A",2020-01-21,91.668
2020,"IT0505A",2020-01-22,95.582
2020,"IT0505A",2020-01-23,94.548
2020,"IT0505A",2020-01-24,92.323
2020,"IT0505A",2020-01-25,86.297
2020,"IT0505A",2020-01-26,71.969
2020,"IT0505A",2020-01-27,79.599
2020,"IT0505A",2020-01-28,73.519
2020,"IT0505A",2020-01-29,90.021
2020,"IT0505A",2020-01-30,85.398
2020,"IT0505A",2020-01-31,80.92
2020,"IT0505A",2020-02-01,69.99
2020,"IT0505A",2020-02-02,85.852
2020,"IT0505A",2020-02-03,65.762
2020,"IT0505A",2020-02-04,77.553
2020,"IT0505A",2020-02-05,83.383
2020,"IT0505A",2020-02-06,91.067
2020,"IT0505A",2020-02-07,90.5
2020,"IT0505A",2020-02-08,81.906
2020,"IT0505A",2020-02-09,80.679
2020,"IT0505A",2020-02-10,78.507
2020,"IT0505A",2020-02-11,87.81
2020,"IT0505A",2020-02-12,89.667
2020,"IT0505A",2020-02-13,87.235
2020,"IT0505A",2020-02-14,88.145
2020,"IT0505A",2020-02-15,92.391
2020,"IT0505A",2020-02-16,92.675
2020,"IT0505A",2020-02-17,79.916
2020,"IT0505A",2020-02-18,87.775
2020,"IT0505A",2020-02-19,88.753
2020,"IT0505A",2020-02-20,90.149
2020,"IT0505A",2020-02-21,94.093
2020,"IT0505A",2020-02-22,89.82
2020,"IT0505A",2020-02-23,80.56
2020,"IT0505A",2020-02-24,75.443
2020,"IT0505A",2020-02-25,70.555
2020,"IT0505A",2020-02-26,84.158
2020,"IT0505A",2020-02-27,88.933
2020,"IT0505A",2020-02-28,88.765
2020,"IT0505A",2020-02-29,90.981
2020,"IT0505A",2020-03-01,81.199
2020,"IT0505A",2020-03-02,78.972
2020,"IT0505A",2020-03-03,80.224
2020,"IT0505A",2020-03-04,94.416
2020,"IT0505A",2020-03-05,81.252
2020,"IT0505A",2020-03-06,79.907
2020,"IT0505A",2020-03-07,92.259
2020,"IT0505A",2020-03-08,97.644
2020,"IT0505A",2020-03-09,96.503
2020,"IT0505A",2020-03-10,86.349
2020,"IT0505A",2020-03-11,77.11
2020,"IT0505A",2020-03-12,88.843
2020,"IT0505A",2020-03-13,88.252
2020,"IT0505A",2020-03-14,96.579
2020,"IT0505A",2020-03-15,87.693
2020,"IT0505A",2020-03-16,89.407
2020,"IT0505A",2020-03-17,92.412
2020,"IT0505A",2020-03-18,98.198
2020,"IT0505A",2020-03-19,111.917
2020,"IT0505A",2020-03-20,114.197
2020,"IT0505A",2020-03-21,98.538
2020,"IT0505A",2020-03-22,92.192
2020,"IT0505A",2020-03-23,101.582
2020,"IT0505A",2020-03-24,90.114
2020,"IT0505A",2020-03-25,89.195
2020,"IT0505A",2020-03-26,89.222
2020,"IT0505A",2020-03-27,95.433
2020,"IT0505A",2020-03-28,98.785
2020,"IT0505A",2020-03-29,99.768
2020,"IT0505A",2020-03-30,83.725
2020,"IT0505A",2020-03-31,101.713
2020,"IT0505A",2020-04-01,95.827
2020,"IT0505A",2020-04-02,100.013
2020,"IT0505A",2020-04-03,110.153
2020,"IT0505A",2020-04-04,112.746
2020,"IT0505A",2020-04-05,111.525
2020,"IT0505A",2020-04-06,108.392
2020,"IT0505A",2020-04-07,117.197
2020,"IT0505A",2020-04-08,120.427
2020,"IT0505A",2020-04-09,120.828
2020,"IT0505A",2020-04-10,123.93
2020,"IT0505A",2020-04-11,128.4
2020,"IT0505A",2020-04-12,132.636
2020,"IT0505A",2020-04-13,122.399
2020,"IT0505A",2020-04-14,111.645
2020,"IT0505A",2020-04-15,103.418
2020,"IT0505A",2020-04-16,105.36
2020,"IT0505A",2020-04-17,115.075
2020,"IT0505A",2020-04-18,120.789
2020,"IT0505A",2020-04-19,116.271
2020,"IT0505A",2020-04-20,89.918
2020,"IT0505A",2020-04-21,73.307
2020,"IT0505A",2020-04-22,101.149
2020,"IT0505A",2020-04-23,111.515
2020,"IT0505A",2020-04-24,124.658
2020,"IT0505A",2020-04-25,118.811
2020,"IT0505A",2020-04-26,112.224
