"reporting_year","station_eu_code","date","PM10"
2020,"IT0499A",2020-01-01,60.967
2020,"IT0499A",2020-01-02,44.833
2020,"IT0499A",2020-01-03,40.05
2020,"IT0499A",2020-01-04,4.235
2020,"IT0499A",2020-01-05,7.702
2020,"IT0499A",2020-01-06,27.463
2020,"IT0499A",2020-01-07,20.926
2020,"IT0499A",2020-01-08,25.226
2020,"IT0499A",2020-01-09,36.63
2020,"IT0499A",2020-01-10,41.048
2020,"IT0499A",2020-01-11,35.783
2020,"IT0499A",2020-01-12,34.318
2020,"IT0499A",2020-01-13,41.486
2020,"IT0499A",2020-01-14,45.004
2020,"IT0499A",2020-01-15,41.341
2020,"IT0499A",2020-01-16,45.617
2020,"IT0499A",2020-01-17,39.55
2020,"IT0499A",2020-01-18,15.34
2020,"IT0499A",2020-01-19,10.866
2020,"IT0499A",2020-01-20,23.875
2020,"IT0499A",2020-01-21,37.561
2020,"IT0499A",2020-01-22,44.48
2020,"IT0499A",2020-01-23,43.111
2020,"IT0499A",2020-01-24,39.611
2020,"IT0499A",2020-01-25,35.015
2020,"IT0499A",2020-01-26,36.635
2020,"IT0499A",2020-01-27,48.053
2020,"IT0499A",2020-01-28,37.312
2020,"IT0499A",2020-01-29,4.67
2020,"IT0499A",2020-01-30,18.022
2020,"IT0499A",2020-01-31,27.052
2020,"IT0499A",2020-02-01,31.264
2020,"IT0499A",2020-02-02,30.044
2020,"IT0499A",2020-02-03,15.256
2020,"IT0499A",2020-02-04,11.111
2020,"IT0499A",2020-02-05,2.617
2020,"IT0499A",2020-02-06,22.843
2020,"IT0499A",2020-02-07,24.798
2020,"IT0499A",2020-02-08,25.23
2020,"IT0499A",2020-02-09,31.328
2020,"IT0499A",2020-02-10,47.795
2020,"IT0499A",2020-02-11,15.054
2020,"IT0499A",2020-02-12,4.98
2020,"IT0499A",2020-02-13,16.071
2020,"IT0499A",2020-02-14,7.324
2020,"IT0499A",2020-02-15,18.931
2020,"IT0499A",2020-02-16,20.789
2020,"IT0499A",2020-02-17,34.055
2020,"IT0499A",2020-02-18,6.908
2020,"IT0499A",2020-02-19,8.954
2020,"IT0499A",2020-02-20,11.081
2020,"IT0499A",2020-02-21,13.068
2020,"IT0499A",2020-02-22,17.748
2020,"IT0499A",2020-02-23,23.323
2020,"IT0499A",2020-02-24,15.223
2020,"IT0499A",2020-02-25,47.49
2020,"IT0499A",2020-02-26,8.557
2020,"IT0499A",2020-02-27,4.535
2020,"IT0499A",2020-02-28,10.313
2020,"IT0499A",2020-02-29,13.036
2020,"IT0499A",2020-03-01,22.863
2020,"IT0499A",2020-03-02,11.27
2020,"IT0499A",2020-03-03,3.033
2020,"IT0499A",2020-03-04,6.201
2020,"IT0499A",2020-03-05,15.38
2020,"IT0499A",2020-03-06,12.348
2020,"IT0499A",2020-03-07,3.175
2020,"IT0499A",2020-03-08,9.32
2020,"IT0499A",2020-03-09,14.338
2020,"IT0499A",2020-03-10,9.032
2020,"IT0499A",2020-03-11,15.729
2020,"IT0499A",2020-03-12,26.954
2020,"IT0499A",2020-03-13,22.435
2020,"IT0499A",2020-03-14,7.352
2020,"IT0499A",2020-03-15,7.794
2020,"IT0499A",2020-03-16,9.754
2020,"IT0499A",2020-03-17,14.192
2020,"IT0499A",2020-03-18,15.474
2020,"IT0499A",2020-03-19,17.542
2020,"IT0499A",2020-03-20,16.2
2020,"IT0499A",2020-03-21,16.947
2020,"IT0499A",2020-03-22,13.668
2020,"IT0499A",2020-03-23,8.922
2020,"IT0499A",2020-03-24,14.903
2020,"IT0499A",2020-03-25,24.808
2020,"IT0499A",2020-03-26,25.226
2020,"IT0499A",2020-03-27,18.865
2020,"IT0499A",2020-03-28,23.455
2020,"IT0499A",2020-03-29,23.096
2020,"IT0499A",2020-03-30,9.142
2020,"IT0499A",2020-03-31,13.399
2020,"IT0499A",2020-04-01,44.045
2020,"IT0499A",2020-04-02,33.772
2020,"IT0499A",2020-04-03,22.324
2020,"IT0499A",2020-04-04,20.66
2020,"IT0499A",2020-04-05,18.475
2020,"IT0499A",2020-04-06,16.105
2020,"IT0499A",2020-04-07,15.759
2020,"IT0499A",2020-04-08,18.605
2020,"IT0499A",2020-04-09,15.406
2020,"IT0499A",2020-04-10,14.58
2020,"IT0499A",2020-04-11,15.052
2020,"IT0499A",2020-04-12,16.173
2020,"IT0499A",2020-04-13,14.102
2020,"IT0499A",2020-04-14,7.939
2020,"IT0499A",2020-04-15,48.916
2020,"IT0499A",2020-04-16,17.621
2020,"IT0499A",2020-04-17,14.217
2020,"IT0499A",2020-04-18,19.46
2020,"IT0499A",2020-04-19,17.3
2020,"IT0499A",2020-04-20,27.759
2020,"IT0499A",2020-04-21,10.867
2020,"IT0499A",2020-04-22,12.315
2020,"IT0499A",2020-04-23,18.41
2020,"IT0499A",2020-04-24,16.052
2020,"IT0499A",2020-04-25,11.556
2020,"IT0499A",2020-04-26,13.34
2020,"IT0499A",2020-04-27,20.928
2020,"IT0499A",2020-04-28,15.1
2020,"IT0499A",2020-04-29,6.16
2020,"IT0499A",2020-04-30,6.96
2020,"IT0499A",2020-05-01,6.534
