"reporting_year","station_eu_code","date","PM2.5"
2020,"IT0499A",2020-01-01,57.377
2020,"IT0499A",2020-01-02,38.917
2020,"IT0499A",2020-01-03,34.52
2020,"IT0499A",2020-01-04,1.633
2020,"IT0499A",2020-01-05,3.765
2020,"IT0499A",2020-01-06,25.135
2020,"IT0499A",2020-01-07,16.139
2020,"IT0499A",2020-01-08,19.648
2020,"IT0499A",2020-01-09,27.354
2020,"IT0499A",2020-01-10,34.78
2020,"IT0499A",2020-01-11,32.28
2020,"IT0499A",2020-01-12,31.52
2020,"IT0499A",2020-01-13,35.084
2020,"IT0499A",2020-01-14,38.141
2020,"IT0499A",2020-01-15,34.925
2020,"IT0499A",2020-01-16,38.815
2020,"IT0499A",2020-01-17,34.468
2020,"IT0499A",2020-01-18,14.673
2020,"IT0499A",2020-01-19,11.141
2020,"IT0499A",2020-01-20,18.788
2020,"IT0499A",2020-01-21,29.941
2020,"IT0499A",2020-01-22,34.758
2020,"IT0499A",2020-01-23,33.754
2020,"IT0499A",2020-01-24,30.015
2020,"IT0499A",2020-01-25,26.486
2020,"IT0499A",2020-01-26,26.242
2020,"IT0499A",2020-01-27,29.309
2020,"IT0499A",2020-01-28,24.337
2020,"IT0499A",2020-01-29,3.395
2020,"IT0499A",2020-01-30,14.106
2020,"IT0499A",2020-01-31,20.669
2020,"IT0499A",2020-02-01,27.17
2020,"IT0499A",2020-02-02,26.795
2020,"IT0499A",2020-02-03,12.115
2020,"IT0499A",2020-02-04,9.695
2020,"IT0499A",2020-02-05,1.651
2020,"IT0499A",2020-02-06,18.335
2020,"IT0499A",2020-02-07,20.432
2020,"IT0499A",2020-02-08,21.842
2020,"IT0499A",2020-02-09,26.532
2020,"IT0499A",2020-02-10,39.243
2020,"IT0499A",2020-02-11,11.739
2020,"IT0499A",2020-02-12,1.991
2020,"IT0499A",2020-02-13,8.25
2020,"IT0499A",2020-02-14,4.026
2020,"IT0499A",2020-02-15,13.744
2020,"IT0499A",2020-02-16,14.73
2020,"IT0499A",2020-02-17,25.938
2020,"IT0499A",2020-02-18,3.727
2020,"IT0499A",2020-02-19,4.048
2020,"IT0499A",2020-02-20,4.874
2020,"IT0499A",2020-02-21,7.804
2020,"IT0499A",2020-02-22,8.705
2020,"IT0499A",2020-02-23,19.732
2020,"IT0499A",2020-02-24,10.704
2020,"IT0499A",2020-02-25,39.102
2020,"IT0499A",2020-02-26,7.653
2020,"IT0499A",2020-02-27,4.578
2020,"IT0499A",2020-02-28,8.578
2020,"IT0499A",2020-02-29,9.805
2020,"IT0499A",2020-03-01,17.429
2020,"IT0499A",2020-03-02,10.485
2020,"IT0499A",2020-03-03,2.839
2020,"IT0499A",2020-03-04,8.732
2020,"IT0499A",2020-03-05,14.13
2020,"IT0499A",2020-03-06,10.172
2020,"IT0499A",2020-03-07,3.462
2020,"IT0499A",2020-03-08,7.762
2020,"IT0499A",2020-03-09,10.595
2020,"IT0499A",2020-03-10,4.528
2020,"IT0499A",2020-03-11,11.088
2020,"IT0499A",2020-03-12,22.598
2020,"IT0499A",2020-03-13,17.334
2020,"IT0499A",2020-03-14,4.71
2020,"IT0499A",2020-03-15,5.296
2020,"IT0499A",2020-03-16,7.982
2020,"IT0499A",2020-03-17,12.318
2020,"IT0499A",2020-03-18,12.783
2020,"IT0499A",2020-03-19,13.782
2020,"IT0499A",2020-03-20,12.249
2020,"IT0499A",2020-03-21,11.228
2020,"IT0499A",2020-03-22,7.245
2020,"IT0499A",2020-03-23,3.71
2020,"IT0499A",2020-03-24,7.177
2020,"IT0499A",2020-03-25,14.294
2020,"IT0499A",2020-03-26,19.045
2020,"IT0499A",2020-03-27,14.334
2020,"IT0499A",2020-03-28,16.089
2020,"IT0499A",2020-03-29,13.22
2020,"IT0499A",2020-03-30,6.498
2020,"IT0499A",2020-03-31,7.965
2020,"IT0499A",2020-04-01,30.752
2020,"IT0499A",2020-04-02,23.346
2020,"IT0499A",2020-04-03,14.066
2020,"IT0499A",2020-04-04,13.009
2020,"IT0499A",2020-04-05,12.338
2020,"IT0499A",2020-04-06,13.365
2020,"IT0499A",2020-04-07,12.553
2020,"IT0499A",2020-04-08,15.322
2020,"IT0499A",2020-04-09,11.895
2020,"IT0499A",2020-04-10,10.3
2020,"IT0499A",2020-04-11,10.191
2020,"IT0499A",2020-04-12,11.419
2020,"IT0499A",2020-04-13,10.037
2020,"IT0499A",2020-04-14,6.008
2020,"IT0499A",2020-04-15,32.513
2020,"IT0499A",2020-04-16,10.95
2020,"IT0499A",2020-04-17,9.686
2020,"IT0499A",2020-04-18,11.617
2020,"IT0499A",2020-04-19,11.33
2020,"IT0499A",2020-04-20,16.626
2020,"IT0499A",2020-04-21,8.176
2020,"IT0499A",2020-04-22,8.303
2020,"IT0499A",2020-04-23,9.191
2020,"IT0499A",2020-04-24,9.999
2020,"IT0499A",2020-04-25,8.71
2020,"IT0499A",2020-04-26,10.961
2020,"IT0499A",2020-04-27,14.83
2020,"IT0499A",2020-04-28,10.022
2020,"IT0499A",2020-04-29,2.993
2020,"IT0499A",2020-04-30,2.483
2020,"IT0499A",2020-05-01,2.595
2020,"IT0499A",2020-05-02,2.371
2020,"IT0499A",2020-05-03,0.696
2020,"IT0499A",2020-05-04,4.704
2020,"IT0499A",2020-05-05,10.894
2020,"IT0499A",2020-05-06,1.513
2020,"IT0499A",2020-05-07,7.133
2020,"IT0499A",2020-05-08,9.414
2020,"IT0499A",2020-05-09,13.385
2020,"IT0499A",2020-05-10,13.334
2020,"IT0499A",2020-05-11,6.706
2020,"IT0499A",2020-05-12,4.867
2020,"IT0499A",2020-05-13,5.409
2020,"IT0499A",2020-05-14,6.064
2020,"IT0499A",2020-05-15,5.079
2020,"IT0499A",2020-05-16,4.291
2020,"IT0499A",2020-05-17,3.942
2020,"IT0499A",2020-05-18,0.118
2020,"IT0499A",2020-05-19,2.239
2020,"IT0499A",2020-05-24,0.799
2020,"IT0499A",2020-05-25,1.11
2020,"IT0499A",2020-05-26,2.13
2020,"IT0499A",2020-05-27,3.469
2020,"IT0499A",2020-05-28,4.112
2020,"IT0499A",2020-05-29,1.16
2020,"IT0499A",2020-05-30,4.495
2020,"IT0499A",2020-05-31,6.054
2020,"IT0499A",2020-06-01,4.966
2020,"IT0499A",2020-06-02,6.198
2020,"IT0499A",2020-06-03,6.572
2020,"IT0499A",2020-06-04,4.394
2020,"IT0499A",2020-06-05,0.862
2020,"IT0499A",2020-06-06,5.985
2020,"IT0499A",2020-06-07,4.035
2020,"IT0499A",2020-06-08,1.278
2020,"IT0499A",2020-06-09,1.317
2020,"IT0499A",2020-06-10,3.828
2020,"IT0499A",2020-06-11,0.692
2020,"IT0499A",2020-06-12,3.422
2020,"IT0499A",2020-06-13,7.497
2020,"IT0499A",2020-06-14,6.834
2020,"IT0499A",2020-06-15,0.733
2020,"IT0499A",2020-06-16,0.615
2020,"IT0499A",2020-06-17,2.194
2020,"IT0499A",2020-06-18,1.719
2020,"IT0499A",2020-06-19,2.362
2020,"IT0499A",2020-06-20,1.153
