"reporting_year","station_eu_code","date","SO2"
2020,"IT2096A",2020-01-01,1.606
2020,"IT2096A",2020-01-02,1.479
2020,"IT2096A",2020-01-03,1.686
2020,"IT2096A",2020-01-04,1.769
2020,"IT2096A",2020-01-05,0.601
2020,"IT2096A",2020-01-06,1.222
2020,"IT2096A",2020-01-07,1.902
2020,"IT2096A",2020-01-08,2.975
2020,"IT2096A",2020-01-09,2.362
2020,"IT2096A",2020-01-10,1.591
2020,"IT2096A",2020-01-11,2.352
2020,"IT2096A",2020-01-12,1.08
2020,"IT2096A",2020-01-13,1.632
2020,"IT2096A",2020-01-14,3.12
2020,"IT2096A",2020-01-15,3.228
2020,"IT2096A",2020-01-16,2.389
2020,"IT2096A",2020-01-17,2.249
2020,"IT2096A",2020-01-18,1.582
2020,"IT2096A",2020-01-19,0.472
2020,"IT2096A",2020-01-20,0.877
2020,"IT2096A",2020-01-21,1.206
2020,"IT2096A",2020-01-22,1.943
2020,"IT2096A",2020-01-23,2.538
2020,"IT2096A",2020-01-24,2.203
2020,"IT2096A",2020-01-25,2.007
2020,"IT2096A",2020-01-26,1.311
2020,"IT2096A",2020-01-27,1.44
2020,"IT2096A",2020-01-28,0.95
2020,"IT2096A",2020-01-29,0.818
2020,"IT2096A",2020-01-30,1.605
2020,"IT2096A",2020-01-31,3.913
2020,"IT2096A",2020-02-01,1.668
2020,"IT2096A",2020-02-02,1.319
2020,"IT2096A",2020-02-03,1.827
2020,"IT2096A",2020-02-04,0.574
2020,"IT2096A",2020-02-05,0.216
2020,"IT2096A",2020-02-06,1.205
2020,"IT2096A",2020-02-07,1.686
2020,"IT2096A",2020-02-08,1.2
2020,"IT2096A",2020-02-09,0.993
2020,"IT2096A",2020-02-10,1.872
2020,"IT2096A",2020-02-11,1.38
2020,"IT2096A",2020-02-12,2.387
2020,"IT2096A",2020-02-13,1.861
2020,"IT2096A",2020-02-14,0.593
2020,"IT2096A",2020-02-15,3.044
2020,"IT2096A",2020-02-16,0.857
2020,"IT2096A",2020-02-17,1.415
2020,"IT2096A",2020-02-18,1.259
2020,"IT2096A",2020-02-19,0.606
2020,"IT2096A",2020-02-20,1.253
2020,"IT2096A",2020-02-21,1.125
2020,"IT2096A",2020-02-22,1.529
2020,"IT2096A",2020-02-23,0.871
2020,"IT2096A",2020-02-24,1.197
2020,"IT2096A",2020-02-25,1.025
2020,"IT2096A",2020-02-26,0.392
2020,"IT2096A",2020-02-27,0.59
2020,"IT2096A",2020-02-28,0.304
2020,"IT2096A",2020-02-29,1.107
2020,"IT2096A",2020-03-01,0.2
2020,"IT2096A",2020-03-02,0.211
2020,"IT2096A",2020-03-03,0.52
2020,"IT2096A",2020-03-04,0.313
2020,"IT2096A",2020-03-05,0.451
2020,"IT2096A",2020-03-06,0.518
2020,"IT2096A",2020-03-07,0.234
2020,"IT2096A",2020-03-08,0.22
2020,"IT2096A",2020-03-09,0.357
2020,"IT2096A",2020-03-10,0.57
2020,"IT2096A",2020-03-11,0.35
2020,"IT2096A",2020-03-12,0.947
2020,"IT2096A",2020-03-13,0.539
2020,"IT2096A",2020-03-14,0.086
2020,"IT2096A",2020-03-15,0.259
2020,"IT2096A",2020-03-16,0.24
2020,"IT2096A",2020-03-17,0.353
2020,"IT2096A",2020-03-18,0.391
2020,"IT2096A",2020-03-19,0.307
2020,"IT2096A",2020-03-20,0.291
2020,"IT2096A",2020-03-21,0.301
2020,"IT2096A",2020-03-22,0.085
2020,"IT2096A",2020-03-23,0.198
2020,"IT2096A",2020-03-24,0.248
2020,"IT2096A",2020-03-25,0.349
2020,"IT2096A",2020-03-26,0.507
2020,"IT2096A",2020-03-27,0.578
2020,"IT2096A",2020-03-28,0.318
2020,"IT2096A",2020-03-29,0.208
2020,"IT2096A",2020-03-30,0.088
2020,"IT2096A",2020-03-31,0.116
2020,"IT2096A",2020-04-01,0.219
2020,"IT2096A",2020-04-02,0.273
2020,"IT2096A",2020-04-03,0.337
2020,"IT2096A",2020-04-04,0.275
2020,"IT2096A",2020-04-05,0.27
2020,"IT2096A",2020-04-06,0.323
2020,"IT2096A",2020-04-07,0.605
2020,"IT2096A",2020-04-08,0.6
2020,"IT2096A",2020-04-09,0.587
2020,"IT2096A",2020-04-10,0.767
2020,"IT2096A",2020-04-11,1.157
2020,"IT2096A",2020-04-12,1.017
2020,"IT2096A",2020-04-13,1.576
2020,"IT2096A",2020-04-14,0.194
2020,"IT2096A",2020-04-15,1.819
2020,"IT2096A",2020-04-16,1.065
2020,"IT2096A",2020-04-17,1.262
2020,"IT2096A",2020-04-18,1.202
2020,"IT2096A",2020-04-19,0.928
2020,"IT2096A",2020-04-20,0.603
2020,"IT2096A",2020-04-21,0.996
2020,"IT2096A",2020-04-22,0.538
2020,"IT2096A",2020-04-23,1.023
2020,"IT2096A",2020-04-24,0.893
2020,"IT2096A",2020-04-25,0.55
2020,"IT2096A",2020-04-26,0.465
2020,"IT2096A",2020-04-27,0.437
2020,"IT2096A",2020-04-28,0.432
2020,"IT2096A",2020-04-29,0.241
2020,"IT2096A",2020-04-30,0.352
2020,"IT2096A",2020-05-01,0.186
2020,"IT2096A",2020-05-02,0.225
2020,"IT2096A",2020-05-03,0.069
2020,"IT2096A",2020-05-04,0.472
2020,"IT2096A",2020-05-05,0.661
2020,"IT2096A",2020-05-06,0.454
2020,"IT2096A",2020-05-07,0.96
2020,"IT2096A",2020-05-08,0.984
2020,"IT2096A",2020-05-09,1.734
2020,"IT2096A",2020-05-10,0.68
2020,"IT2096A",2020-05-11,0.133
2020,"IT2096A",2020-05-12,0.386
2020,"IT2096A",2020-05-13,0.156
2020,"IT2096A",2020-05-14,0.448
2020,"IT2096A",2020-05-15,0.132
2020,"IT2096A",2020-05-16,0.296
2020,"IT2096A",2020-05-17,0.223
2020,"IT2096A",2020-05-18,0.411
2020,"IT2096A",2020-05-19,0.511
2020,"IT2096A",2020-05-20,0.407
2020,"IT2096A",2020-05-21,0.47
2020,"IT2096A",2020-05-22,0.666
2020,"IT2096A",2020-05-23,0.719
2020,"IT2096A",2020-05-24,-0.011
2020,"IT2096A",2020-05-25,0.091
2020,"IT2096A",2020-05-26,0.12
2020,"IT2096A",2020-05-27,0.87
2020,"IT2096A",2020-05-28,0.498
2020,"IT2096A",2020-05-29,0.25
2020,"IT2096A",2020-05-30,0.359
2020,"IT2096A",2020-05-31,0.261
2020,"IT2096A",2020-06-01,0.43
2020,"IT2096A",2020-06-02,0.302
2020,"IT2096A",2020-06-03,0.543
2020,"IT2096A",2020-06-04,0.113
2020,"IT2096A",2020-06-05,0.299
2020,"IT2096A",2020-06-06,0.333
2020,"IT2096A",2020-06-07,0.041
2020,"IT2096A",2020-06-08,0.212
2020,"IT2096A",2020-06-09,0.354
2020,"IT2096A",2020-06-10,0.372
2020,"IT2096A",2020-06-11,0.468
2020,"IT2096A",2020-06-12,0.967
2020,"IT2096A",2020-06-13,0.761
2020,"IT2096A",2020-06-14,0.36
2020,"IT2096A",2020-06-15,0.479
2020,"IT2096A",2020-06-16,0.851
2020,"IT2096A",2020-06-17,0.43
2020,"IT2096A",2020-06-18,0.609
2020,"IT2096A",2020-06-19,0.262
2020,"IT2096A",2020-06-20,1.298
2020,"IT2096A",2020-06-21,0.351
2020,"IT2096A",2020-06-22,0.31
2020,"IT2096A",2020-06-23,0.926
2020,"IT2096A",2020-06-24,1.03
2020,"IT2096A",2020-06-25,0.731
2020,"IT2096A",2020-06-26,0.502
2020,"IT2096A",2020-06-27,0.889
2020,"IT2096A",2020-06-28,0.659
2020,"IT2096A",2020-06-29,0.437
2020,"IT2096A",2020-06-30,0.669
