"reporting_year","station_eu_code","date","C6H6"
2020,"IT0898A",2020-01-01,1.7696
2020,"IT0898A",2020-01-02,0.9435
2020,"IT0898A",2020-01-03,4.1348
2020,"IT0898A",2020-01-04,4
2020,"IT0898A",2020-01-05,0.8565
2020,"IT0898A",2020-01-06,0.1609
2020,"IT0898A",2020-01-08,0.4739
2020,"IT0898A",2020-01-09,3.1652
2020,"IT0898A",2020-01-10,4.113
2020,"IT0898A",2020-01-11,2.513
2020,"IT0898A",2020-01-12,0.5609
2020,"IT0898A",2020-01-13,1.9565
2020,"IT0898A",2020-01-14,3.7261
2020,"IT0898A",2020-01-15,2.8217
2020,"IT0898A",2020-01-16,2.5
2020,"IT0898A",2020-01-17,3.2565
2020,"IT0898A",2020-01-18,1.8261
2020,"IT0898A",2020-01-19,0.7478
2020,"IT0898A",2020-01-20,0.4304
2020,"IT0898A",2020-01-21,0.813
2020,"IT0898A",2020-01-22,1.9957
2020,"IT0898A",2020-01-23,3.5773
2020,"IT0898A",2020-01-24,2.5783
2020,"IT0898A",2020-01-25,2.3043
2020,"IT0898A",2020-01-26,1.8957
2020,"IT0898A",2020-01-27,2.3652
2020,"IT0898A",2020-01-28,0.9652
2020,"IT0898A",2020-01-29,1.3957
2020,"IT0898A",2020-01-30,2.6957
2020,"IT0898A",2020-01-31,2.2087
2020,"IT0898A",2020-02-01,1.6304
2020,"IT0898A",2020-02-02,0.787
2020,"IT0898A",2020-02-03,0.7783
2020,"IT0898A",2020-02-04,1
2020,"IT0898A",2020-02-05,0.48
2020,"IT0898A",2020-02-06,0.2217
2020,"IT0898A",2020-02-07,1.9304
2020,"IT0898A",2020-02-08,2.1304
2020,"IT0898A",2020-02-09,1.3826
2020,"IT0898A",2020-02-10,1.3478
2020,"IT0898A",2020-02-11,0.913
2020,"IT0898A",2020-02-12,1.2826
2020,"IT0898A",2020-02-13,1.2609
2020,"IT0898A",2020-02-14,0.787
2020,"IT0898A",2020-02-15,0.5217
2020,"IT0898A",2020-02-16,0.9391
2020,"IT0898A",2020-02-17,1.6478
2020,"IT0898A",2020-02-18,1.9783
2020,"IT0898A",2020-02-19,0.9217
2020,"IT0898A",2020-02-20,0.6522
2020,"IT0898A",2020-02-21,1.6913
2020,"IT0898A",2020-02-22,0.5826
2020,"IT0898A",2020-02-23,1.1957
2020,"IT0898A",2020-02-24,0.7652
2020,"IT0898A",2020-02-25,0.4609
2020,"IT0898A",2020-02-26,0.5826
2020,"IT0898A",2020-02-27,0.7652
2020,"IT0898A",2020-02-28,0.3739
2020,"IT0898A",2020-02-29,0.6261
2020,"IT0898A",2020-03-01,0.1348
2020,"IT0898A",2020-03-02,0.3652
2020,"IT0898A",2020-03-03,1.0136
2020,"IT0898A",2020-03-04,1.1304
2020,"IT0898A",2020-03-05,0.7522
2020,"IT0898A",2020-03-06,0.6391
2020,"IT0898A",2020-03-07,0.4043
2020,"IT0898A",2020-03-08,0.3435
2020,"IT0898A",2020-03-09,0.8957
2020,"IT0898A",2020-03-10,0.4609
2020,"IT0898A",2020-03-11,0.7783
2020,"IT0898A",2020-03-12,0.4478
2020,"IT0898A",2020-03-13,0.4783
2020,"IT0898A",2020-03-14,0.2217
2020,"IT0898A",2020-03-15,0.0435
2020,"IT0898A",2020-03-16,0.2913
2020,"IT0898A",2020-03-17,0.3565
2020,"IT0898A",2020-03-18,0.387
2020,"IT0898A",2020-03-19,0.6391
2020,"IT0898A",2020-03-20,0.4478
2020,"IT0898A",2020-03-21,0.2913
2020,"IT0898A",2020-03-22,0.1913
2020,"IT0898A",2020-03-23,0
2020,"IT0898A",2020-03-24,0.0826
2020,"IT0898A",2020-03-25,0.1043
2020,"IT0898A",2020-03-26,0.0217
2020,"IT0898A",2020-03-27,0.1696
2020,"IT0898A",2020-03-28,0.0696
2020,"IT0898A",2020-03-29,0.1739
2020,"IT0898A",2020-03-30,0.2696
2020,"IT0898A",2020-03-31,0.2348
2020,"IT0898A",2020-04-01,0.0043
2020,"IT0898A",2020-04-02,0.0783
2020,"IT0898A",2020-04-03,0.1478
2020,"IT0898A",2020-04-04,0.0087
2020,"IT0898A",2020-04-05,0.013
2020,"IT0898A",2020-04-06,0.0565
2020,"IT0898A",2020-04-07,0.0913
2020,"IT0898A",2020-04-08,0.1783
2020,"IT0898A",2020-04-09,0.3087
2020,"IT0898A",2020-04-10,0.1913
2020,"IT0898A",2020-04-11,0.1609
2020,"IT0898A",2020-04-14,0.1214
2020,"IT0898A",2020-04-23,0.475
2020,"IT0898A",2020-04-24,0.7522
2020,"IT0898A",2020-04-25,0.4261
2020,"IT0898A",2020-04-26,0.3217
2020,"IT0898A",2020-04-27,0.7087
2020,"IT0898A",2020-04-28,0.4043
2020,"IT0898A",2020-04-29,0.4348
2020,"IT0898A",2020-04-30,0.5957
2020,"IT0898A",2020-05-01,0.0783
2020,"IT0898A",2020-05-02,0.4435
2020,"IT0898A",2020-05-03,0.1
2020,"IT0898A",2020-05-04,0.4609
2020,"IT0898A",2020-05-05,1.113
2020,"IT0898A",2020-05-06,0.8652
2020,"IT0898A",2020-05-07,0.2261
2020,"IT0898A",2020-05-08,1.2565
2020,"IT0898A",2020-05-09,1.2087
2020,"IT0898A",2020-05-10,1.2435
2020,"IT0898A",2020-05-11,1.1565
2020,"IT0898A",2020-05-12,0.8174
2020,"IT0898A",2020-05-13,1.4609
2020,"IT0898A",2020-05-14,1.8609
2020,"IT0898A",2020-05-15,1.5348
2020,"IT0898A",2020-05-16,1.7696
2020,"IT0898A",2020-05-17,1.2957
2020,"IT0898A",2020-05-18,1.2957
2020,"IT0898A",2020-05-19,1.0391
2020,"IT0898A",2020-05-20,0.787
2020,"IT0898A",2020-05-21,0.513
2020,"IT0898A",2020-05-22,0.5435
2020,"IT0898A",2020-05-23,1.5304
2020,"IT0898A",2020-05-24,0.9
2020,"IT0898A",2020-05-25,0.3087
2020,"IT0898A",2020-05-26,0.2478
2020,"IT0898A",2020-05-27,0.2217
2020,"IT0898A",2020-05-28,0.9087
2020,"IT0898A",2020-05-29,1.2
2020,"IT0898A",2020-05-30,0.7261
2020,"IT0898A",2020-05-31,0.4
2020,"IT0898A",2020-06-01,0.7435
2020,"IT0898A",2020-06-02,0.7348
2020,"IT0898A",2020-06-03,1.413
2020,"IT0898A",2020-06-04,0.8391
2020,"IT0898A",2020-06-05,0.6304
2020,"IT0898A",2020-06-06,1.1087
2020,"IT0898A",2020-06-07,0.6696
2020,"IT0898A",2020-06-08,1
2020,"IT0898A",2020-06-09,0.9565
2020,"IT0898A",2020-06-10,1.0174
2020,"IT0898A",2020-06-11,1.087
2020,"IT0898A",2020-06-12,1.2696
2020,"IT0898A",2020-06-13,1.113
2020,"IT0898A",2020-06-14,0.6261
2020,"IT0898A",2020-06-15,1.0391
2020,"IT0898A",2020-06-16,0.9913
2020,"IT0898A",2020-06-17,1.2391
2020,"IT0898A",2020-06-18,1.113
2020,"IT0898A",2020-06-19,1.0435
2020,"IT0898A",2020-06-20,0.9739
2020,"IT0898A",2020-06-21,0.6739
2020,"IT0898A",2020-06-22,0.6957
2020,"IT0898A",2020-06-23,0.6727
2020,"IT0898A",2020-06-24,1.4696
2020,"IT0898A",2020-06-25,1.8261
2020,"IT0898A",2020-06-26,1.6217
2020,"IT0898A",2020-06-27,1.913
2020,"IT0898A",2020-06-28,1.4652
2020,"IT0898A",2020-06-29,1.4526
2020,"IT0898A",2020-06-30,1.06
2020,"IT1487A",2020-01-01,2.2348
2020,"IT1487A",2020-01-02,2.2304
2020,"IT1487A",2020-01-03,3.4043
2020,"IT1487A",2020-01-04,4.3783
2020,"IT1487A",2020-01-05,1.3609
2020,"IT1487A",2020-01-06,0.7391
2020,"IT1487A",2020-01-07,2.0739
2020,"IT1487A",2020-01-08,1.2609
2020,"IT1487A",2020-01-09,2.8261
2020,"IT1487A",2020-01-10,3.4696
2020,"IT1487A",2020-01-11,1.7435
2020,"IT1487A",2020-01-12,1.2174
2020,"IT1487A",2020-01-13,1.1778
2020,"IT1487A",2020-01-15,4.825
2020,"IT1487A",2020-01-16,3.0783
2020,"IT1487A",2020-01-17,3.0217
2020,"IT1487A",2020-01-18,3.1391
2020,"IT1487A",2020-01-19,1.8783
2020,"IT1487A",2020-01-20,1.1565
2020,"IT1487A",2020-01-21,1.487
2020,"IT1487A",2020-01-22,2.2435
2020,"IT1487A",2020-01-23,3.7609
2020,"IT1487A",2020-01-24,2.7087
2020,"IT1487A",2020-01-25,2.8391
2020,"IT1487A",2020-01-26,2.4
2020,"IT1487A",2020-01-27,3.2333
2020,"IT1487A",2020-01-28,2.3304
2020,"IT1487A",2020-01-29,1.5783
2020,"IT1487A",2020-01-30,2.3652
2020,"IT1487A",2020-01-31,2.887
2020,"IT1487A",2020-02-01,2.5
2020,"IT1487A",2020-02-02,2.2696
2020,"IT1487A",2020-02-03,2.0391
2020,"IT1487A",2020-02-04,2.2348
2020,"IT1487A",2020-02-05,0.5478
2020,"IT1487A",2020-02-06,0.7522
2020,"IT1487A",2020-02-07,2.2304
2020,"IT1487A",2020-02-08,2.8609
2020,"IT1487A",2020-02-09,2.2696
2020,"IT1487A",2020-02-10,1.8304
2020,"IT1487A",2020-02-11,1.2522
2020,"IT1487A",2020-02-12,1.8696
2020,"IT1487A",2020-02-13,2.1391
2020,"IT1487A",2020-02-14,1.987
2020,"IT1487A",2020-02-15,1.3087
2020,"IT1487A",2020-02-16,1.3217
2020,"IT1487A",2020-02-17,2.2
2020,"IT1487A",2020-02-18,2.2087
2020,"IT1487A",2020-02-19,1.5739
2020,"IT1487A",2020-02-20,1.2087
2020,"IT1487A",2020-02-21,1.6391
2020,"IT1487A",2020-02-22,1.2696
2020,"IT1487A",2020-02-23,1.4
2020,"IT1487A",2020-02-24,1.0739
2020,"IT1487A",2020-02-25,1.9905
2020,"IT1487A",2020-02-26,0.8391
2020,"IT1487A",2020-02-27,0.7304
2020,"IT1487A",2020-02-28,0.9783
2020,"IT1487A",2020-02-29,1.4783
2020,"IT1487A",2020-03-01,1.0826
2020,"IT1487A",2020-03-02,0.7478
2020,"IT1487A",2020-03-03,0.9
2020,"IT1487A",2020-03-04,0.9565
2020,"IT1487A",2020-03-05,1.5043
2020,"IT1487A",2020-03-06,0.7826
2020,"IT1487A",2020-03-07,0.7609
2020,"IT1487A",2020-03-08,0.9522
2020,"IT1487A",2020-03-09,1.1522
2020,"IT1487A",2020-03-10,1.1739
2020,"IT1487A",2020-03-11,1.5435
2020,"IT1487A",2020-03-12,0.9478
2020,"IT1487A",2020-03-13,1.1957
2020,"IT1487A",2020-03-14,1.1
2020,"IT1487A",2020-03-15,0.6174
2020,"IT1487A",2020-03-16,0.5739
2020,"IT1487A",2020-03-17,1.0217
2020,"IT1487A",2020-03-18,1.3957
2020,"IT1487A",2020-03-19,0.7652
2020,"IT1487A",2020-03-20,1.5609
2020,"IT1487A",2020-03-21,1.5
2020,"IT1487A",2020-03-22,0.9261
2020,"IT1487A",2020-03-23,0.4783
2020,"IT1487A",2020-03-24,0.713
2020,"IT1487A",2020-03-25,0.6957
2020,"IT1487A",2020-03-26,0.8
2020,"IT1487A",2020-03-27,0.9304
2020,"IT1487A",2020-03-28,1.0391
2020,"IT1487A",2020-03-29,0.8652
2020,"IT1487A",2020-03-30,0.9609
2020,"IT1487A",2020-03-31,0.8826
2020,"IT1487A",2020-04-01,0.3261
2020,"IT1487A",2020-04-02,0.6739
2020,"IT1487A",2020-04-03,0.9696
2020,"IT1487A",2020-04-04,0.4826
2020,"IT1487A",2020-04-05,0.5
2020,"IT1487A",2020-04-06,0.5391
2020,"IT1487A",2020-04-07,0.6957
2020,"IT1487A",2020-04-08,0.6739
2020,"IT1487A",2020-04-09,0.713
