"reporting_year","station_eu_code","date","CO"
2020,"IT0898A",2020-01-01,0.7409
2020,"IT0898A",2020-01-02,0.6136
2020,"IT0898A",2020-01-03,2.0727
2020,"IT0898A",2020-01-04,2.0182
2020,"IT0898A",2020-01-05,0.3909
2020,"IT0898A",2020-01-06,0.0727
2020,"IT0898A",2020-01-07,0.8955
2020,"IT0898A",2020-01-08,0.4409
2020,"IT0898A",2020-01-09,1.4409
2020,"IT0898A",2020-01-10,2
2020,"IT0898A",2020-01-11,1.1
2020,"IT0898A",2020-01-12,0.3182
2020,"IT0898A",2020-01-13,1.0591
2020,"IT0898A",2020-01-14,1.9
2020,"IT0898A",2020-01-15,1.35
2020,"IT0898A",2020-01-16,1.1773
2020,"IT0898A",2020-01-17,1.5682
2020,"IT0898A",2020-01-18,0.9409
2020,"IT0898A",2020-01-19,0.4545
2020,"IT0898A",2020-01-20,0.1636
2020,"IT0898A",2020-01-21,0.3682
2020,"IT0898A",2020-01-22,1.1476
2020,"IT0898A",2020-01-23,2.0667
2020,"IT0898A",2020-01-24,1.5
2020,"IT0898A",2020-01-25,1.5091
2020,"IT0898A",2020-01-26,1.3091
2020,"IT0898A",2020-01-27,1.5136
2020,"IT0898A",2020-01-28,0.8773
2020,"IT0898A",2020-01-29,1.1545
2020,"IT0898A",2020-01-30,1.7364
2020,"IT0898A",2020-01-31,1.4136
2020,"IT0898A",2020-02-01,1.1682
2020,"IT0898A",2020-02-02,0.8
2020,"IT0898A",2020-02-03,0.8909
2020,"IT0898A",2020-02-04,0.7727
2020,"IT0898A",2020-02-05,0.2905
2020,"IT0898A",2020-02-06,0.3591
2020,"IT0898A",2020-02-07,1.3045
2020,"IT0898A",2020-02-08,1.4909
2020,"IT0898A",2020-02-09,1.1091
2020,"IT0898A",2020-02-10,1.2227
2020,"IT0898A",2020-02-11,1.0636
2020,"IT0898A",2020-02-12,1.3227
2020,"IT0898A",2020-02-13,1.2182
2020,"IT0898A",2020-02-14,0.8591
2020,"IT0898A",2020-02-15,0.6318
2020,"IT0898A",2020-02-16,1
2020,"IT0898A",2020-02-17,1.3636
2020,"IT0898A",2020-02-18,1.6182
2020,"IT0898A",2020-02-19,1.0182
2020,"IT0898A",2020-02-20,0.7545
2020,"IT0898A",2020-02-21,1.3429
2020,"IT0898A",2020-02-22,0.6409
2020,"IT0898A",2020-02-23,1.0773
2020,"IT0898A",2020-02-24,0.8727
2020,"IT0898A",2020-02-25,0.7409
2020,"IT0898A",2020-02-26,0.8182
2020,"IT0898A",2020-02-27,0.7682
2020,"IT0898A",2020-02-28,0.6273
2020,"IT0898A",2020-02-29,0.7273
2020,"IT0898A",2020-03-01,0.6045
2020,"IT0898A",2020-03-02,0.7727
2020,"IT0898A",2020-03-03,1.0227
2020,"IT0898A",2020-03-04,1.0909
2020,"IT0898A",2020-03-05,0.8727
2020,"IT0898A",2020-03-06,0.8636
2020,"IT0898A",2020-03-07,0.7045
2020,"IT0898A",2020-03-08,0.6
2020,"IT0898A",2020-03-09,0.9091
2020,"IT0898A",2020-03-10,0.6273
2020,"IT0898A",2020-03-11,0.8909
2020,"IT0898A",2020-03-12,0.7773
2020,"IT0898A",2020-03-13,0.8182
2020,"IT0898A",2020-03-14,0.6364
2020,"IT0898A",2020-03-15,0.4
2020,"IT0898A",2020-03-16,0.535
2020,"IT0898A",2020-03-17,0.5773
2020,"IT0898A",2020-03-18,0.6318
2020,"IT0898A",2020-03-19,0.7318
2020,"IT0898A",2020-03-20,0.7091
2020,"IT0898A",2020-03-21,0.5727
2020,"IT0898A",2020-03-22,0.4955
2020,"IT0898A",2020-03-23,0.2818
2020,"IT0898A",2020-03-24,0.2545
2020,"IT0898A",2020-03-25,0.3545
2020,"IT0898A",2020-03-26,0.4364
2020,"IT0898A",2020-03-27,0.5455
2020,"IT0898A",2020-03-28,0.4773
2020,"IT0898A",2020-03-29,0.5227
2020,"IT0898A",2020-03-30,0.6045
2020,"IT0898A",2020-03-31,0.5682
2020,"IT0898A",2020-04-01,0.2318
2020,"IT0898A",2020-04-02,0.3227
2020,"IT0898A",2020-04-03,0.3773
2020,"IT0898A",2020-04-04,0.2909
2020,"IT0898A",2020-04-05,0.2864
2020,"IT0898A",2020-04-06,0.3773
2020,"IT0898A",2020-04-07,0.3682
2020,"IT0898A",2020-04-08,0.4091
2020,"IT0898A",2020-04-09,0.5727
2020,"IT0898A",2020-04-10,0.5864
2020,"IT0898A",2020-04-11,0.5864
2020,"IT0898A",2020-04-12,0.4818
2020,"IT0898A",2020-04-13,0.4909
2020,"IT0898A",2020-04-14,0.4545
2020,"IT0898A",2020-04-15,0.2273
2020,"IT0898A",2020-04-16,0.3727
2020,"IT0898A",2020-04-17,0.5
2020,"IT0898A",2020-04-18,0.4909
2020,"IT0898A",2020-04-19,0.4545
2020,"IT0898A",2020-04-20,0.5545
2020,"IT0898A",2020-04-21,0.5182
2020,"IT0898A",2020-04-22,0.6
2020,"IT0898A",2020-04-23,0.3643
2020,"IT0898A",2020-04-24,0.3955
2020,"IT0898A",2020-04-25,0.4
2020,"IT0898A",2020-04-26,0.3364
2020,"IT0898A",2020-04-27,0.4591
2020,"IT0898A",2020-04-28,0.4409
2020,"IT0898A",2020-04-29,0.4136
2020,"IT0898A",2020-04-30,0.4045
2020,"IT0898A",2020-05-01,0.3318
2020,"IT0898A",2020-05-02,0.4136
2020,"IT0898A",2020-05-03,0.3409
2020,"IT0898A",2020-05-04,0.3182
2020,"IT0898A",2020-05-05,0.5545
2020,"IT0898A",2020-05-06,0.4818
2020,"IT0898A",2020-05-07,0.3294
2020,"IT0898A",2020-05-08,0.5409
2020,"IT0898A",2020-05-09,0.6273
2020,"IT0898A",2020-05-10,0.5545
2020,"IT0898A",2020-05-11,0.6364
2020,"IT0898A",2020-05-12,0.5773
2020,"IT0898A",2020-05-13,0.5636
2020,"IT0898A",2020-05-14,0.6864
2020,"IT0898A",2020-05-15,0.7182
2020,"IT0898A",2020-05-16,0.6636
2020,"IT0898A",2020-05-17,0.5682
2020,"IT0898A",2020-05-18,0.55
2020,"IT0898A",2020-05-19,0.6045
2020,"IT0898A",2020-05-20,0.6045
2020,"IT0898A",2020-05-21,0.39
2020,"IT0898A",2020-05-22,0.2864
2020,"IT0898A",2020-05-23,0.6318
2020,"IT0898A",2020-05-24,0.4864
2020,"IT0898A",2020-05-25,0.2136
2020,"IT0898A",2020-05-26,0.1682
2020,"IT0898A",2020-05-27,0.1773
2020,"IT0898A",2020-05-28,0.3818
2020,"IT0898A",2020-05-29,0.4789
2020,"IT0898A",2020-05-30,0.25
2020,"IT0898A",2020-05-31,0.0318
2020,"IT0898A",2020-06-01,0.1
2020,"IT0898A",2020-06-02,0.0773
2020,"IT0898A",2020-06-03,0.3227
2020,"IT0898A",2020-06-04,0.2
2020,"IT0898A",2020-06-05,0.2667
2020,"IT0898A",2020-06-06,0.4591
2020,"IT0898A",2020-06-07,0.3591
2020,"IT0898A",2020-06-08,0.4909
2020,"IT0898A",2020-06-09,0.465
2020,"IT0898A",2020-06-10,0.5409
2020,"IT0898A",2020-06-11,0.6136
2020,"IT0898A",2020-06-12,0.6455
2020,"IT0898A",2020-06-13,0.6636
2020,"IT0898A",2020-06-14,0.55
2020,"IT0898A",2020-06-15,0.6545
2020,"IT0898A",2020-06-16,0.6455
2020,"IT0898A",2020-06-17,0.7455
2020,"IT0898A",2020-06-18,0.7136
2020,"IT0898A",2020-06-19,0.6455
2020,"IT0898A",2020-06-20,0.6455
2020,"IT0898A",2020-06-21,0.6136
2020,"IT0898A",2020-06-22,0.5591
2020,"IT0898A",2020-06-23,0.3762
2020,"IT0898A",2020-06-24,0.6091
2020,"IT0898A",2020-06-25,0.7545
2020,"IT0898A",2020-06-26,0.6909
2020,"IT0898A",2020-06-27,0.7864
2020,"IT0898A",2020-06-28,0.6727
2020,"IT0898A",2020-06-29,0.6
2020,"IT0898A",2020-06-30,0.5318
2020,"IT1487A",2020-01-01,1.1636
2020,"IT1487A",2020-01-02,1.1762
2020,"IT1487A",2020-01-03,1.5318
2020,"IT1487A",2020-01-04,1.5955
2020,"IT1487A",2020-01-05,0.9636
2020,"IT1487A",2020-01-06,0.8955
2020,"IT1487A",2020-01-07,1.1273
2020,"IT1487A",2020-01-08,1.0227
2020,"IT1487A",2020-01-09,1.3864
2020,"IT1487A",2020-01-10,1.4636
2020,"IT1487A",2020-01-11,1.1045
2020,"IT1487A",2020-01-12,1.0591
2020,"IT1487A",2020-01-13,1.3
2020,"IT1487A",2020-01-14,1.4955
2020,"IT1487A",2020-01-15,1.5182
2020,"IT1487A",2020-01-16,1.3591
2020,"IT1487A",2020-01-17,1.3818
2020,"IT1487A",2020-01-18,1.4091
2020,"IT1487A",2020-01-19,1.1818
2020,"IT1487A",2020-01-20,1.0182
2020,"IT1487A",2020-01-21,1.0455
2020,"IT1487A",2020-01-22,1.3409
2020,"IT1487A",2020-01-23,1.5955
2020,"IT1487A",2020-01-24,1.4136
2020,"IT1487A",2020-01-25,1.4636
2020,"IT1487A",2020-01-26,1.4545
2020,"IT1487A",2020-01-27,1.4182
2020,"IT1487A",2020-01-28,1.2864
2020,"IT1487A",2020-01-29,1.2773
2020,"IT1487A",2020-01-30,1.4318
2020,"IT1487A",2020-01-31,1.5227
