"reporting_year","station_eu_code","date","NO2"
2020,"IT0898A",2020-01-01,50.2682
2020,"IT0898A",2020-01-02,40.6773
2020,"IT0898A",2020-01-03,92.5773
2020,"IT0898A",2020-01-04,78.0591
2020,"IT0898A",2020-01-05,29.0636
2020,"IT0898A",2020-01-06,20.4591
2020,"IT0898A",2020-01-07,63.2864
2020,"IT0898A",2020-01-08,41.5727
2020,"IT0898A",2020-01-09,73.7136
2020,"IT0898A",2020-01-10,84.0818
2020,"IT0898A",2020-01-11,70.4955
2020,"IT0898A",2020-01-12,36.7045
2020,"IT0898A",2020-01-13,62.7636
2020,"IT0898A",2020-01-14,86.3864
2020,"IT0898A",2020-01-15,77.3182
2020,"IT0898A",2020-01-16,70.5955
2020,"IT0898A",2020-01-17,80.3
2020,"IT0898A",2020-01-18,62.6773
2020,"IT0898A",2020-01-19,37.8409
2020,"IT0898A",2020-01-20,26.5818
2020,"IT0898A",2020-01-21,39.8182
2020,"IT0898A",2020-01-22,64.7905
2020,"IT0898A",2020-01-23,85.2524
2020,"IT0898A",2020-01-24,69.0091
2020,"IT0898A",2020-01-25,63.9091
2020,"IT0898A",2020-01-26,61.8045
2020,"IT0898A",2020-01-27,63.1318
2020,"IT0898A",2020-01-28,35.3273
2020,"IT0898A",2020-01-29,46.9227
2020,"IT0898A",2020-01-30,70.5273
2020,"IT0898A",2020-01-31,59.4045
2020,"IT0898A",2020-02-01,59.5773
2020,"IT0898A",2020-02-02,46.35
2020,"IT0898A",2020-02-03,34.8409
2020,"IT0898A",2020-02-04,32.4955
2020,"IT0898A",2020-02-05,17.4476
2020,"IT0898A",2020-02-06,23.85
2020,"IT0898A",2020-02-07,67.2455
2020,"IT0898A",2020-02-08,82.6
2020,"IT0898A",2020-02-09,69.7909
2020,"IT0898A",2020-02-10,50.8909
2020,"IT0898A",2020-02-11,39.7045
2020,"IT0898A",2020-02-12,48.15
2020,"IT0898A",2020-02-13,49.1955
2020,"IT0898A",2020-02-14,40.0273
2020,"IT0898A",2020-02-15,39.7091
2020,"IT0898A",2020-02-16,60.0682
2020,"IT0898A",2020-02-17,72.8136
2020,"IT0898A",2020-02-18,72.4227
2020,"IT0898A",2020-02-19,48.1909
