"reporting_year","station_eu_code","date","NOX"
2020,"IT0898A",2020-01-01,51.0318
2020,"IT0898A",2020-01-02,30.6727
2020,"IT0898A",2020-01-03,144.7273
2020,"IT0898A",2020-01-04,127.9955
2020,"IT0898A",2020-01-05,21.2727
2020,"IT0898A",2020-01-06,10.0318
2020,"IT0898A",2020-01-07,60.9318
2020,"IT0898A",2020-01-08,27.6545
2020,"IT0898A",2020-01-09,92.0818
2020,"IT0898A",2020-01-10,127.2682
2020,"IT0898A",2020-01-11,78.6273
2020,"IT0898A",2020-01-12,20.3273
2020,"IT0898A",2020-01-13,61.1818
2020,"IT0898A",2020-01-14,121.3818
2020,"IT0898A",2020-01-15,89.35
2020,"IT0898A",2020-01-16,73.8227
2020,"IT0898A",2020-01-17,104.0545
2020,"IT0898A",2020-01-18,58.4727
2020,"IT0898A",2020-01-19,30.5636
2020,"IT0898A",2020-01-20,13.5273
2020,"IT0898A",2020-01-21,25.6091
2020,"IT0898A",2020-01-22,64.8857
2020,"IT0898A",2020-01-23,131.9238
2020,"IT0898A",2020-01-24,92.4818
2020,"IT0898A",2020-01-25,84.85
2020,"IT0898A",2020-01-26,69.9864
2020,"IT0898A",2020-01-27,80.9
2020,"IT0898A",2020-01-28,28.1955
2020,"IT0898A",2020-01-29,43.1682
2020,"IT0898A",2020-01-30,101.7364
2020,"IT0898A",2020-01-31,78.4227
2020,"IT0898A",2020-02-01,57.6727
2020,"IT0898A",2020-02-02,36.4545
2020,"IT0898A",2020-02-03,28.7591
2020,"IT0898A",2020-02-04,25.1
2020,"IT0898A",2020-02-05,11.4238
2020,"IT0898A",2020-02-06,14.9
2020,"IT0898A",2020-02-07,81.3364
2020,"IT0898A",2020-02-08,96.2864
2020,"IT0898A",2020-02-09,68.9
2020,"IT0898A",2020-02-10,41.3955
2020,"IT0898A",2020-02-11,32.9818
2020,"IT0898A",2020-02-12,47.7591
2020,"IT0898A",2020-02-13,55.4045
2020,"IT0898A",2020-02-14,34.35
2020,"IT0898A",2020-02-15,26.3182
2020,"IT0898A",2020-02-16,53.8045
2020,"IT0898A",2020-02-17,72.1182
2020,"IT0898A",2020-02-18,87.7636
2020,"IT0898A",2020-02-19,37.3364
2020,"IT0898A",2020-02-20,35.9955
2020,"IT0898A",2020-02-21,74.8238
2020,"IT0898A",2020-02-22,26.8955
2020,"IT0898A",2020-02-23,64.5409
2020,"IT0898A",2020-02-24,29.6182
2020,"IT0898A",2020-02-25,19.4091
2020,"IT0898A",2020-02-26,25.4136
2020,"IT0898A",2020-02-27,32.7318
2020,"IT0898A",2020-02-28,20.6773
2020,"IT0898A",2020-02-29,31.3955
2020,"IT0898A",2020-03-01,17.5955
2020,"IT0898A",2020-03-02,22.8364
2020,"IT0898A",2020-03-03,43.1429
2020,"IT0898A",2020-03-04,43.8727
2020,"IT0898A",2020-03-05,29.5045
2020,"IT0898A",2020-03-06,25.6182
2020,"IT0898A",2020-03-07,24.0636
2020,"IT0898A",2020-03-08,19.2545
2020,"IT0898A",2020-03-09,37.05
2020,"IT0898A",2020-03-10,19.9545
2020,"IT0898A",2020-03-11,41.3136
2020,"IT0898A",2020-03-12,29.7864
2020,"IT0898A",2020-03-13,18.9381
2020,"IT0898A",2020-03-14,7.9636
2020,"IT0898A",2020-03-15,2.1136
2020,"IT0898A",2020-03-16,18.54
2020,"IT0898A",2020-03-17,22.5227
2020,"IT0898A",2020-03-18,28.4773
2020,"IT0898A",2020-03-19,42.6909
2020,"IT0898A",2020-03-20,35.0364
2020,"IT0898A",2020-03-21,26.3773
2020,"IT0898A",2020-03-22,9.5818
2020,"IT0898A",2020-03-23,4.9955
2020,"IT0898A",2020-03-24,6.6182
2020,"IT0898A",2020-03-25,7.7773
2020,"IT0898A",2020-03-26,8.5727
2020,"IT0898A",2020-03-27,16.4682
2020,"IT0898A",2020-03-28,11.3864
2020,"IT0898A",2020-03-29,16.6909
2020,"IT0898A",2020-03-30,19.2955
2020,"IT0898A",2020-03-31,18.6182
2020,"IT0898A",2020-04-01,4.9636
2020,"IT0898A",2020-04-02,10.5682
2020,"IT0898A",2020-04-03,11.5
2020,"IT0898A",2020-04-04,5.2182
2020,"IT0898A",2020-04-05,5.2
2020,"IT0898A",2020-04-06,9.3409
2020,"IT0898A",2020-04-07,11.0318
2020,"IT0898A",2020-04-08,16.6364
2020,"IT0898A",2020-04-09,34.2455
2020,"IT0898A",2020-04-10,25.8136
2020,"IT0898A",2020-04-11,21.9409
2020,"IT0898A",2020-04-12,8.3409
2020,"IT0898A",2020-04-13,9.1091
2020,"IT0898A",2020-04-14,11.95
2020,"IT0898A",2020-04-15,5.7227
2020,"IT0898A",2020-04-16,16.4409
2020,"IT0898A",2020-04-17,22.1409
2020,"IT0898A",2020-04-18,11.2273
2020,"IT0898A",2020-04-19,9.9955
2020,"IT0898A",2020-04-20,13.5864
2020,"IT0898A",2020-04-21,12.7636
2020,"IT0898A",2020-04-22,16.0091
2020,"IT0898A",2020-04-23,5.2067
2020,"IT0898A",2020-04-24,14.2227
2020,"IT0898A",2020-04-25,8.3909
2020,"IT0898A",2020-04-26,7.2182
2020,"IT0898A",2020-04-27,15.2091
2020,"IT0898A",2020-04-28,7.3409
2020,"IT0898A",2020-04-29,6.4045
2020,"IT0898A",2020-04-30,7.9455
2020,"IT0898A",2020-05-01,3.6955
2020,"IT0898A",2020-05-02,6.5727
2020,"IT0898A",2020-05-03,1.6636
2020,"IT0898A",2020-05-04,8.1545
2020,"IT0898A",2020-05-05,17.2409
2020,"IT0898A",2020-05-06,13.1045
2020,"IT0898A",2020-05-07,3.6524
2020,"IT0898A",2020-05-08,17.6864
2020,"IT0898A",2020-05-09,20.9818
2020,"IT0898A",2020-05-10,18.5318
2020,"IT0898A",2020-05-11,13.0591
2020,"IT0898A",2020-05-12,9.7955
2020,"IT0898A",2020-05-13,18.3318
2020,"IT0898A",2020-05-14,19.5455
2020,"IT0898A",2020-05-15,20.9773
2020,"IT0898A",2020-05-16,25.3864
2020,"IT0898A",2020-05-17,15.4636
2020,"IT0898A",2020-05-18,15.9773
2020,"IT0898A",2020-05-19,11.4318
2020,"IT0898A",2020-05-20,18.2318
2020,"IT0898A",2020-05-21,7.8476
2020,"IT0898A",2020-05-22,14.7318
2020,"IT0898A",2020-05-23,23.7136
2020,"IT0898A",2020-05-24,14.6636
2020,"IT0898A",2020-05-25,5.8818
2020,"IT0898A",2020-05-26,4.7182
2020,"IT0898A",2020-05-27,3.3864
2020,"IT0898A",2020-05-28,14.6636
2020,"IT0898A",2020-05-29,21.1273
2020,"IT0898A",2020-05-30,18.7091
2020,"IT0898A",2020-05-31,10.6818
2020,"IT0898A",2020-06-01,15.95
2020,"IT0898A",2020-06-02,12.45
2020,"IT0898A",2020-06-03,21.9818
2020,"IT0898A",2020-06-04,13.4864
2020,"IT0898A",2020-06-05,14.805
2020,"IT0898A",2020-06-06,17.3818
2020,"IT0898A",2020-06-07,13.8136
2020,"IT0898A",2020-06-08,12.75
2020,"IT0898A",2020-06-09,15.1429
2020,"IT0898A",2020-06-10,17.7409
2020,"IT0898A",2020-06-11,22.9364
2020,"IT0898A",2020-06-12,26.2773
2020,"IT0898A",2020-06-13,25.4682
2020,"IT0898A",2020-06-14,14.1091
2020,"IT0898A",2020-06-15,16.3636
2020,"IT0898A",2020-06-16,17.8545
2020,"IT0898A",2020-06-17,17.8545
2020,"IT0898A",2020-06-18,18.2273
2020,"IT0898A",2020-06-19,25.1682
2020,"IT0898A",2020-06-20,18.9455
2020,"IT0898A",2020-06-21,19.1455
2020,"IT0898A",2020-06-22,16.8227
2020,"IT0898A",2020-06-23,16.345
2020,"IT0898A",2020-06-24,31.4273
2020,"IT0898A",2020-06-25,36.1773
2020,"IT0898A",2020-06-26,32.8864
2020,"IT0898A",2020-06-27,46.7182
2020,"IT0898A",2020-06-28,37.7
2020,"IT0898A",2020-06-29,29.8176
2020,"IT0898A",2020-06-30,23.1273
2020,"IT0934A",2020-01-01,60.0087
2020,"IT0934A",2020-01-02,79.3957
2020,"IT0934A",2020-01-03,103.8727
2020,"IT0934A",2020-01-04,128.1087
2020,"IT0934A",2020-01-05,23.6391
2020,"IT0934A",2020-01-06,18.9652
2020,"IT0934A",2020-01-07,82.9783
2020,"IT0934A",2020-01-08,81.3826
2020,"IT0934A",2020-01-09,107.4348
2020,"IT0934A",2020-01-10,116.1478
2020,"IT0934A",2020-01-11,76.2783
2020,"IT0934A",2020-01-12,58.4957
2020,"IT0934A",2020-01-13,98.9391
2020,"IT0934A",2020-01-14,97.7739
2020,"IT0934A",2020-01-15,117.1261
2020,"IT0934A",2020-01-16,113.6435
2020,"IT0934A",2020-01-17,107.9565
2020,"IT0934A",2020-01-18,86.6391
2020,"IT0934A",2020-01-19,37.687
2020,"IT0934A",2020-01-20,75.7409
2020,"IT0934A",2020-01-21,57.3043
2020,"IT0934A",2020-01-22,89.7609
2020,"IT0934A",2020-01-23,89.1696
2020,"IT0934A",2020-01-24,116.3391
2020,"IT0934A",2020-01-25,81.3739
2020,"IT0934A",2020-01-26,53.113
2020,"IT0934A",2020-01-27,38.9087
2020,"IT0934A",2020-01-28,9.9391
2020,"IT0934A",2020-01-29,17.4043
2020,"IT0934A",2020-01-30,65.0174
2020,"IT0934A",2020-01-31,59.0783
2020,"IT0934A",2020-02-01,53.9391
2020,"IT0934A",2020-02-02,19.0304
2020,"IT0934A",2020-02-03,27.3739
2020,"IT0934A",2020-02-04,15.7955
2020,"IT0934A",2020-02-05,18.5261
2020,"IT0934A",2020-02-06,20.7565
2020,"IT0934A",2020-02-07,75.2435
2020,"IT0934A",2020-02-08,81.8087
2020,"IT0934A",2020-02-09,35.9261
2020,"IT0934A",2020-02-10,16.995
2020,"IT0934A",2020-02-11,6.8
2020,"IT0934A",2020-02-12,41.7682
2020,"IT0934A",2020-02-13,34.7045
2020,"IT0934A",2020-02-14,32.5773
2020,"IT0934A",2020-02-15,40.9273
2020,"IT0934A",2020-02-16,38.4409
2020,"IT0934A",2020-02-17,52.0773
2020,"IT0934A",2020-02-18,40.6
2020,"IT0934A",2020-02-19,26.2905
2020,"IT0934A",2020-02-20,32.6364
2020,"IT0934A",2020-02-21,46.5
2020,"IT0934A",2020-02-22,43.9091
2020,"IT0934A",2020-02-23,18.8091
