"reporting_year","station_eu_code","date","O3"
2020,"IT0936A",2020-01-01,52.8273
2020,"IT0936A",2020-01-02,44.6
2020,"IT0936A",2020-01-03,15.7182
2020,"IT0936A",2020-01-04,30.5727
2020,"IT0936A",2020-01-05,54.5227
2020,"IT0936A",2020-01-06,70.7455
2020,"IT0936A",2020-01-07,55.0318
2020,"IT0936A",2020-01-08,50.9227
2020,"IT0936A",2020-01-09,18.9364
2020,"IT0936A",2020-01-10,22.2045
2020,"IT0936A",2020-01-11,36.6864
2020,"IT0936A",2020-01-12,50.8955
2020,"IT0936A",2020-01-13,34.3636
2020,"IT0936A",2020-01-14,18.3409
2020,"IT0936A",2020-01-15,15.6909
2020,"IT0936A",2020-01-16,26.0909
2020,"IT0936A",2020-01-17,19.8773
2020,"IT0936A",2020-01-18,22.2545
2020,"IT0936A",2020-01-19,38.3957
2020,"IT0936A",2020-01-20,54.9045
2020,"IT0936A",2020-01-21,62.3909
2020,"IT0936A",2020-01-22,20.8591
2020,"IT0936A",2020-01-23,27.2545
2020,"IT0936A",2020-01-24,34.3545
2020,"IT0936A",2020-01-25,65.4167
2020,"IT0936A",2020-01-28,68.55
2020,"IT0936A",2020-01-29,63.7
2020,"IT0936A",2020-01-30,32.5864
2020,"IT0936A",2020-01-31,57.1
2020,"IT0936A",2020-02-01,35.4636
2020,"IT0936A",2020-02-02,67.1
2020,"IT0936A",2020-02-03,62.7182
2020,"IT0936A",2020-02-04,69.8955
2020,"IT0936A",2020-02-05,79.5273
2020,"IT0936A",2020-02-06,78.6955
2020,"IT0936A",2020-02-07,44.3818
2020,"IT0936A",2020-02-08,32.5409
2020,"IT0936A",2020-02-09,61.7455
2020,"IT0936A",2020-02-10,84.0182
2020,"IT0936A",2020-02-11,76.1727
2020,"IT0936A",2020-02-12,64.5773
2020,"IT0936A",2020-02-13,46.5864
2020,"IT0936A",2020-02-14,67.681
2020,"IT0936A",2020-02-15,66.9273
2020,"IT0936A",2020-02-16,36.95
2020,"IT0936A",2020-02-17,46.7773
2020,"IT0936A",2020-02-18,46.1909
2020,"IT0936A",2020-02-19,42.8
2020,"IT0936A",2020-02-20,40.05
2020,"IT0936A",2020-02-21,36.7455
2020,"IT0936A",2020-02-22,68.0591
2020,"IT0936A",2020-02-23,62.2864
2020,"IT0936A",2020-02-24,80.2318
2020,"IT0936A",2020-02-25,87.2227
2020,"IT0936A",2020-02-26,92.6273
2020,"IT0936A",2020-02-27,78.4
2020,"IT0936A",2020-02-28,70.7636
2020,"IT0936A",2020-02-29,65.6818
2020,"IT0936A",2020-03-01,95.5273
2020,"IT0936A",2020-03-02,79.5818
2020,"IT0936A",2020-03-03,78.781
2020,"IT0936A",2020-03-04,63.2864
2020,"IT0936A",2020-03-05,71.5818
2020,"IT0936A",2020-03-06,92.0545
2020,"IT0936A",2020-03-07,75.5591
2020,"IT0936A",2020-03-08,79.9727
2020,"IT0936A",2020-03-09,64.3364
2020,"IT0936A",2020-03-10,75.0227
2020,"IT0936A",2020-03-12,71.6167
2020,"IT0936A",2020-03-13,77.1591
2020,"IT0936A",2020-03-14,62.6545
2020,"IT0936A",2020-03-15,83.7409
2020,"IT0936A",2020-03-16,89.2
2020,"IT0936A",2020-03-17,78.6
2020,"IT0936A",2020-03-18,85.5
2020,"IT0936A",2020-03-19,78.2182
2020,"IT0936A",2020-03-20,64.9818
2020,"IT0936A",2020-03-21,59.7091
2020,"IT0936A",2020-03-22,76.1455
2020,"IT0936A",2020-03-23,76.1182
2020,"IT0936A",2020-03-24,70.4591
2020,"IT0936A",2020-03-25,68.3
2020,"IT0936A",2020-03-26,53.1364
2020,"IT0936A",2020-03-27,53.2455
2020,"IT0936A",2020-03-28,66.7318
2020,"IT0936A",2020-03-29,50.7182
2020,"IT0936A",2020-03-30,40.8273
2020,"IT0936A",2020-03-31,49.4045
2020,"IT0936A",2020-04-01,83.6318
2020,"IT0936A",2020-04-02,81.03
2020,"IT0936A",2020-04-03,80.3364
2020,"IT0936A",2020-04-04,101.8636
2020,"IT0936A",2020-04-05,102.4818
2020,"IT0936A",2020-04-06,92.4545
2020,"IT0936A",2020-04-07,98.6864
2020,"IT0936A",2020-04-08,95.8273
2020,"IT0936A",2020-04-09,75.1091
2020,"IT0936A",2020-04-10,74.57
2020,"IT0936A",2020-04-11,68.4636
2020,"IT0936A",2020-04-12,76.1773
2020,"IT0936A",2020-04-13,99.7091
2020,"IT0936A",2020-04-14,83.4318
2020,"IT0936A",2020-04-15,75.6227
2020,"IT0936A",2020-04-16,69.025
2020,"IT0936A",2020-04-17,71.9682
2020,"IT0936A",2020-04-18,72.3091
2020,"IT0936A",2020-04-19,71.3455
2020,"IT0936A",2020-04-20,38.7227
2020,"IT0936A",2020-04-21,57.7227
2020,"IT0936A",2020-04-22,53.5909
2020,"IT0936A",2020-04-23,63.5545
2020,"IT0936A",2020-04-24,69.4818
2020,"IT0936A",2020-04-25,90.9045
2020,"IT0936A",2020-04-26,71.1591
2020,"IT0936A",2020-04-27,67.8273
2020,"IT0936A",2020-04-28,71.5619
2020,"IT0936A",2020-04-29,82.1909
2020,"IT0936A",2020-04-30,80.7727
2020,"IT0936A",2020-05-01,83.0227
2020,"IT0936A",2020-05-02,67.0091
2020,"IT0936A",2020-05-03,54.15
2020,"IT0936A",2020-05-04,61.2714
2020,"IT0936A",2020-05-05,78.5636
2020,"IT0936A",2020-05-06,78.4182
2020,"IT0936A",2020-05-07,82.9727
2020,"IT0936A",2020-05-08,76.1682
2020,"IT0936A",2020-05-09,79.0227
2020,"IT0936A",2020-05-10,60.7591
2020,"IT0936A",2020-05-11,73.0864
2020,"IT0936A",2020-05-12,70.9273
2020,"IT0936A",2020-05-13,61.5364
2020,"IT0936A",2020-05-14,74.9909
2020,"IT0936A",2020-05-15,72.7273
2020,"IT0936A",2020-05-16,57.9682
2020,"IT0936A",2020-05-17,56.9318
2020,"IT0936A",2020-05-18,58.2591
2020,"IT0936A",2020-05-19,73.0682
2020,"IT0936A",2020-05-20,53.2091
2020,"IT0936A",2020-05-21,72.0455
2020,"IT0936A",2020-05-22,73.0636
2020,"IT0936A",2020-05-23,75.1864
2020,"IT0936A",2020-05-24,91.6773
2020,"IT0936A",2020-05-25,71.6182
2020,"IT0936A",2020-05-26,69.2364
2020,"IT0936A",2020-05-27,74.5864
2020,"IT0936A",2020-05-28,68.6682
2020,"IT0936A",2020-05-29,61.2682
2020,"IT0936A",2020-05-30,61.7909
2020,"IT0936A",2020-05-31,61.9
2020,"IT0936A",2020-06-02,69.49
2020,"IT0936A",2020-06-03,63.0409
2020,"IT0936A",2020-06-04,80.1429
2020,"IT0936A",2020-06-05,66.0636
2020,"IT0936A",2020-06-06,52.0864
2020,"IT0936A",2020-06-07,60.8545
2020,"IT0936A",2020-06-08,64.6136
2020,"IT0936A",2020-06-09,61.0227
2020,"IT0936A",2020-06-10,71.8409
2020,"IT0936A",2020-06-11,68.3227
2020,"IT0936A",2020-06-12,57.4591
2020,"IT0936A",2020-06-13,67.2045
2020,"IT0936A",2020-06-14,78.8136
2020,"IT0936A",2020-06-15,77.9667
2020,"IT0936A",2020-06-16,58.7045
2020,"IT0936A",2020-06-17,69.2591
2020,"IT0936A",2020-06-18,68.5143
2020,"IT0936A",2020-06-19,38.2455
2020,"IT0936A",2020-06-20,63.3091
2020,"IT0936A",2020-06-21,63.5591
2020,"IT0936A",2020-06-22,60.0818
2020,"IT0936A",2020-06-23,83.8318
2020,"IT0936A",2020-06-24,72.0545
2020,"IT0936A",2020-06-25,82.8227
2020,"IT0936A",2020-06-26,86.95
2020,"IT0936A",2020-06-27,81.3318
2020,"IT0936A",2020-06-28,70.8182
2020,"IT0936A",2020-06-29,64.3409
2020,"IT0936A",2020-06-30,59.6045
2020,"IT1041A",2020-01-01,47.9545
2020,"IT1041A",2020-01-02,41.25
2020,"IT1041A",2020-01-03,12.8909
2020,"IT1041A",2020-01-04,3.3591
2020,"IT1041A",2020-01-05,49.2591
2020,"IT1041A",2020-01-06,60.4091
2020,"IT1041A",2020-01-07,27.2409
2020,"IT1041A",2020-01-08,36.9818
2020,"IT1041A",2020-01-09,14.4682
2020,"IT1041A",2020-01-10,16.35
2020,"IT1041A",2020-01-11,28.0864
2020,"IT1041A",2020-01-12,41.9909
2020,"IT1041A",2020-01-13,30.8045
2020,"IT1041A",2020-01-14,12.7545
2020,"IT1041A",2020-01-15,17.3333
2020,"IT1041A",2020-01-16,29.1227
2020,"IT1041A",2020-01-17,14.9818
2020,"IT1041A",2020-01-18,9.3091
2020,"IT1041A",2020-01-19,30.0864
2020,"IT1041A",2020-01-20,48.2136
2020,"IT1041A",2020-01-21,53.1727
2020,"IT1041A",2020-01-22,28.2727
2020,"IT1041A",2020-01-23,7.9905
2020,"IT1041A",2020-01-24,12.9864
2020,"IT1041A",2020-01-25,13.1636
2020,"IT1041A",2020-01-26,19.7636
2020,"IT1041A",2020-01-27,17.3
2020,"IT1041A",2020-01-28,18.0636
2020,"IT1041A",2020-01-29,37.2682
2020,"IT1041A",2020-01-30,8.9318
2020,"IT1041A",2020-01-31,11.1455
2020,"IT1041A",2020-02-01,6.4864
2020,"IT1041A",2020-02-02,10.4818
2020,"IT1041A",2020-02-03,11.0955
2020,"IT1041A",2020-02-04,26.5773
2020,"IT1041A",2020-02-05,50.9545
2020,"IT1041A",2020-02-06,52.4545
2020,"IT1041A",2020-02-07,36.3591
2020,"IT1041A",2020-02-08,20.8682
2020,"IT1041A",2020-02-09,25.4364
2020,"IT1041A",2020-02-10,7.75
2020,"IT1041A",2020-02-11,17.4773
2020,"IT1041A",2020-02-12,14.6136
2020,"IT1041A",2020-02-13,14.9273
2020,"IT1041A",2020-02-14,35.7591
2020,"IT1041A",2020-02-15,52.8955
2020,"IT1041A",2020-02-16,35.1455
2020,"IT1041A",2020-02-17,18.3955
2020,"IT1041A",2020-02-18,18.575
2020,"IT1041A",2020-02-19,33.8455
2020,"IT1041A",2020-02-20,49.2545
2020,"IT1041A",2020-02-21,25.4864
2020,"IT1041A",2020-02-22,51.2091
2020,"IT1041A",2020-02-23,27.6545
2020,"IT1041A",2020-02-24,19.8227
2020,"IT1041A",2020-02-25,41.5091
2020,"IT1041A",2020-02-26,67.9947
2020,"IT1041A",2020-02-27,60.7583
2020,"IT1041A",2020-02-28,64
2020,"IT1041A",2020-02-29,34.6909
2020,"IT1041A",2020-03-01,46.6955
2020,"IT1041A",2020-03-02,38.035
2020,"IT1041A",2020-03-03,42.0318
2020,"IT1041A",2020-03-04,34.4421
2020,"IT1041A",2020-03-05,47.9636
2020,"IT1041A",2020-03-06,55.9476
2020,"IT1041A",2020-03-07,31.3091
2020,"IT1041A",2020-03-08,66.6591
2020,"IT1041A",2020-03-09,43.1364
2020,"IT1041A",2020-03-10,56.3091
2020,"IT1041A",2020-03-11,29.2227
2020,"IT1041A",2020-03-12,31.5318
2020,"IT1041A",2020-03-13,33.1591
2020,"IT1041A",2020-03-14,38.9227
2020,"IT1041A",2020-03-15,59.5909
2020,"IT1041A",2020-03-16,61.5143
2020,"IT1041A",2020-03-17,37.3091
2020,"IT1041A",2020-03-18,43.3136
2020,"IT1041A",2020-03-19,40.6727
2020,"IT1041A",2020-03-20,37.3773
2020,"IT1041A",2020-03-21,34.3773
2020,"IT1041A",2020-03-22,66.1909
2020,"IT1041A",2020-03-23,73.1636
