"reporting_year","station_eu_code","date","PM10"
2020,"IT0898A",2020-01-01,134.2923
2020,"IT0898A",2020-01-02,27.5174
2020,"IT0898A",2020-01-03,64.4435
2020,"IT0898A",2020-01-04,78.5478
2020,"IT0898A",2020-01-05,27.5478
2020,"IT0898A",2020-01-06,11.2609
2020,"IT0898A",2020-01-07,33.413
2020,"IT0898A",2020-01-08,26.6783
2020,"IT0898A",2020-01-09,44.7696
2020,"IT0898A",2020-01-10,58.3609
2020,"IT0898A",2020-01-11,48.2391
2020,"IT0898A",2020-01-12,28.3826
2020,"IT0898A",2020-01-13,32.8783
2020,"IT0898A",2020-01-14,65.6522
2020,"IT0898A",2020-01-15,53.5609
2020,"IT0898A",2020-01-16,43.8391
2020,"IT0898A",2020-01-17,61.2826
2020,"IT0898A",2020-01-18,41.4261
2020,"IT0898A",2020-01-19,18.5913
2020,"IT0898A",2020-01-20,14.1826
2020,"IT0898A",2020-01-21,23.7826
2020,"IT0898A",2020-01-22,41.9957
2020,"IT0898A",2020-01-23,60.4636
2020,"IT0898A",2020-01-24,48.5609
2020,"IT0898A",2020-01-25,40.3609
2020,"IT0898A",2020-01-26,44.087
2020,"IT0898A",2020-01-27,37.0609
2020,"IT0898A",2020-01-28,29.2174
2020,"IT0898A",2020-01-29,37.4087
2020,"IT0898A",2020-01-30,38.3174
2020,"IT0898A",2020-01-31,35.2565
2020,"IT0898A",2020-02-01,39.9217
2020,"IT0898A",2020-02-02,22.0087
2020,"IT0898A",2020-02-03,18.1609
2020,"IT0898A",2020-02-04,40.3565
2020,"IT0898A",2020-02-05,6.6105
2020,"IT0898A",2020-02-06,12.0739
2020,"IT0898A",2020-02-07,31.2913
2020,"IT0898A",2020-02-08,45.9174
2020,"IT0898A",2020-02-09,34.6435
2020,"IT0898A",2020-02-10,31.5043
2020,"IT0898A",2020-02-11,40.5783
2020,"IT0898A",2020-02-12,41.3565
2020,"IT0898A",2020-02-13,32.1565
2020,"IT0898A",2020-02-14,15.7348
2020,"IT0898A",2020-02-15,11.8565
2020,"IT0898A",2020-02-16,23.4435
2020,"IT0898A",2020-02-17,30.0739
2020,"IT0898A",2020-02-18,32.2913
2020,"IT0898A",2020-02-19,29.7304
2020,"IT0898A",2020-02-20,19.4652
2020,"IT0898A",2020-02-21,33.7
2020,"IT0898A",2020-02-22,18.7913
2020,"IT0898A",2020-02-23,28.8609
2020,"IT0898A",2020-02-24,19.887
2020,"IT0898A",2020-02-25,19.2565
2020,"IT0898A",2020-02-26,30.2826
2020,"IT0898A",2020-02-27,15.5043
2020,"IT0898A",2020-02-28,21.0304
2020,"IT0898A",2020-02-29,19.0955
2020,"IT0898A",2020-03-01,28.1913
2020,"IT0898A",2020-03-02,33.0957
2020,"IT0898A",2020-03-03,27.2136
2020,"IT0898A",2020-03-04,22.9043
2020,"IT0898A",2020-03-05,15.313
2020,"IT0898A",2020-03-06,20.0913
2020,"IT0898A",2020-03-07,13.3348
2020,"IT0898A",2020-03-08,11.5304
2020,"IT0898A",2020-03-09,22.6217
2020,"IT0898A",2020-03-10,16.3609
2020,"IT0898A",2020-03-11,32.2565
2020,"IT0898A",2020-03-12,24.1043
2020,"IT0898A",2020-03-13,25.9913
2020,"IT0898A",2020-03-14,25.6217
2020,"IT0898A",2020-03-15,15.0217
2020,"IT0898A",2020-03-16,19.5652
2020,"IT0898A",2020-03-17,21.9913
2020,"IT0898A",2020-03-18,25.0565
2020,"IT0898A",2020-03-19,30.0087
2020,"IT0898A",2020-03-20,34.5739
2020,"IT0898A",2020-03-21,30.3696
2020,"IT0898A",2020-03-22,31.0348
2020,"IT0898A",2020-03-23,24.0957
2020,"IT0898A",2020-03-24,10.1348
2020,"IT0898A",2020-03-25,9.287
2020,"IT0898A",2020-03-26,6.2826
2020,"IT0898A",2020-03-27,10.0652
2020,"IT0898A",2020-03-28,7.3409
2020,"IT0898A",2020-04-23,11.45
2020,"IT0898A",2020-04-24,15.0696
2020,"IT0898A",2020-04-25,14.1391
2020,"IT0898A",2020-04-26,10.0609
2020,"IT0898A",2020-04-27,14.0652
2020,"IT0898A",2020-04-28,13.8478
2020,"IT0898A",2020-04-29,15.4435
2020,"IT0898A",2020-04-30,17.95
2020,"IT0898A",2020-05-01,14.7
2020,"IT0898A",2020-05-02,22.5435
2020,"IT0898A",2020-05-03,16.0043
2020,"IT0898A",2020-05-04,11.2217
2020,"IT0898A",2020-05-05,16.6
2020,"IT0898A",2020-05-06,14.5652
2020,"IT0898A",2020-05-07,16.6
2020,"IT0898A",2020-05-08,15.3783
2020,"IT0898A",2020-05-09,16.9609
2020,"IT0898A",2020-05-10,18.6304
2020,"IT0898A",2020-05-11,27.6043
2020,"IT0898A",2020-05-12,22.0565
2020,"IT0898A",2020-05-13,28.8609
2020,"IT0898A",2020-05-14,59.8261
2020,"IT0898A",2020-05-15,41.3522
2020,"IT0898A",2020-05-16,46.5391
2020,"IT0898A",2020-05-17,48.2565
2020,"IT0898A",2020-05-18,43.1217
2020,"IT0898A",2020-05-19,29.7043
2020,"IT0898A",2020-05-20,17.6913
2020,"IT0898A",2020-05-21,14.0565
2020,"IT0898A",2020-05-22,16.6087
2020,"IT0898A",2020-05-23,21.5913
2020,"IT0898A",2020-05-24,16.2609
2020,"IT0898A",2020-05-25,11.5522
2020,"IT0898A",2020-05-26,13.0652
2020,"IT0898A",2020-05-27,10.8609
2020,"IT0898A",2020-05-28,16.8435
2020,"IT0898A",2020-05-29,21.3217
2020,"IT0898A",2020-05-30,13.0565
2020,"IT0898A",2020-05-31,9.3913
2020,"IT0898A",2020-06-01,14.0435
2020,"IT0898A",2020-06-02,11.6609
2020,"IT0898A",2020-06-03,18.6348
2020,"IT0898A",2020-06-04,21.2348
2020,"IT0898A",2020-06-05,20.81
2020,"IT0898A",2020-06-06,23.1087
2020,"IT0898A",2020-06-07,16.1478
2020,"IT0898A",2020-06-08,22.2609
2020,"IT0898A",2020-06-09,20
2020,"IT0898A",2020-06-10,20.3043
2020,"IT0898A",2020-06-11,16.487
2020,"IT0898A",2020-06-12,18.7217
2020,"IT0898A",2020-06-13,20.9174
2020,"IT0898A",2020-06-14,15.2348
2020,"IT0898A",2020-06-15,27.087
2020,"IT0898A",2020-06-16,28.1348
2020,"IT0898A",2020-06-17,26.6043
2020,"IT0898A",2020-06-18,19.4565
2020,"IT0898A",2020-06-19,21.713
2020,"IT0898A",2020-06-20,24.6435
2020,"IT0898A",2020-06-21,16.7435
2020,"IT0898A",2020-06-22,12.2826
2020,"IT0898A",2020-06-23,16.735
2020,"IT0898A",2020-06-24,24.1043
2020,"IT0898A",2020-06-25,30.787
2020,"IT0898A",2020-06-26,29.7652
2020,"IT0898A",2020-06-27,33.887
2020,"IT0898A",2020-06-28,30.0391
2020,"IT0898A",2020-06-29,25.8522
2020,"IT0898A",2020-06-30,25
2020,"IT0934A",2020-01-01,56.2913
2020,"IT0934A",2020-01-02,40.1273
2020,"IT0934A",2020-01-03,91.36
2020,"IT0934A",2020-01-06,14.4043
2020,"IT0934A",2020-01-07,38.2348
2020,"IT0934A",2020-01-08,45.6609
2020,"IT0934A",2020-01-09,56.1609
2020,"IT0934A",2020-01-10,78.2526
2020,"IT0934A",2020-01-11,51.3524
2020,"IT0934A",2020-01-12,54.4435
2020,"IT0934A",2020-01-13,45.6435
2020,"IT0934A",2020-01-14,61.2739
2020,"IT0934A",2020-01-15,74.3333
2020,"IT0934A",2020-01-16,60.6176
2020,"IT0934A",2020-01-17,72.2286
2020,"IT0934A",2020-01-18,67.1381
2020,"IT0934A",2020-01-19,45.1
2020,"IT0934A",2020-01-20,63.0625
2020,"IT0934A",2020-01-21,30.3348
2020,"IT0934A",2020-01-22,47.8217
2020,"IT0934A",2020-01-23,51.3067
2020,"IT0934A",2020-01-24,57.1818
2020,"IT0934A",2020-01-25,65.5538
2020,"IT0934A",2020-01-26,56.5682
2020,"IT0934A",2020-01-27,46.925
2020,"IT0934A",2020-01-28,23.3348
2020,"IT0934A",2020-01-29,28.9652
2020,"IT0934A",2020-01-30,46.4609
2020,"IT0934A",2020-01-31,50.4833
2020,"IT0934A",2020-02-01,49.6437
2020,"IT0934A",2020-02-02,23.5474
2020,"IT0934A",2020-02-03,22.8826
2020,"IT0934A",2020-02-04,29.8348
2020,"IT0934A",2020-02-05,9.887
2020,"IT0934A",2020-02-06,14.1565
2020,"IT0934A",2020-02-07,30.4136
2020,"IT0934A",2020-02-08,49.9538
2020,"IT0934A",2020-02-09,38.4583
2020,"IT0934A",2020-02-10,25.3909
2020,"IT0934A",2020-02-11,27.0783
2020,"IT0934A",2020-02-12,38.9043
2020,"IT0934A",2020-02-13,30.4227
2020,"IT0934A",2020-02-14,18.687
