"reporting_year","station_eu_code","date","PM2.5"
2020,"IT0898A",2020-01-01,151.03
2020,"IT0898A",2020-01-02,18.1739
2020,"IT0898A",2020-01-03,47.2696
2020,"IT0898A",2020-01-04,63.1
2020,"IT0898A",2020-01-05,22.9304
2020,"IT0898A",2020-01-06,6.8826
2020,"IT0898A",2020-01-07,21.387
2020,"IT0898A",2020-01-08,18.013
2020,"IT0898A",2020-01-09,31.0261
2020,"IT0898A",2020-01-10,42.0739
2020,"IT0898A",2020-01-11,36.7913
2020,"IT0898A",2020-01-12,23.113
2020,"IT0898A",2020-01-13,21.6522
2020,"IT0898A",2020-01-14,49.2304
2020,"IT0898A",2020-01-15,41.8652
2020,"IT0898A",2020-01-16,33.3
2020,"IT0898A",2020-01-17,46.7261
2020,"IT0898A",2020-01-18,34.4826
2020,"IT0898A",2020-01-19,13.8043
2020,"IT0898A",2020-01-20,10.3478
2020,"IT0898A",2020-01-21,18.5826
2020,"IT0898A",2020-01-22,30.7652
2020,"IT0898A",2020-01-23,46.2955
2020,"IT0898A",2020-01-24,36.187
2020,"IT0898A",2020-01-25,28.2304
2020,"IT0898A",2020-01-26,32.7913
2020,"IT0898A",2020-01-27,22.6783
2020,"IT0898A",2020-01-28,9.9174
2020,"IT0898A",2020-01-29,12.3391
2020,"IT0898A",2020-01-30,21.8522
2020,"IT0898A",2020-01-31,18.2174
2020,"IT0898A",2020-02-01,26.8435
2020,"IT0898A",2020-02-02,15.5696
2020,"IT0898A",2020-02-03,8.9652
2020,"IT0898A",2020-02-04,17.8652
2020,"IT0898A",2020-02-05,4.6105
2020,"IT0898A",2020-02-06,8.787
2020,"IT0898A",2020-02-07,20.9826
2020,"IT0898A",2020-02-08,31.8957
2020,"IT0898A",2020-02-09,25.1609
2020,"IT0898A",2020-02-10,15.1565
2020,"IT0898A",2020-02-11,12.8826
2020,"IT0898A",2020-02-12,14.8783
2020,"IT0898A",2020-02-13,13.0783
2020,"IT0898A",2020-02-14,8.4522
2020,"IT0898A",2020-02-15,8.4913
2020,"IT0898A",2020-02-16,16.3261
2020,"IT0898A",2020-02-17,22.0522
2020,"IT0898A",2020-02-18,20.8957
2020,"IT0898A",2020-02-19,16.3
2020,"IT0898A",2020-02-20,12.413
2020,"IT0898A",2020-02-21,21.6522
2020,"IT0898A",2020-02-22,14.3739
2020,"IT0898A",2020-02-23,20.7913
2020,"IT0898A",2020-02-24,11.8565
2020,"IT0898A",2020-02-25,9.7783
2020,"IT0898A",2020-02-26,10.5913
2020,"IT0898A",2020-02-27,7.0087
2020,"IT0898A",2020-02-28,9.3174
2020,"IT0898A",2020-02-29,8.9773
2020,"IT0898A",2020-03-01,10.8783
2020,"IT0898A",2020-03-02,10.6826
2020,"IT0898A",2020-03-03,10.2773
2020,"IT0898A",2020-03-04,12.1043
2020,"IT0898A",2020-03-05,10.0217
2020,"IT0898A",2020-03-06,6.113
2020,"IT0898A",2020-03-07,9.887
2020,"IT0898A",2020-03-08,10.6739
2020,"IT0898A",2020-03-09,15.6652
2020,"IT0898A",2020-03-10,12.3087
2020,"IT0898A",2020-03-11,20.987
2020,"IT0898A",2020-03-12,15.6609
2020,"IT0898A",2020-03-13,18.0217
2020,"IT0898A",2020-03-14,16.9478
2020,"IT0898A",2020-03-15,10.0652
