"reporting_year","station_eu_code","date","value"
2020,"IT0825A",2020-01-01,66
2020,"IT0825A",2020-01-02,50
2020,"IT0825A",2020-01-03,54
2020,"IT0825A",2020-01-04,47
2020,"IT0825A",2020-01-05,32
2020,"IT0825A",2020-01-06,13
2020,"IT0825A",2020-01-07,38
2020,"IT0825A",2020-01-08,54
2020,"IT0825A",2020-01-09,58
2020,"IT0825A",2020-01-10,55
2020,"IT0825A",2020-01-11,56
2020,"IT0825A",2020-01-12,44
2020,"IT0825A",2020-01-13,44
2020,"IT0825A",2020-01-14,52
2020,"IT0825A",2020-01-15,53
2020,"IT0825A",2020-01-16,59
2020,"IT0825A",2020-01-17,54
2020,"IT0825A",2020-01-18,38
2020,"IT0825A",2020-01-19,20
2020,"IT0825A",2020-01-20,14
2020,"IT0825A",2020-01-21,30
2020,"IT0825A",2020-01-22,46
2020,"IT0825A",2020-01-23,50
2020,"IT0825A",2020-01-24,56
2020,"IT0825A",2020-01-25,39
2020,"IT0825A",2020-01-26,33
2020,"IT0825A",2020-01-27,35
2020,"IT0825A",2020-01-28,30
2020,"IT0825A",2020-01-29,28
2020,"IT0825A",2020-01-30,34
2020,"IT0825A",2020-01-31,39
2020,"IT0825A",2020-02-01,60
2020,"IT0825A",2020-02-02,39
2020,"IT0825A",2020-02-03,29
2020,"IT0825A",2020-02-04,26
2020,"IT0825A",2020-02-05,9
2020,"IT0825A",2020-02-06,22
2020,"IT0825A",2020-02-07,28
2020,"IT0825A",2020-02-08,51
2020,"IT0825A",2020-02-09,38
2020,"IT0825A",2020-02-10,30
2020,"IT0825A",2020-02-11,34
2020,"IT0825A",2020-02-12,28
2020,"IT0825A",2020-02-13,28
2020,"IT0825A",2020-02-14,22
2020,"IT0825A",2020-02-15,25
2020,"IT0825A",2020-02-16,36
2020,"IT0825A",2020-02-17,33
2020,"IT0825A",2020-02-18,30
2020,"IT0825A",2020-02-19,30
2020,"IT0825A",2020-02-20,21
2020,"IT0825A",2020-02-21,27
2020,"IT0825A",2020-02-22,36
2020,"IT0825A",2020-02-23,42
2020,"IT0825A",2020-02-24,25
2020,"IT0825A",2020-02-25,18
2020,"IT0825A",2020-02-26,16
2020,"IT0825A",2020-02-27,16
2020,"IT0825A",2020-02-28,22
2020,"IT0825A",2020-02-29,21
2020,"IT0825A",2020-03-01,24
2020,"IT0825A",2020-03-02,18
2020,"IT0825A",2020-03-03,23
2020,"IT0825A",2020-03-04,16
2020,"IT0825A",2020-03-05,15
2020,"IT0825A",2020-03-06,30
2020,"IT0825A",2020-03-07,19
2020,"IT0825A",2020-03-08,12
2020,"IT0825A",2020-03-09,19
2020,"IT0825A",2020-03-10,22
2020,"IT0825A",2020-03-11,29
2020,"IT0825A",2020-03-12,21
2020,"IT0825A",2020-03-13,24
2020,"IT0825A",2020-03-14,25
2020,"IT0825A",2020-03-15,14
2020,"IT0825A",2020-03-16,20
2020,"IT0825A",2020-03-17,30
2020,"IT0825A",2020-03-18,34
2020,"IT0825A",2020-03-19,34
2020,"IT0825A",2020-03-20,27
2020,"IT0825A",2020-03-21,32
2020,"IT0825A",2020-03-22,33
2020,"IT0825A",2020-03-23,14
2020,"IT0825A",2020-03-24,14
2020,"IT0825A",2020-03-25,12
2020,"IT0825A",2020-03-26,10
2020,"IT0825A",2020-03-27,7
2020,"IT0825A",2020-03-28,25
2020,"IT0825A",2020-03-29,49
2020,"IT0825A",2020-03-30,44
2020,"IT0825A",2020-03-31,22
2020,"IT0825A",2020-04-01,14
2020,"IT0825A",2020-04-02,20
2020,"IT0825A",2020-04-03,26
2020,"IT0825A",2020-04-04,18
2020,"IT0825A",2020-04-05,21
2020,"IT0825A",2020-04-06,24
2020,"IT0825A",2020-04-07,27
2020,"IT0825A",2020-04-08,34
2020,"IT0825A",2020-04-09,25
2020,"IT0825A",2020-04-10,24
2020,"IT0825A",2020-04-11,22
2020,"IT0825A",2020-04-12,24
2020,"IT0825A",2020-04-13,21
2020,"IT0825A",2020-04-14,19
2020,"IT0825A",2020-04-15,11
2020,"IT0825A",2020-04-16,16
2020,"IT0825A",2020-04-17,19
2020,"IT0825A",2020-04-18,16
2020,"IT0825A",2020-04-19,20
2020,"IT0825A",2020-04-20,16
2020,"IT0825A",2020-04-21,10
2020,"IT0825A",2020-04-22,9
2020,"IT0825A",2020-04-23,10
2020,"IT0825A",2020-04-24,20
2020,"IT0825A",2020-04-25,15
2020,"IT0825A",2020-04-26,9
2020,"IT0825A",2020-04-27,16
2020,"IT0825A",2020-04-28,23
2020,"IT0825A",2020-04-29,14
2020,"IT0825A",2020-04-30,13
2020,"IT0825A",2020-05-01,15
2020,"IT0825A",2020-05-02,14
2020,"IT0825A",2020-05-03,15
2020,"IT0825A",2020-05-04,15
2020,"IT0825A",2020-05-05,19
2020,"IT0825A",2020-05-06,19
2020,"IT0825A",2020-05-07,20
2020,"IT0825A",2020-05-08,19
2020,"IT0825A",2020-05-09,15
2020,"IT0825A",2020-05-10,13
2020,"IT0825A",2020-05-11,20
2020,"IT0825A",2020-05-12,17
2020,"IT0825A",2020-05-13,28
2020,"IT0825A",2020-05-14,44
2020,"IT0825A",2020-05-15,20
2020,"IT0825A",2020-05-16,21
2020,"IT0825A",2020-05-17,40
2020,"IT0825A",2020-05-18,42
2020,"IT0825A",2020-05-19,21
2020,"IT0825A",2020-05-20,15
2020,"IT0825A",2020-05-21,16
2020,"IT0825A",2020-05-22,17
2020,"IT0825A",2020-05-23,18
2020,"IT0825A",2020-05-24,18
2020,"IT0825A",2020-05-25,15
2020,"IT0825A",2020-05-26,13
2020,"IT0825A",2020-05-27,11
2020,"IT0825A",2020-05-28,13
2020,"IT0825A",2020-05-29,14
2020,"IT0825A",2020-05-30,12
2020,"IT0825A",2020-05-31,7
2020,"IT0825A",2020-06-01,13
2020,"IT0825A",2020-06-02,14
2020,"IT0825A",2020-06-03,12
2020,"IT0825A",2020-06-04,13
2020,"IT0825A",2020-06-05,20
2020,"IT0825A",2020-06-06,19
2020,"IT0825A",2020-06-07,17
2020,"IT0825A",2020-06-08,24
2020,"IT0825A",2020-06-10,19
2020,"IT0825A",2020-06-11,16
2020,"IT0825A",2020-06-12,15
2020,"IT0825A",2020-06-13,25
2020,"IT0825A",2020-06-14,23
2020,"IT0825A",2020-06-15,21
2020,"IT0825A",2020-06-16,18
2020,"IT0825A",2020-06-17,23
2020,"IT0825A",2020-06-18,23
2020,"IT0825A",2020-06-19,19
2020,"IT0825A",2020-06-20,16
2020,"IT0825A",2020-06-21,11
2020,"IT0825A",2020-06-22,9
2020,"IT0825A",2020-06-23,13
2020,"IT0825A",2020-06-24,17
2020,"IT0825A",2020-06-25,22
2020,"IT0825A",2020-06-26,25
2020,"IT0825A",2020-06-27,17
2020,"IT0825A",2020-06-28,23
2020,"IT0825A",2020-06-29,23
2020,"IT0825A",2020-06-30,19
2020,"IT0828A",2020-01-01,89
2020,"IT0828A",2020-01-02,76
2020,"IT0828A",2020-01-03,59
2020,"IT0828A",2020-01-04,61
2020,"IT0828A",2020-01-05,36
2020,"IT0828A",2020-01-06,15
2020,"IT0828A",2020-01-07,46
2020,"IT0828A",2020-01-08,65
2020,"IT0828A",2020-01-09,68
2020,"IT0828A",2020-01-10,64
2020,"IT0828A",2020-01-11,70
2020,"IT0828A",2020-01-12,55
2020,"IT0828A",2020-01-13,64
2020,"IT0828A",2020-01-14,58
2020,"IT0828A",2020-01-15,58
2020,"IT0828A",2020-01-16,70
2020,"IT0828A",2020-01-17,59
2020,"IT0828A",2020-01-18,39
2020,"IT0828A",2020-01-19,30
2020,"IT0828A",2020-01-20,24
2020,"IT0828A",2020-01-21,32
2020,"IT0828A",2020-01-22,44
2020,"IT0828A",2020-01-23,61
2020,"IT0828A",2020-01-24,67
2020,"IT0828A",2020-01-25,47
2020,"IT0828A",2020-01-26,36
2020,"IT0828A",2020-01-27,50
2020,"IT0828A",2020-01-28,26
2020,"IT0828A",2020-01-29,43
2020,"IT0828A",2020-01-30,44
2020,"IT0828A",2020-01-31,56
2020,"IT0828A",2020-02-01,62
2020,"IT0828A",2020-02-02,37
2020,"IT0828A",2020-02-03,37
2020,"IT0828A",2020-02-04,34
2020,"IT0828A",2020-02-05,8
2020,"IT0828A",2020-02-06,16
2020,"IT0828A",2020-02-07,23
2020,"IT0828A",2020-02-08,52
2020,"IT0828A",2020-02-09,51
2020,"IT0828A",2020-02-10,30
2020,"IT0828A",2020-02-11,47
2020,"IT0828A",2020-02-12,50
2020,"IT0828A",2020-02-13,41
2020,"IT0828A",2020-02-14,19
2020,"IT0828A",2020-02-15,26
2020,"IT0828A",2020-02-16,45
2020,"IT0828A",2020-02-17,43
2020,"IT0828A",2020-02-18,41
2020,"IT0828A",2020-02-19,43
2020,"IT0828A",2020-02-20,22
2020,"IT0828A",2020-02-21,33
2020,"IT0828A",2020-02-22,46
2020,"IT0828A",2020-02-23,44
2020,"IT0828A",2020-02-24,32
2020,"IT0828A",2020-02-25,36
2020,"IT0828A",2020-02-26,18
2020,"IT0828A",2020-02-27,16
2020,"IT0828A",2020-02-28,21
2020,"IT0828A",2020-02-29,30
2020,"IT0828A",2020-03-01,37
2020,"IT0828A",2020-03-02,34
2020,"IT0828A",2020-03-03,31
2020,"IT0828A",2020-03-04,24
2020,"IT0828A",2020-03-05,18
2020,"IT0828A",2020-03-06,29
2020,"IT0828A",2020-03-07,26
2020,"IT0828A",2020-03-08,15
2020,"IT0828A",2020-03-09,21
2020,"IT0828A",2020-03-10,29
2020,"IT0828A",2020-03-11,38
2020,"IT0828A",2020-03-12,24
2020,"IT0828A",2020-03-13,38
2020,"IT0828A",2020-03-14,26
2020,"IT0828A",2020-03-15,19
2020,"IT0828A",2020-03-16,24
2020,"IT0828A",2020-03-17,37
2020,"IT0828A",2020-03-18,39
2020,"IT0828A",2020-03-19,41
2020,"IT0828A",2020-03-20,38
2020,"IT0828A",2020-03-21,38
2020,"IT0828A",2020-03-22,38
2020,"IT0828A",2020-03-23,20
2020,"IT0828A",2020-03-24,11
