"reporting_year","station_eu_code","date","value"
2020,"IT0825A",2020-01-01,50
2020,"IT0825A",2020-01-02,34
2020,"IT0825A",2020-01-03,34
2020,"IT0825A",2020-01-04,32
2020,"IT0825A",2020-01-05,21
2020,"IT0825A",2020-01-06,7
2020,"IT0825A",2020-01-07,24
2020,"IT0825A",2020-01-08,38
2020,"IT0825A",2020-01-09,39
2020,"IT0825A",2020-01-10,35
2020,"IT0825A",2020-01-11,39
2020,"IT0825A",2020-01-12,29
2020,"IT0825A",2020-01-13,26
2020,"IT0825A",2020-01-14,36
2020,"IT0825A",2020-01-15,38
2020,"IT0825A",2020-01-16,40
2020,"IT0825A",2020-01-17,37
2020,"IT0825A",2020-01-18,27
2020,"IT0825A",2020-01-19,13
2020,"IT0825A",2020-01-20,10
2020,"IT0825A",2020-01-21,20
2020,"IT0825A",2020-01-22,29
2020,"IT0825A",2020-01-23,33
2020,"IT0825A",2020-01-24,39
2020,"IT0825A",2020-01-25,20
2020,"IT0825A",2020-01-26,18
2020,"IT0825A",2020-01-27,19
2020,"IT0825A",2020-01-28,13
2020,"IT0825A",2020-01-29,13
2020,"IT0825A",2020-01-30,19
2020,"IT0825A",2020-01-31,24
2020,"IT0825A",2020-02-01,44
2020,"IT0825A",2020-02-02,27
2020,"IT0825A",2020-02-03,16
2020,"IT0825A",2020-02-04,11
2020,"IT0825A",2020-02-05,4
2020,"IT0825A",2020-02-06,10
2020,"IT0825A",2020-02-07,20
2020,"IT0825A",2020-02-08,38
2020,"IT0825A",2020-02-09,27
2020,"IT0825A",2020-02-10,11
2020,"IT0825A",2020-02-11,6
2020,"IT0825A",2020-02-12,8
2020,"IT0825A",2020-02-13,14
2020,"IT0825A",2020-02-14,10
2020,"IT0825A",2020-02-15,16
2020,"IT0825A",2020-02-16,25
2020,"IT0825A",2020-02-17,21
2020,"IT0825A",2020-02-18,18
2020,"IT0825A",2020-02-19,15
2020,"IT0825A",2020-02-20,12
2020,"IT0825A",2020-02-21,15
2020,"IT0825A",2020-02-22,24
2020,"IT0825A",2020-02-23,25
2020,"IT0825A",2020-02-24,13
2020,"IT0825A",2020-02-25,6
2020,"IT0825A",2020-02-26,2
2020,"IT0825A",2020-02-27,6
2020,"IT0825A",2020-02-28,7
2020,"IT0825A",2020-02-29,13
2020,"IT0825A",2020-03-01,11
2020,"IT0825A",2020-03-02,5
2020,"IT0825A",2020-03-03,4
2020,"IT0825A",2020-03-04,8
2020,"IT0825A",2020-03-05,7
2020,"IT0825A",2020-03-06,8
2020,"IT0825A",2020-03-07,11
2020,"IT0825A",2020-03-08,7
2020,"IT0825A",2020-03-09,11
2020,"IT0825A",2020-03-10,17
2020,"IT0825A",2020-03-11,19
2020,"IT0825A",2020-03-12,14
2020,"IT0825A",2020-03-13,16
2020,"IT0825A",2020-03-14,15
2020,"IT0825A",2020-03-15,9
2020,"IT0825A",2020-03-16,15
2020,"IT0825A",2020-03-17,20
2020,"IT0825A",2020-03-18,25
2020,"IT0825A",2020-03-19,25
2020,"IT0825A",2020-03-20,20
2020,"IT0825A",2020-03-21,20
2020,"IT0825A",2020-03-22,24
2020,"IT0825A",2020-03-23,12
2020,"IT0825A",2020-03-24,10
2020,"IT0825A",2020-03-25,8
2020,"IT0825A",2020-03-26,4
2020,"IT0825A",2020-03-27,3
