"reporting_year","station_eu_code","date","C6H6"
2020,"IT1801A",2020-01-01,1.4745
2020,"IT1801A",2020-01-02,1.9115
2020,"IT1801A",2020-01-03,2.3868
2020,"IT1801A",2020-01-04,1.9615
2020,"IT1801A",2020-01-05,1.0742
2020,"IT1801A",2020-01-06,0.7904
2020,"IT1801A",2020-01-07,1.549
2020,"IT1801A",2020-01-08,1.835
2020,"IT1801A",2020-01-09,2.231
2020,"IT1801A",2020-01-10,2.6117
2020,"IT1801A",2020-01-11,2.0196
2020,"IT1801A",2020-01-12,1.6134
2020,"IT1801A",2020-01-13,2.2337
2020,"IT1801A",2020-01-14,2.4874
2020,"IT1801A",2020-01-15,2.501
2020,"IT1801A",2020-01-16,1.9223
2020,"IT1801A",2020-01-17,2.1892
2020,"IT1801A",2020-01-18,1.989
2020,"IT1801A",2020-01-19,1.5048
2020,"IT1801A",2020-01-20,1.6978
2020,"IT1801A",2020-01-21,1.9425
2020,"IT1801A",2020-01-22,2.2934
2020,"IT1801A",2020-01-23,2.0724
2020,"IT1801A",2020-01-24,2.0868
2020,"IT1801A",2020-01-25,2.1665
2020,"IT1801A",2020-01-26,1.915
2020,"IT1801A",2020-01-27,2.0978
2020,"IT1801A",2020-01-28,0.9145
2020,"IT1801A",2020-01-29,0.9994
2020,"IT1801A",2020-01-30,1.6441
2020,"IT1801A",2020-01-31,1.7095
2020,"IT1801A",2020-02-01,1.5793
2020,"IT1801A",2020-02-02,1.2712
2020,"IT1801A",2020-02-03,1.5001
2020,"IT1801A",2020-02-04,0.9022
2020,"IT1801A",2020-02-05,0.707
2020,"IT1801A",2020-02-06,0.8455
2020,"IT1801A",2020-02-07,1.5766
2020,"IT1801A",2020-02-08,1.5982
2020,"IT1801A",2020-02-09,1.8031
2020,"IT1801A",2020-02-10,1.1778
2020,"IT1801A",2020-02-11,1.2652
2020,"IT1801A",2020-02-12,1.4386
2020,"IT1801A",2020-02-13,1.3198
2020,"IT1801A",2020-02-14,1.0401
2020,"IT1801A",2020-02-15,1.0888
2020,"IT1801A",2020-02-16,1.1341
2020,"IT1801A",2020-02-17,1.818
2020,"IT1801A",2020-02-18,1.9102
2020,"IT1801A",2020-02-19,1.3693
2020,"IT1801A",2020-02-20,0.9823
2020,"IT1801A",2020-02-21,1.1726
2020,"IT1801A",2020-02-22,1.2079
2020,"IT1801A",2020-02-23,1.2588
2020,"IT1801A",2020-02-24,1.3309
2020,"IT1962A",2020-01-01,4.1474
2020,"IT1962A",2020-01-02,4.2418
2020,"IT1962A",2020-01-03,5.9223
2020,"IT1962A",2020-01-04,7.3205
2020,"IT1962A",2020-01-05,2.6632
2020,"IT1962A",2020-01-06,1.2079
2020,"IT1962A",2020-01-07,4.6397
2020,"IT1962A",2020-01-08,2.5421
2020,"IT1962A",2020-01-09,4.7185
2020,"IT1962A",2020-01-13,6.7814
2020,"IT1962A",2020-01-14,4.9868
2020,"IT1962A",2020-01-15,5.9257
2020,"IT1962A",2020-01-16,6.0037
2020,"IT1962A",2020-01-17,6.0107
2020,"IT1962A",2020-01-18,5.9087
2020,"IT1962A",2020-01-19,3.0862
2020,"IT1962A",2020-01-20,1.5835
2020,"IT1962A",2020-01-21,1.8837
