"reporting_year","station_eu_code","date","NO2"
2020,"IT1753A",2020-01-01,29.055
2020,"IT1753A",2020-01-02,44.018
2020,"IT1753A",2020-01-03,74.6156
2020,"IT1753A",2020-01-04,50.7967
2020,"IT1753A",2020-01-05,11.1204
2020,"IT1753A",2020-01-06,16.0419
2020,"IT1753A",2020-01-07,48.2008
2020,"IT1753A",2020-01-08,47.9101
2020,"IT1753A",2020-01-09,64.0226
2020,"IT1753A",2020-01-10,55.7462
2020,"IT1753A",2020-01-11,42.1054
2020,"IT1753A",2020-01-12,26.5518
2020,"IT1753A",2020-01-13,44.7559
2020,"IT1753A",2020-01-14,45.0855
2020,"IT1753A",2020-01-15,41.6386
2020,"IT1753A",2020-01-16,49.9956
2020,"IT1753A",2020-01-17,47.1799
2020,"IT1753A",2020-01-18,36.6102
2020,"IT1753A",2020-01-19,17.2111
2020,"IT1753A",2020-01-20,34.2241
2020,"IT1753A",2020-01-21,41.6222
2020,"IT1753A",2020-01-22,50.3618
2020,"IT1753A",2020-01-23,48.1256
2020,"IT1753A",2020-01-24,50.5788
2020,"IT1753A",2020-01-25,34.3086
2020,"IT1753A",2020-01-26,29.2802
2020,"IT1753A",2020-01-27,36.2122
2020,"IT1753A",2020-01-28,19.464
2020,"IT1753A",2020-01-29,27.0142
2020,"IT1753A",2020-01-30,31.3609
2020,"IT1753A",2020-01-31,21.8399
2020,"IT1753A",2020-02-01,25.4218
2020,"IT1753A",2020-02-02,8.7582
2020,"IT1753A",2020-02-03,24.0014
2020,"IT1753A",2020-02-04,18.082
2020,"IT1753A",2020-02-05,21.5085
2020,"IT1753A",2020-02-06,19.371
2020,"IT1753A",2020-02-07,59.0096
2020,"IT1753A",2020-02-08,48.1058
2020,"IT1753A",2020-02-09,25.8355
2020,"IT1753A",2020-02-10,17.7025
2020,"IT1753A",2020-02-11,20.8655
2020,"IT1753A",2020-02-12,32.5068
2020,"IT1753A",2020-02-13,24.1797
2020,"IT1753A",2020-02-14,29.9115
2020,"IT1753A",2020-02-15,31.6873
2020,"IT1753A",2020-02-16,41.6245
2020,"IT1753A",2020-02-17,25.4051
2020,"IT1753A",2020-02-18,43.6591
2020,"IT1753A",2020-02-19,32.019
2020,"IT1753A",2020-02-20,29.8799
2020,"IT1753A",2020-02-21,38.3435
2020,"IT1753A",2020-02-22,35.5641
2020,"IT1753A",2020-02-23,18.4926
2020,"IT1753A",2020-02-24,18.967
2020,"IT1753A",2020-02-25,13.9332
2020,"IT1753A",2020-02-26,12.5335
2020,"IT1753A",2020-02-27,22.0642
2020,"IT1753A",2020-02-28,27.306
2020,"IT1753A",2020-02-29,21.9458
2020,"IT1753A",2020-03-01,6.281
2020,"IT1753A",2020-03-02,7.4145
2020,"IT1753A",2020-03-03,14.0156
2020,"IT1753A",2020-03-04,31.1577
2020,"IT1753A",2020-03-05,22.1821
2020,"IT1753A",2020-03-06,17.7022
2020,"IT1753A",2020-03-07,23.5853
2020,"IT1753A",2020-03-08,15.6309
2020,"IT1753A",2020-03-09,23.9237
2020,"IT1753A",2020-03-10,23.9023
2020,"IT1753A",2020-03-11,23.3175
2020,"IT1753A",2020-03-12,14.1281
2020,"IT1753A",2020-03-13,11.441
2020,"IT1753A",2020-03-14,11.465
2020,"IT1753A",2020-03-15,2.8799
2020,"IT1753A",2020-03-16,9.9938
2020,"IT1753A",2020-03-17,14.5953
2020,"IT1753A",2020-03-18,10.8622
2020,"IT1753A",2020-03-19,16.4484
2020,"IT1753A",2020-03-20,12.5748
2020,"IT1753A",2020-03-21,10.5689
2020,"IT1753A",2020-03-22,1.434
2020,"IT1753A",2020-03-23,3.4194
2020,"IT1753A",2020-03-24,13.4856
2020,"IT1753A",2020-03-25,13.4238
2020,"IT1753A",2020-03-26,12.1251
2020,"IT1753A",2020-03-27,8.2381
2020,"IT1753A",2020-03-28,5.0778
2020,"IT1753A",2020-03-29,6.1029
2020,"IT1753A",2020-03-30,12.7884
2020,"IT1753A",2020-03-31,9.2509
2020,"IT1753A",2020-04-01,5.5243
2020,"IT1753A",2020-04-02,8.51
2020,"IT1753A",2020-04-03,15.8139
2020,"IT1753A",2020-04-04,5.2246
2020,"IT1753A",2020-04-05,2.1429
2020,"IT1753A",2020-04-06,11.6781
2020,"IT1753A",2020-04-07,11.3691
2020,"IT1753A",2020-04-08,10.7238
2020,"IT1753A",2020-04-09,10.6518
2020,"IT1753A",2020-04-10,11.9396
2020,"IT1753A",2020-04-11,9.0356
2020,"IT1753A",2020-04-12,3.7256
2020,"IT1753A",2020-04-13,4.3835
2020,"IT1753A",2020-04-14,11.9898
2020,"IT1753A",2020-04-15,5.1398
2020,"IT1753A",2020-04-16,6.4176
2020,"IT1753A",2020-04-17,8.06
2020,"IT1753A",2020-04-18,10.4127
2020,"IT1753A",2020-04-19,3.3186
2020,"IT1753A",2020-04-20,10.7016
2020,"IT1753A",2020-04-21,9.1735
2020,"IT1753A",2020-04-22,8.1253
2020,"IT1753A",2020-04-23,5.601
2020,"IT1753A",2020-04-24,9.7595
2020,"IT1753A",2020-04-25,1.8792
2020,"IT1753A",2020-04-26,2.5745
2020,"IT1753A",2020-04-27,7.0822
2020,"IT1753A",2020-04-28,3.0718
2020,"IT1753A",2020-04-29,3.2702
2020,"IT1753A",2020-04-30,4.0629
2020,"IT1753A",2020-05-01,1.8542
2020,"IT1753A",2020-05-02,5.3955
2020,"IT1753A",2020-05-03,2.7775
2020,"IT1753A",2020-05-04,7.4091
2020,"IT1753A",2020-05-05,8.8726
2020,"IT1753A",2020-05-06,10.4889
2020,"IT1753A",2020-05-07,6.1521
2020,"IT1753A",2020-05-08,9.4665
2020,"IT1753A",2020-05-09,10.4469
2020,"IT1753A",2020-05-10,3.6768
2020,"IT1753A",2020-05-11,11.5455
2020,"IT1753A",2020-05-12,5.0478
2020,"IT1753A",2020-05-13,8.6521
2020,"IT1753A",2020-05-14,8.6283
2020,"IT1753A",2020-05-15,6.8972
2020,"IT1753A",2020-05-16,11.621
2020,"IT1753A",2020-05-17,6.997
2020,"IT1753A",2020-05-18,12.0129
2020,"IT1753A",2020-05-19,9.307
2020,"IT1753A",2020-05-20,14.7889
2020,"IT1753A",2020-05-21,7.895
2020,"IT1753A",2020-05-22,13.4634
2020,"IT1753A",2020-05-23,10.7792
2020,"IT1753A",2020-05-24,3.5557
2020,"IT1753A",2020-05-25,10.2501
2020,"IT1753A",2020-05-26,6.158
2020,"IT1753A",2020-05-27,8.535
2020,"IT1753A",2020-05-28,10.9293
2020,"IT1753A",2020-05-29,17.3008
2020,"IT1753A",2020-05-30,16.3037
2020,"IT1753A",2020-05-31,6.0545
2020,"IT1753A",2020-06-01,11.6883
2020,"IT1753A",2020-06-02,7.4675
2020,"IT1753A",2020-06-03,18.4489
2020,"IT1753A",2020-06-04,9.5342
2020,"IT1753A",2020-06-05,9.7187
2020,"IT1753A",2020-06-06,13.3423
2020,"IT1753A",2020-06-07,4.2889
2020,"IT1753A",2020-06-08,13.9166
2020,"IT1753A",2020-06-09,10.5158
2020,"IT1753A",2020-06-10,12.0272
2020,"IT1753A",2020-06-11,10.3075
2020,"IT1753A",2020-06-12,11.9311
2020,"IT1753A",2020-06-13,8.8668
2020,"IT1753A",2020-06-14,3.985
2020,"IT1753A",2020-06-15,13.2114
2020,"IT1753A",2020-06-16,16.7181
2020,"IT1753A",2020-06-17,11.6618
2020,"IT1753A",2020-06-18,6.7797
2020,"IT1753A",2020-06-19,14.9926
2020,"IT1753A",2020-06-20,12.7138
2020,"IT1753A",2020-06-21,5.352
2020,"IT1753A",2020-06-22,16.7793
2020,"IT1753A",2020-06-23,14.9659
2020,"IT1753A",2020-06-24,18.3751
2020,"IT1753A",2020-06-25,17.2364
2020,"IT1753A",2020-06-26,15.4106
2020,"IT1753A",2020-06-27,12.7778
2020,"IT1753A",2020-06-28,8.862
2020,"IT1753A",2020-06-29,13.5538
2020,"IT1753A",2020-06-30,16.6019
2020,"IT1798A",2020-01-01,22.8686
2020,"IT1798A",2020-01-02,27.6905
2020,"IT1798A",2020-01-03,41.1565
2020,"IT1798A",2020-01-04,33.1717
2020,"IT1798A",2020-01-05,11.3756
2020,"IT1798A",2020-01-06,12.6404
2020,"IT1798A",2020-01-07,30.744
2020,"IT1798A",2020-01-08,28.4387
2020,"IT1798A",2020-01-09,39.3263
2020,"IT1798A",2020-01-10,32.9716
2020,"IT1798A",2020-01-11,23.8943
2020,"IT1798A",2020-01-12,17.6342
2020,"IT1798A",2020-01-13,29.0903
2020,"IT1798A",2020-01-14,30.1026
2020,"IT1798A",2020-01-15,29.8096
2020,"IT1798A",2020-01-16,29.2867
2020,"IT1798A",2020-01-17,30.7757
2020,"IT1798A",2020-01-18,24.8267
2020,"IT1798A",2020-01-19,15.0594
2020,"IT1798A",2020-01-20,16.0857
2020,"IT1798A",2020-01-21,21.5008
2020,"IT1798A",2020-01-22,29.1493
2020,"IT1798A",2020-01-23,29.9466
2020,"IT1798A",2020-01-24,29.13
2020,"IT1798A",2020-01-25,22.7213
2020,"IT1798A",2020-01-26,18.9357
2020,"IT1798A",2020-01-27,23.6325
2020,"IT1798A",2020-01-28,8.7566
2020,"IT1798A",2020-01-29,15.8465
2020,"IT1798A",2020-01-30,21.0179
2020,"IT1798A",2020-01-31,13.9691
2020,"IT1798A",2020-02-01,15.3844
2020,"IT1798A",2020-02-02,10.4112
