"reporting_year","station_eu_code","date","NOX"
2020,"IT1753A",2020-01-01,35.9885
2020,"IT1753A",2020-01-02,69.2982
2020,"IT1753A",2020-01-03,167.0443
2020,"IT1753A",2020-01-04,76.6485
2020,"IT1753A",2020-01-05,14.3356
2020,"IT1753A",2020-01-06,21.1116
2020,"IT1753A",2020-01-07,80.502
2020,"IT1753A",2020-01-08,80.7617
2020,"IT1753A",2020-01-09,140.5543
2020,"IT1753A",2020-01-10,92.6744
2020,"IT1753A",2020-01-11,59.4129
2020,"IT1753A",2020-01-12,32.8728
2020,"IT1753A",2020-01-13,81.3674
2020,"IT1753A",2020-01-14,72.0065
2020,"IT1753A",2020-01-15,70.4323
2020,"IT1753A",2020-01-16,79.8951
2020,"IT1753A",2020-01-17,71.6665
2020,"IT1753A",2020-01-18,55.3291
2020,"IT1753A",2020-01-19,22.3307
2020,"IT1753A",2020-01-20,50.0638
2020,"IT1753A",2020-01-21,66.9265
2020,"IT1753A",2020-01-22,86.9916
2020,"IT1753A",2020-01-23,81.551
2020,"IT1753A",2020-01-24,74.7058
2020,"IT1753A",2020-01-25,50.3692
2020,"IT1753A",2020-01-26,39.4814
2020,"IT1753A",2020-01-27,54.3459
2020,"IT1753A",2020-01-28,24.3912
2020,"IT1753A",2020-01-29,39.3456
2020,"IT1753A",2020-01-30,49.4222
2020,"IT1753A",2020-01-31,27.7066
2020,"IT1753A",2020-02-01,36.2188
2020,"IT1753A",2020-02-02,9.7378
2020,"IT1753A",2020-02-03,33.4385
2020,"IT1753A",2020-02-04,30.2773
2020,"IT1753A",2020-02-05,31.7133
2020,"IT1753A",2020-02-06,30.152
2020,"IT1753A",2020-02-07,101.5102
2020,"IT1753A",2020-02-08,81.6881
2020,"IT1753A",2020-02-09,31.1204
2020,"IT1753A",2020-02-10,23.9683
2020,"IT1753A",2020-02-11,28.0978
2020,"IT1753A",2020-02-12,49.1583
2020,"IT1753A",2020-02-13,32.5207
2020,"IT1753A",2020-02-14,43.8546
2020,"IT1753A",2020-02-15,43.184
2020,"IT1753A",2020-02-16,60.5563
2020,"IT1753A",2020-02-17,32.4409
2020,"IT1753A",2020-02-18,62.6286
2020,"IT1753A",2020-02-19,47.6428
2020,"IT1753A",2020-02-20,44.3889
2020,"IT1753A",2020-02-21,66.0554
2020,"IT1753A",2020-02-22,50.0239
2020,"IT1753A",2020-02-23,23.6886
2020,"IT1753A",2020-02-24,25.8166
2020,"IT1753A",2020-02-25,17.4342
2020,"IT1753A",2020-02-26,15.4639
2020,"IT1753A",2020-02-27,31.3645
2020,"IT1753A",2020-02-28,39.8495
2020,"IT1753A",2020-02-29,27.4947
2020,"IT1753A",2020-03-01,6.082
2020,"IT1753A",2020-03-02,9.4341
2020,"IT1753A",2020-03-03,19.6514
2020,"IT1753A",2020-03-04,50.7363
2020,"IT1753A",2020-03-05,42.3467
2020,"IT1753A",2020-03-06,24.4794
2020,"IT1753A",2020-03-07,31.7042
2020,"IT1753A",2020-03-08,20.7073
2020,"IT1753A",2020-03-09,33.6189
2020,"IT1753A",2020-03-10,30.5502
2020,"IT1753A",2020-03-11,29.6862
2020,"IT1753A",2020-03-12,17.3189
2020,"IT1753A",2020-03-13,12.7574
2020,"IT1753A",2020-03-14,13.6665
2020,"IT1753A",2020-03-15,4.0401
2020,"IT1753A",2020-03-16,12.5151
2020,"IT1753A",2020-03-17,18.7108
2020,"IT1753A",2020-03-18,11.0629
2020,"IT1753A",2020-03-19,21.3553
2020,"IT1753A",2020-03-20,14.8506
2020,"IT1753A",2020-03-21,12.8208
2020,"IT1753A",2020-03-22,1.7102
2020,"IT1753A",2020-03-23,4.652
2020,"IT1753A",2020-03-24,16.1629
2020,"IT1753A",2020-03-25,18.735
2020,"IT1753A",2020-03-26,16.0939
2020,"IT1753A",2020-03-27,11.3183
2020,"IT1753A",2020-03-28,6.0059
2020,"IT1753A",2020-03-29,7.1886
2020,"IT1753A",2020-03-30,18.0694
2020,"IT1753A",2020-03-31,12.9031
2020,"IT1753A",2020-04-01,9.3506
2020,"IT1753A",2020-04-02,11.2581
2020,"IT1753A",2020-04-03,21.3202
2020,"IT1753A",2020-04-04,7.5216
2020,"IT1753A",2020-04-05,2.1285
2020,"IT1753A",2020-04-06,14.1475
2020,"IT1753A",2020-04-07,13.4378
2020,"IT1753A",2020-04-08,13.515
2020,"IT1753A",2020-04-09,12.3839
2020,"IT1753A",2020-04-10,14.8415
2020,"IT1753A",2020-04-11,10.1193
2020,"IT1753A",2020-04-12,4.6349
2020,"IT1753A",2020-04-13,4.8527
2020,"IT1753A",2020-04-14,15.9851
2020,"IT1753A",2020-04-15,7.2599
2020,"IT1753A",2020-04-16,8.1872
2020,"IT1753A",2020-04-17,9.5616
2020,"IT1753A",2020-04-18,11.1915
2020,"IT1753A",2020-04-19,4.2883
2020,"IT1753A",2020-04-20,14.3782
2020,"IT1753A",2020-04-21,12.5099
2020,"IT1753A",2020-04-22,10.5926
2020,"IT1753A",2020-04-23,7.9552
2020,"IT1753A",2020-04-24,13.3349
2020,"IT1753A",2020-04-25,2.7899
2020,"IT1753A",2020-04-26,2.8729
2020,"IT1753A",2020-04-27,9.9745
2020,"IT1753A",2020-04-28,4.4415
2020,"IT1753A",2020-04-29,5.1857
2020,"IT1753A",2020-04-30,5.8906
2020,"IT1753A",2020-05-01,3.3252
2020,"IT1753A",2020-05-02,8.9017
2020,"IT1753A",2020-05-03,3.7517
2020,"IT1753A",2020-05-04,10.9085
2020,"IT1753A",2020-05-05,12.1106
2020,"IT1753A",2020-05-06,14.9305
2020,"IT1753A",2020-05-07,8.4694
2020,"IT1753A",2020-05-08,11.7448
2020,"IT1753A",2020-05-09,14.2174
2020,"IT1753A",2020-05-10,3.9625
2020,"IT1753A",2020-05-11,14.9292
2020,"IT1753A",2020-05-12,7.2375
2020,"IT1753A",2020-05-13,10.1704
2020,"IT1753A",2020-05-14,11.7275
2020,"IT1753A",2020-05-15,7.1926
2020,"IT1753A",2020-05-16,15.9747
2020,"IT1753A",2020-05-17,8.3725
2020,"IT1753A",2020-05-18,16.2394
2020,"IT1753A",2020-05-19,10.2666
2020,"IT1753A",2020-05-20,18.515
2020,"IT1753A",2020-05-21,10.6942
2020,"IT1753A",2020-05-22,18.4389
2020,"IT1753A",2020-05-23,13.9197
2020,"IT1753A",2020-05-24,4.2284
