"reporting_year","station_eu_code","date","O3"
2020,"IT1798A",2020-01-01,50.6356
2020,"IT1798A",2020-01-02,40.5991
2020,"IT1798A",2020-01-03,34.3408
2020,"IT1798A",2020-01-04,34.1474
2020,"IT1798A",2020-01-05,64.3816
2020,"IT1798A",2020-01-06,67.5678
2020,"IT1798A",2020-01-07,42.0399
2020,"IT1798A",2020-01-08,42.92
2020,"IT1798A",2020-01-09,34.6973
2020,"IT1798A",2020-01-10,38.2575
2020,"IT1798A",2020-01-11,47.9639
2020,"IT1798A",2020-01-12,48.0159
2020,"IT1798A",2020-01-13,35.3107
2020,"IT1798A",2020-01-14,40.2374
2020,"IT1798A",2020-01-15,42.2213
2020,"IT1798A",2020-01-16,44.0601
2020,"IT1798A",2020-01-17,45.5951
2020,"IT1798A",2020-01-18,47.259
2020,"IT1798A",2020-01-19,51.3268
2020,"IT1798A",2020-01-20,54.6566
2020,"IT1798A",2020-01-21,47.689
2020,"IT1798A",2020-01-22,39.7657
2020,"IT1798A",2020-01-23,44.4745
2020,"IT1798A",2020-01-24,40.4779
2020,"IT1798A",2020-01-25,49.6723
2020,"IT1798A",2020-01-26,45.2554
2020,"IT1798A",2020-01-27,44.1804
2020,"IT1798A",2020-01-28,75.1868
2020,"IT1798A",2020-01-29,62.6429
2020,"IT1798A",2020-01-30,57.8162
2020,"IT1798A",2020-01-31,62.6809
2020,"IT1798A",2020-02-01,48.9303
2020,"IT1798A",2020-02-02,61.721
2020,"IT1798A",2020-02-03,52.8505
2020,"IT1798A",2020-02-04,59.1335
2020,"IT1798A",2020-02-05,67.3752
2020,"IT1798A",2020-02-06,69.7129
2020,"IT1798A",2020-02-07,45.0515
2020,"IT1798A",2020-02-08,49.9199
2020,"IT1798A",2020-02-09,71.9689
2020,"IT1798A",2020-02-10,79.6485
2020,"IT1798A",2020-02-11,70.6364
2020,"IT1798A",2020-02-12,52.3332
2020,"IT1798A",2020-02-13,62.4825
2020,"IT1798A",2020-02-14,68.5137
2020,"IT1798A",2020-02-15,61.1909
2020,"IT1798A",2020-02-16,59.3386
2020,"IT1798A",2020-02-17,71.3261
2020,"IT1798A",2020-02-18,59.04
2020,"IT1798A",2020-02-19,62.0683
2020,"IT1798A",2020-02-20,61.7857
2020,"IT1798A",2020-02-21,55.8242
2020,"IT1798A",2020-02-22,61.2314
2020,"IT1798A",2020-02-23,76.8985
2020,"IT1798A",2020-02-24,73.5455
2020,"IT1798A",2020-02-25,80.1859
2020,"IT1798A",2020-02-26,87.2082
2020,"IT1798A",2020-02-27,77.5218
2020,"IT1798A",2020-02-28,69.2378
2020,"IT1798A",2020-02-29,75.0061
2020,"IT1798A",2020-03-01,86.97
2020,"IT1798A",2020-03-02,80.6776
2020,"IT1798A",2020-03-03,79.6482
2020,"IT1798A",2020-03-04,60.7601
2020,"IT1798A",2020-03-05,65.3168
2020,"IT1798A",2020-03-06,81.0226
2020,"IT1798A",2020-03-07,69.8918
2020,"IT1798A",2020-03-08,69.5251
2020,"IT1798A",2020-03-09,70.4278
2020,"IT1798A",2020-03-10,71.0172
2020,"IT1798A",2020-03-11,72.5361
2020,"IT1798A",2020-03-12,81.538
2020,"IT1798A",2020-03-13,76.5282
2020,"IT1798A",2020-03-14,71.229
2020,"IT1798A",2020-03-15,78.1666
2020,"IT1798A",2020-03-16,75.6195
2020,"IT1798A",2020-03-17,66.3597
2020,"IT1798A",2020-03-18,86.0216
2020,"IT1798A",2020-03-19,84.6831
2020,"IT1798A",2020-03-20,88.8777
2020,"IT1798A",2020-03-21,92.0053
2020,"IT1798A",2020-03-22,90.4231
2020,"IT1798A",2020-03-23,73.9074
2020,"IT1798A",2020-03-24,65.4265
2020,"IT1798A",2020-03-25,65.3623
2020,"IT1798A",2020-03-26,64.439
2020,"IT1798A",2020-03-27,75.4933
2020,"IT1798A",2020-03-28,73.3426
2020,"IT1798A",2020-03-29,62.3725
2020,"IT1798A",2020-03-30,66.6721
2020,"IT1798A",2020-03-31,71.5377
2020,"IT1798A",2020-04-01,84.4443
2020,"IT1798A",2020-04-02,88.6409
2020,"IT1798A",2020-04-03,87.1428
2020,"IT1798A",2020-04-04,97.2115
2020,"IT1798A",2020-04-05,101.1061
2020,"IT1798A",2020-04-06,87.8778
2020,"IT1798A",2020-04-07,101.2115
2020,"IT1798A",2020-04-08,93.7389
2020,"IT1798A",2020-04-09,92.1411
2020,"IT1798A",2020-04-10,103.0845
2020,"IT1798A",2020-04-11,116.9181
2020,"IT1798A",2020-04-12,115.0115
2020,"IT1798A",2020-04-13,120.7865
2020,"IT1798A",2020-04-14,91.4475
2020,"IT1798A",2020-04-15,77.3106
2020,"IT1798A",2020-04-16,83.562
2020,"IT1798A",2020-04-17,91.5008
2020,"IT1798A",2020-04-18,83.8517
2020,"IT1798A",2020-04-19,80.2456
2020,"IT1798A",2020-04-20,63.0913
2020,"IT1798A",2020-04-21,66.147
2020,"IT1798A",2020-04-22,61.8025
2020,"IT1798A",2020-04-23,61.8784
2020,"IT1798A",2020-04-24,76.5887
2020,"IT1798A",2020-04-25,92.0593
2020,"IT1798A",2020-04-26,79.0015
2020,"IT1798A",2020-04-27,78.685
2020,"IT1798A",2020-04-28,80.016
2020,"IT1798A",2020-04-29,85.4499
2020,"IT1798A",2020-04-30,81.0731
2020,"IT1798A",2020-05-01,85.6545
2020,"IT1798A",2020-05-02,62.5598
2020,"IT1798A",2020-05-03,62.0083
2020,"IT1798A",2020-05-04,81.607
2020,"IT1798A",2020-05-05,84.8551
2020,"IT1798A",2020-05-06,71.9767
2020,"IT1798A",2020-05-07,83.2749
2020,"IT1798A",2020-05-08,90.4602
2020,"IT1798A",2020-05-09,91.4037
2020,"IT1798A",2020-05-10,82.8162
2020,"IT1798A",2020-05-11,85.3493
2020,"IT1798A",2020-05-12,79.4125
2020,"IT1798A",2020-05-13,82.1107
2020,"IT1798A",2020-05-14,81.1248
2020,"IT1798A",2020-05-15,89.1273
2020,"IT1798A",2020-05-16,70.1892
2020,"IT1798A",2020-05-17,72.0996
2020,"IT1798A",2020-05-18,70.8597
2020,"IT1798A",2020-05-19,63.1282
2020,"IT1798A",2020-05-21,72.3048
2020,"IT1798A",2020-05-22,78.1712
2020,"IT1798A",2020-05-23,88.599
2020,"IT1798A",2020-05-24,89.352
2020,"IT1798A",2020-05-25,72.2024
2020,"IT1798A",2020-05-26,71.3487
2020,"IT1798A",2020-05-27,69.7474
2020,"IT1798A",2020-05-28,80.0719
2020,"IT1798A",2020-05-29,72.6603
2020,"IT1798A",2020-05-30,65.029
