"reporting_year","station_eu_code","date","PM10"
2020,"IT1798A",2020-02-21,9.3721
2020,"IT1798A",2020-02-22,11.6209
2020,"IT1798A",2020-02-23,13.509
2020,"IT1798A",2020-02-24,13.6241
2020,"IT1798A",2020-02-25,9.4767
2020,"IT1798A",2020-02-26,10.5371
2020,"IT1798A",2020-02-27,11.3455
2020,"IT1798A",2020-02-28,10.9206
2020,"IT1798A",2020-02-29,13.6292
2020,"IT1798A",2020-03-01,13.8584
2020,"IT1798A",2020-03-02,9.1847
2020,"IT1798A",2020-03-03,7.7184
2020,"IT1798A",2020-03-04,12.1699
2020,"IT1798A",2020-03-05,11.2175
2020,"IT1798A",2020-03-06,6.5659
2020,"IT1798A",2020-03-07,10.3011
2020,"IT1798A",2020-03-08,9.6312
2020,"IT1798A",2020-03-09,11.4352
2020,"IT1798A",2020-03-10,13.9843
2020,"IT1798A",2020-03-11,17.3543
2020,"IT1798A",2020-03-12,20.8098
2020,"IT1798A",2020-03-13,13.6187
2020,"IT1798A",2020-03-14,17.5998
2020,"IT1798A",2020-03-15,10.1054
2020,"IT1798A",2020-03-16,15.2921
2020,"IT1798A",2020-03-17,17.597
2020,"IT1798A",2020-03-18,14.244
2020,"IT1798A",2020-03-19,13.8148
2020,"IT1798A",2020-03-20,21.1308
2020,"IT1798A",2020-03-21,21.7132
2020,"IT1798A",2020-03-22,10.3669
2020,"IT1798A",2020-03-23,11.0615
2020,"IT1798A",2020-03-24,10.8447
2020,"IT1798A",2020-03-25,8.6492
2020,"IT1798A",2020-03-26,12.1568
2020,"IT1798A",2020-03-27,10.7331
2020,"IT1798A",2020-03-28,14.8971
2020,"IT1798A",2020-03-29,21.4299
2020,"IT1798A",2020-03-30,23.238
2020,"IT1798A",2020-03-31,17.2236
2020,"IT1798A",2020-04-01,15.5475
2020,"IT1798A",2020-04-02,16.637
2020,"IT1798A",2020-04-03,23.0514
2020,"IT1798A",2020-04-04,20.5331
2020,"IT1798A",2020-04-05,24.4466
2020,"IT1798A",2020-04-06,23.8042
2020,"IT1798A",2020-04-07,27.2169
2020,"IT1798A",2020-04-08,27.1755
2020,"IT1798A",2020-04-09,21.6646
2020,"IT1798A",2020-04-10,25.4586
2020,"IT1798A",2020-04-11,27.3631
2020,"IT1801A",2020-02-25,11.641
2020,"IT1801A",2020-02-26,10.4279
2020,"IT1801A",2020-02-27,7.4324
2020,"IT1801A",2020-02-28,9.0704
2020,"IT1801A",2020-02-29,10.2461
2020,"IT1801A",2020-03-01,13.4562
2020,"IT1801A",2020-03-02,9.025
2020,"IT1801A",2020-03-03,6.6007
2020,"IT1801A",2020-03-04,10.2772
2020,"IT1801A",2020-03-05,9.3717
2020,"IT1801A",2020-03-06,7.5839
2020,"IT1801A",2020-03-07,9.1367
2020,"IT1801A",2020-03-08,9.9899
2020,"IT1801A",2020-03-09,14.2278
2020,"IT1801A",2020-03-10,27.3903
2020,"IT1801A",2020-03-12,1.1216
2020,"IT1801A",2020-03-13,20.4223
2020,"IT1801A",2020-03-14,12.4395
2020,"IT1801A",2020-03-15,7.2448
2020,"IT1801A",2020-03-16,8.8772
2020,"IT1801A",2020-03-17,15.1413
2020,"IT1801A",2020-03-18,16.7615
2020,"IT1801A",2020-03-19,16.7197
2020,"IT1801A",2020-03-20,23.3385
2020,"IT1801A",2020-03-21,22.9072
2020,"IT1801A",2020-03-22,16.8758
2020,"IT1801A",2020-03-23,7.9076
2020,"IT1801A",2020-03-24,7.9575
2020,"IT1801A",2020-03-25,8.466
2020,"IT1801A",2020-03-26,10.4602
2020,"IT1801A",2020-03-28,34.62
2020,"IT1801A",2020-03-29,26.0552
2020,"IT1801A",2020-03-30,27.6593
2020,"IT1801A",2020-03-31,13.2256
2020,"IT1801A",2020-04-01,9.884
2020,"IT1801A",2020-04-02,12.7776
2020,"IT1801A",2020-04-03,16.2571
2020,"IT1801A",2020-04-04,17.0433
2020,"IT1801A",2020-04-05,18.1117
