"reporting_year","station_eu_code","date","SO2"
2020,"IT1753A",2020-01-01,1.667
2020,"IT1753A",2020-01-02,3.0042
2020,"IT1753A",2020-01-03,3.9457
2020,"IT1753A",2020-01-04,5.5282
2020,"IT1753A",2020-01-05,3.3641
2020,"IT1753A",2020-01-06,2.271
2020,"IT1753A",2020-01-07,3.1828
2020,"IT1753A",2020-01-08,2.1018
2020,"IT1753A",2020-01-09,2.4423
2020,"IT1753A",2020-01-10,3.3894
2020,"IT1753A",2020-01-11,2.6727
2020,"IT1753A",2020-01-12,2.3764
2020,"IT1753A",2020-01-13,2.8241
2020,"IT1753A",2020-01-14,2.0419
2020,"IT1753A",2020-01-15,1.7931
2020,"IT1753A",2020-01-16,2.0279
2020,"IT1753A",2020-01-17,2.0323
2020,"IT1753A",2020-01-18,1.9163
2020,"IT1753A",2020-01-19,3.0713
2020,"IT1753A",2020-01-20,2.1153
2020,"IT1753A",2020-01-21,1.4416
2020,"IT1753A",2020-01-22,2.4224
2020,"IT1753A",2020-01-23,2.6224
2020,"IT1753A",2020-01-24,1.4016
2020,"IT1753A",2020-01-25,1.893
2020,"IT1753A",2020-01-26,2.1353
2020,"IT1753A",2020-01-27,1.8211
2020,"IT1753A",2020-01-28,2.1966
2020,"IT1753A",2020-01-29,4.7725
2020,"IT1753A",2020-02-13,1.5885
2020,"IT1753A",2020-02-14,3.5827
2020,"IT1753A",2020-02-15,1.9366
2020,"IT1753A",2020-02-16,2.524
2020,"IT1753A",2020-02-17,1.55
2020,"IT1753A",2020-02-18,1.3699
2020,"IT1753A",2020-02-19,3.3005
2020,"IT1753A",2020-02-20,1.2812
2020,"IT1753A",2020-02-21,2.0423
2020,"IT1753A",2020-02-22,2.0892
2020,"IT1753A",2020-02-23,1.3128
2020,"IT1753A",2020-02-24,1.2836
2020,"IT1753A",2020-02-25,3.0432
2020,"IT1753A",2020-02-26,2.7624
2020,"IT1753A",2020-02-27,1.7448
2020,"IT1753A",2020-02-28,2.9129
2020,"IT1753A",2020-02-29,1.2112
2020,"IT1753A",2020-03-01,2.7036
2020,"IT1753A",2020-03-02,6.0118
2020,"IT1753A",2020-03-03,1.7016
2020,"IT1753A",2020-03-04,2.9516
2020,"IT1753A",2020-03-05,1.3522
2020,"IT1753A",2020-03-06,4.7637
2020,"IT1753A",2020-03-07,2.7127
2020,"IT1753A",2020-03-08,0.5659
2020,"IT1753A",2020-03-09,1.6685
2020,"IT1753A",2020-03-10,0.7776
2020,"IT1753A",2020-03-11,0.6173
2020,"IT1753A",2020-03-12,0.7698
2020,"IT1753A",2020-03-13,1.9357
2020,"IT1753A",2020-03-14,1.5837
2020,"IT1753A",2020-03-15,0.5291
2020,"IT1753A",2020-03-16,1.2686
2020,"IT1753A",2020-03-19,0.8668
2020,"IT1753A",2020-03-20,4.6404
2020,"IT1753A",2020-03-21,2.7396
2020,"IT1753A",2020-03-22,1.868
2020,"IT1753A",2020-03-23,1.5918
2020,"IT1753A",2020-03-24,1.8227
2020,"IT1753A",2020-03-25,1.3024
2020,"IT1753A",2020-03-26,2.2448
2020,"IT1753A",2020-03-27,5.0266
2020,"IT1753A",2020-03-28,3.4571
2020,"IT1753A",2020-03-29,3.0983
2020,"IT1753A",2020-03-30,3.4646
2020,"IT1753A",2020-03-31,1.8274
2020,"IT1753A",2020-04-01,2.7576
2020,"IT1753A",2020-04-02,2.0367
2020,"IT1753A",2020-04-03,2.3856
2020,"IT1753A",2020-04-04,2.39
2020,"IT1753A",2020-04-05,1.4643
2020,"IT1753A",2020-04-06,1.4576
2020,"IT1753A",2020-04-07,1.6861
2020,"IT1753A",2020-04-08,1.6773
2020,"IT1753A",2020-04-09,1.1364
2020,"IT1753A",2020-04-10,1.841
2020,"IT1753A",2020-04-11,1.599
2020,"IT1753A",2020-04-12,2.2548
