"reporting_year","station_eu_code","date","value"
2020,"IT0448A","2020-01-01",NA
2020,"IT0448A","2020-01-02",NA
2020,"IT0448A","2020-01-03",NA
2020,"IT0448A","2020-01-04",NA
2020,"IT0448A","2020-01-05",NA
2020,"IT0448A","2020-01-06",NA
2020,"IT0448A","2020-01-07",NA
2020,"IT0448A","2020-01-08",NA
2020,"IT0448A","2020-01-09",NA
2020,"IT0448A","2020-01-10",NA
2020,"IT0448A","2020-01-11",NA
2020,"IT0448A","2020-01-12",NA
2020,"IT0448A","2020-01-13",NA
2020,"IT0448A","2020-01-14",NA
2020,"IT0448A","2020-01-15",NA
2020,"IT0448A","2020-01-16",NA
2020,"IT0448A","2020-01-17",NA
2020,"IT0448A","2020-01-18",NA
2020,"IT0448A","2020-01-19",NA
2020,"IT0448A","2020-01-20",NA
2020,"IT0448A","2020-01-21",NA
2020,"IT0448A","2020-01-22",NA
2020,"IT0448A","2020-01-23",NA
2020,"IT0448A","2020-01-24",NA
2020,"IT0448A","2020-01-25",NA
2020,"IT0448A","2020-01-26",NA
2020,"IT0448A","2020-01-27",NA
2020,"IT0448A","2020-01-28",NA
2020,"IT0448A","2020-01-29",NA
2020,"IT0448A","2020-01-30",NA
2020,"IT0448A","2020-01-31",NA
2020,"IT0448A","2020-02-01",NA
2020,"IT0448A","2020-02-02",NA
2020,"IT0448A","2020-02-03",NA
2020,"IT0448A","2020-02-04",NA
2020,"IT0448A","2020-02-05",NA
2020,"IT0448A","2020-02-06",NA
2020,"IT0448A","2020-02-07",NA
2020,"IT0448A","2020-02-08",NA
2020,"IT0448A","2020-02-09",NA
2020,"IT0448A","2020-02-10",NA
2020,"IT0448A","2020-02-11",NA
2020,"IT0448A","2020-02-12",NA
2020,"IT0448A","2020-02-13",NA
2020,"IT0448A","2020-02-14",NA
2020,"IT0448A","2020-02-15",NA
2020,"IT0448A","2020-02-16",NA
2020,"IT0448A","2020-02-17",NA
2020,"IT0448A","2020-02-18",NA
2020,"IT0448A","2020-02-19",NA
2020,"IT0448A","2020-02-20",NA
2020,"IT0448A","2020-02-21",NA
2020,"IT0448A","2020-02-22",NA
2020,"IT0448A","2020-02-23",NA
2020,"IT0448A","2020-02-24",NA
2020,"IT0448A","2020-02-25",NA
2020,"IT0448A","2020-02-26",NA
2020,"IT0448A","2020-02-27",NA
2020,"IT0448A","2020-02-28",NA
2020,"IT0448A","2020-02-29",NA
2020,"IT0448A","2020-03-01",NA
2020,"IT0448A","2020-03-02",NA
2020,"IT0448A","2020-03-03",NA
2020,"IT0448A","2020-03-04",NA
2020,"IT0448A","2020-03-05",NA
2020,"IT0448A","2020-03-06",NA
2020,"IT0448A","2020-03-07",NA
2020,"IT0448A","2020-03-08",NA
2020,"IT0448A","2020-03-09",NA
2020,"IT0448A","2020-03-10",NA
2020,"IT0448A","2020-03-11",NA
2020,"IT0448A","2020-03-12",NA
2020,"IT0448A","2020-03-13",NA
2020,"IT0448A","2020-03-14",NA
2020,"IT0448A","2020-03-15",NA
2020,"IT0448A","2020-03-16",NA
2020,"IT0448A","2020-03-17",NA
2020,"IT0448A","2020-03-18",NA
2020,"IT0448A","2020-03-19",NA
2020,"IT0448A","2020-03-20",NA
2020,"IT0448A","2020-03-21",NA
2020,"IT0448A","2020-03-22",NA
2020,"IT0448A","2020-03-23",NA
2020,"IT0448A","2020-03-24",NA
2020,"IT0448A","2020-03-25",NA
2020,"IT0448A","2020-03-26",NA
2020,"IT0448A","2020-03-27",NA
2020,"IT0448A","2020-03-28",NA
2020,"IT0448A","2020-03-29",NA
2020,"IT0448A","2020-03-30",NA
2020,"IT0448A","2020-03-31",NA
2020,"IT0448A","2020-04-01",NA
2020,"IT0448A","2020-04-02",NA
2020,"IT0448A","2020-04-03",NA
2020,"IT0448A","2020-04-04",NA
2020,"IT0448A","2020-04-05",NA
2020,"IT0448A","2020-04-06",NA
2020,"IT0448A","2020-04-07",NA
2020,"IT0448A","2020-04-08",NA
2020,"IT0448A","2020-04-09",NA
2020,"IT0448A","2020-04-10",NA
2020,"IT0448A","2020-04-11",NA
2020,"IT0448A","2020-04-12",NA
2020,"IT0448A","2020-04-13",NA
2020,"IT0448A","2020-04-14",NA
2020,"IT0448A","2020-04-15",NA
2020,"IT0448A","2020-04-16",NA
2020,"IT0448A","2020-04-17",NA
2020,"IT0448A","2020-04-18",NA
2020,"IT0448A","2020-04-19",NA
2020,"IT0448A","2020-04-20",NA
2020,"IT0448A","2020-04-21",NA
2020,"IT0448A","2020-04-22",NA
2020,"IT0448A","2020-04-23",NA
2020,"IT0448A","2020-04-24",NA
2020,"IT0448A","2020-04-25",NA
2020,"IT0448A","2020-04-26",NA
2020,"IT0448A","2020-04-27",NA
2020,"IT0448A","2020-04-28",NA
2020,"IT0448A","2020-04-29",NA
2020,"IT0448A","2020-04-30",NA
2020,"IT0448A","2020-05-01",NA
2020,"IT0448A","2020-05-02",NA
2020,"IT0448A","2020-05-03",NA
2020,"IT0448A","2020-05-04",NA
2020,"IT0448A","2020-05-05",NA
2020,"IT0448A","2020-05-06",NA
2020,"IT0448A","2020-05-07",NA
2020,"IT0448A","2020-05-08",NA
2020,"IT0448A","2020-05-09",NA
2020,"IT0448A","2020-05-10",NA
2020,"IT0448A","2020-05-11",NA
2020,"IT0448A","2020-05-12",NA
2020,"IT0448A","2020-05-13",NA
2020,"IT0448A","2020-05-14",NA
2020,"IT0448A","2020-05-15",NA
2020,"IT0448A","2020-05-16",NA
2020,"IT0448A","2020-05-17",NA
2020,"IT0448A","2020-05-18",NA
2020,"IT0448A","2020-05-19",NA
2020,"IT0448A","2020-05-20",NA
2020,"IT0448A","2020-05-21",NA
2020,"IT0448A","2020-05-22",NA
2020,"IT0448A","2020-05-23",NA
2020,"IT0448A","2020-05-24",NA
2020,"IT0448A","2020-05-25",NA
