"reporting_year","station_eu_code","date","value"
2020,"IT2282A","2020-01-01",56
2020,"IT2282A","2020-01-02",44
2020,"IT2282A","2020-01-03",34
2020,"IT2282A","2020-01-04",27
2020,"IT2282A","2020-01-05",25
2020,"IT2282A","2020-01-06",36
2020,"IT2282A","2020-01-07",27
2020,"IT2282A","2020-01-08",26
2020,"IT2282A","2020-01-09",37
2020,"IT2282A","2020-01-10",43
2020,"IT2282A","2020-01-11",29
2020,"IT2282A","2020-01-12",38
2020,"IT2282A","2020-01-13",61
2020,"IT2282A","2020-01-14",51
2020,"IT2282A","2020-01-15",64
2020,"IT2282A","2020-01-16",59
2020,"IT2282A","2020-01-17",39
2020,"IT2282A","2020-01-18",33
2020,"IT2282A","2020-01-19",22
2020,"IT2282A","2020-01-20",11
2020,"IT2282A","2020-01-21",23
2020,"IT2282A","2020-01-22",34
2020,"IT2282A","2020-01-23",55
2020,"IT2282A","2020-01-24",49
2020,"IT2282A","2020-01-25",60
2020,"IT2282A","2020-01-26",62
2020,"IT2282A","2020-01-27",55
2020,"IT2282A","2020-01-28",43
2020,"IT2282A","2020-01-29",19
2020,"IT2282A","2020-01-30",17
2020,"IT2282A","2020-01-31",38
2020,"IT2282A","2020-02-01",47
2020,"IT2282A","2020-02-02",32
2020,"IT2282A","2020-02-03",23
2020,"IT2282A","2020-02-04",16
2020,"IT2282A","2020-02-05",8
2020,"IT2282A","2020-02-06",15
2020,"IT2282A","2020-02-07",22
2020,"IT2282A","2020-02-08",38
2020,"IT2282A","2020-02-09",54
2020,"IT2282A","2020-02-10",48
2020,"IT2282A","2020-02-11",22
2020,"IT2282A","2020-02-12",10
2020,"IT2282A","2020-02-13",20
2020,"IT2282A","2020-02-14",20
2020,"IT2282A","2020-02-15",39
2020,"IT2282A","2020-02-16",57
2020,"IT2282A","2020-02-17",55
2020,"IT2282A","2020-02-18",43
2020,"IT2282A","2020-02-19",27
2020,"IT2282A","2020-02-20",18
2020,"IT2282A","2020-02-21",27
2020,"IT2282A","2020-02-22",45
2020,"IT2282A","2020-02-23",39
2020,"IT2282A","2020-02-24",41
2020,"IT2282A","2020-02-25",51
2020,"IT2282A","2020-02-26",23
2020,"IT2282A","2020-02-27",7
2020,"IT2282A","2020-02-28",9
2020,"IT2282A","2020-02-29",20
2020,"IT2282A","2020-03-01",32
2020,"IT2282A","2020-03-02",18
2020,"IT2282A","2020-03-03",10
2020,"IT2282A","2020-03-04",8
2020,"IT2282A","2020-03-05",22
2020,"IT2282A","2020-03-06",22
2020,"IT2282A","2020-03-07",11
2020,"IT2282A","2020-03-08",10
2020,"IT2282A","2020-03-09",23
2020,"IT2282A","2020-03-10",15
2020,"IT2282A","2020-03-11",10
2020,"IT2282A","2020-03-12",12
2020,"IT2282A","2020-03-13",8
2020,"IT2282A","2020-03-14",18
2020,"IT2282A","2020-03-15",13
2020,"IT2282A","2020-03-16",16
2020,"IT2282A","2020-03-17",29
2020,"IT2282A","2020-03-18",41
2020,"IT2282A","2020-03-19",27
2020,"IT2282A","2020-03-20",28
2020,"IT2282A","2020-03-21",23
2020,"IT2282A","2020-03-22",23
2020,"IT2282A","2020-03-23",8
2020,"IT2282A","2020-03-24",14
2020,"IT2282A","2020-03-25",12
2020,"IT2282A","2020-03-26",12
2020,"IT2282A","2020-03-27",11
2020,"IT2282A","2020-03-28",24
2020,"IT2282A","2020-03-29",22
2020,"IT2282A","2020-03-30",8
2020,"IT2282A","2020-03-31",8
2020,"IT2282A","2020-04-01",17
2020,"IT2282A","2020-04-02",26
2020,"IT2282A","2020-04-03",32
2020,"IT2282A","2020-04-04",32
2020,"IT2282A","2020-04-05",22
2020,"IT2282A","2020-04-06",20
2020,"IT2282A","2020-04-07",21
2020,"IT2282A","2020-04-08",22
2020,"IT2282A","2020-04-09",18
2020,"IT2282A","2020-04-10",17
2020,"IT2282A","2020-04-11",14
2020,"IT2282A","2020-04-12",12
2020,"IT2282A","2020-04-13",14
2020,"IT2282A","2020-04-14",19
2020,"IT2282A","2020-04-15",11
2020,"IT2282A","2020-04-16",16
2020,"IT2282A","2020-04-17",11
2020,"IT2282A","2020-04-18",13
2020,"IT2282A","2020-04-19",11
2020,"IT2282A","2020-04-20",12
2020,"IT2282A","2020-04-21",11
2020,"IT2282A","2020-04-22",NA
2020,"IT2282A","2020-04-23",18
2020,"IT2282A","2020-04-24",20
2020,"IT2282A","2020-04-25",13
2020,"IT2282A","2020-04-26",9
2020,"IT2282A","2020-04-27",8
2020,"IT2282A","2020-04-28",7
2020,"IT2282A","2020-04-29",5
2020,"IT2282A","2020-04-30",8
2020,"IT2282A","2020-05-01",6
2020,"IT2282A","2020-05-02",6
2020,"IT2282A","2020-05-03",7
2020,"IT2282A","2020-05-04",10
2020,"IT2282A","2020-05-05",11
2020,"IT2282A","2020-05-06",13
2020,"IT2282A","2020-05-07",10
2020,"IT2282A","2020-05-08",17
2020,"IT2282A","2020-05-09",12
2020,"IT2282A","2020-05-10",9
2020,"IT2282A","2020-05-11",7
2020,"IT2282A","2020-05-12",7
2020,"IT2282A","2020-05-13",7
2020,"IT2282A","2020-05-14",10
2020,"IT2282A","2020-05-15",5
2020,"IT2282A","2020-05-16",9
2020,"IT2282A","2020-05-17",7
2020,"IT2282A","2020-05-18",10
2020,"IT2282A","2020-05-19",9
2020,"IT2282A","2020-05-20",13
2020,"IT2282A","2020-05-21",18
2020,"IT2282A","2020-05-22",22
2020,"IT2282A","2020-05-23",9
2020,"IT2282A","2020-05-24",8
2020,"IT2282A","2020-05-25",8
2020,"IT2282A","2020-05-26",10
2020,"IT2282A","2020-05-27",8
2020,"IT2282A","2020-05-28",12
2020,"IT2282A","2020-05-29",9
2020,"IT2282A","2020-05-30",11
2020,"IT2282A","2020-05-31",12
2020,"IT2282A","2020-06-01",16
2020,"IT2282A","2020-06-02",15
2020,"IT2282A","2020-06-03",9
2020,"IT2282A","2020-06-04",7
2020,"IT2282A","2020-06-05",6
2020,"IT2282A","2020-06-06",6
2020,"IT2282A","2020-06-07",5
2020,"IT2282A","2020-06-08",5
2020,"IT2282A","2020-06-09",6
2020,"IT2282A","2020-06-10",5
2020,"IT2282A","2020-06-11",9
2020,"IT2282A","2020-06-12",10
2020,"IT2282A","2020-06-13",6
2020,"IT2282A","2020-06-14",5
2020,"IT2282A","2020-06-15",10
2020,"IT2282A","2020-06-16",11
2020,"IT2282A","2020-06-17",5
2020,"IT2282A","2020-06-18",5
2020,"IT2282A","2020-06-19",6
2020,"IT2282A","2020-06-20",8
2020,"IT2282A","2020-06-21",5
2020,"IT2282A","2020-06-22",10
2020,"IT2282A","2020-06-23",7
2020,"IT2282A","2020-06-24",14
2020,"IT2282A","2020-06-25",12
2020,"IT2282A","2020-06-26",12
2020,"IT2282A","2020-06-27",13
2020,"IT2282A","2020-06-28",9
2020,"IT2282A","2020-06-29",13
2020,"IT2282A","2020-06-30",13
2020,"IT2282A","2020-07-01",9
2020,"IT2282A","2020-07-02",9
2020,"IT2282A","2020-07-03",8
2020,"IT2282A","2020-07-04",6
2020,"IT2282A","2020-07-05",10
2020,"IT2282A","2020-07-06",12
2020,"IT2282A","2020-07-07",6
2020,"IT2282A","2020-07-08",9
2020,"IT2282A","2020-07-09",14
2020,"IT2282A","2020-07-10",19
2020,"IT2282A","2020-07-11",8
2020,"IT2282A","2020-07-12",6
2020,"IT2282A","2020-07-13",8
2020,"IT2282A","2020-07-14",10
2020,"IT2282A","2020-07-15",11
2020,"IT2282A","2020-07-16",15
2020,"IT2282A","2020-07-17",14
2020,"IT2282A","2020-07-18",6
2020,"IT2282A","2020-07-19",8
2020,"IT2282A","2020-07-20",10
2020,"IT2282A","2020-07-21",13
2020,"IT2282A","2020-07-22",10
2020,"IT2282A","2020-07-23",11
2020,"IT2282A","2020-07-24",8
2020,"IT2282A","2020-07-25",8
