"reporting_year","station_eu_code","date","value"
2020,"IT2282A","2020-01-01",55
2020,"IT2282A","2020-01-02",43
2020,"IT2282A","2020-01-03",32
2020,"IT2282A","2020-01-04",24
2020,"IT2282A","2020-01-05",25
2020,"IT2282A","2020-01-06",34
2020,"IT2282A","2020-01-07",23
2020,"IT2282A","2020-01-08",23
2020,"IT2282A","2020-01-09",34
2020,"IT2282A","2020-01-10",43
2020,"IT2282A","2020-01-11",27
2020,"IT2282A","2020-01-12",36
2020,"IT2282A","2020-01-13",61
2020,"IT2282A","2020-01-14",50
2020,"IT2282A","2020-01-15",63
2020,"IT2282A","2020-01-16",58
2020,"IT2282A","2020-01-17",38
2020,"IT2282A","2020-01-18",33
2020,"IT2282A","2020-01-19",22
2020,"IT2282A","2020-01-20",8
2020,"IT2282A","2020-01-21",20
2020,"IT2282A","2020-01-22",30
2020,"IT2282A","2020-01-23",51
2020,"IT2282A","2020-01-24",47
2020,"IT2282A","2020-01-25",58
2020,"IT2282A","2020-01-26",61
2020,"IT2282A","2020-01-27",52
2020,"IT2282A","2020-01-28",43
2020,"IT2282A","2020-01-29",16
2020,"IT2282A","2020-01-30",14
2020,"IT2282A","2020-01-31",33
2020,"IT2282A","2020-02-01",46
2020,"IT2282A","2020-02-02",31
2020,"IT2282A","2020-02-03",18
2020,"IT2282A","2020-02-04",5
2020,"IT2282A","2020-02-05",5
2020,"IT2282A","2020-02-06",11
2020,"IT2282A","2020-02-07",19
2020,"IT2282A","2020-02-08",36
2020,"IT2282A","2020-02-09",54
2020,"IT2282A","2020-02-10",48
2020,"IT2282A","2020-02-11",14
2020,"IT2282A","2020-02-12",6
2020,"IT2282A","2020-02-13",18
2020,"IT2282A","2020-02-14",19
2020,"IT2282A","2020-02-15",38
2020,"IT2282A","2020-02-16",58
2020,"IT2282A","2020-02-17",55
2020,"IT2282A","2020-02-18",41
2020,"IT2282A","2020-02-19",25
2020,"IT2282A","2020-02-20",15
2020,"IT2282A","2020-02-21",24
2020,"IT2282A","2020-02-22",40
2020,"IT2282A","2020-02-23",39
2020,"IT2282A","2020-02-24",42
2020,"IT2282A","2020-02-25",55
2020,"IT2282A","2020-02-26",5
2020,"IT2282A","2020-02-27",5
2020,"IT2282A","2020-02-28",6
2020,"IT2282A","2020-02-29",17
2020,"IT2282A","2020-03-01",35
2020,"IT2282A","2020-03-02",18
2020,"IT2282A","2020-03-03",6
2020,"IT2282A","2020-03-04",6
2020,"IT2282A","2020-03-05",21
2020,"IT2282A","2020-03-06",6
2020,"IT2282A","2020-03-07",7
2020,"IT2282A","2020-03-08",NA
2020,"IT2282A","2020-03-09",12
2020,"IT2282A","2020-03-10",10
2020,"IT2282A","2020-03-11",11
2020,"IT2282A","2020-03-12",5
2020,"IT2282A","2020-03-13",14
2020,"IT2282A","2020-03-14",12
2020,"IT2282A","2020-03-15",14
2020,"IT2282A","2020-03-16",27
2020,"IT2282A","2020-03-17",24
2020,"IT2282A","2020-03-18",12
2020,"IT2282A","2020-03-19",22
2020,"IT2282A","2020-03-20",27
2020,"IT2282A","2020-03-21",20
2020,"IT2282A","2020-03-22",22
2020,"IT2282A","2020-03-23",6
2020,"IT2282A","2020-03-24",11
2020,"IT2282A","2020-03-25",11
2020,"IT2282A","2020-03-26",10
2020,"IT2282A","2020-03-27",10
2020,"IT2282A","2020-03-28",23
2020,"IT2282A","2020-03-29",22
2020,"IT2282A","2020-03-30",7
2020,"IT2282A","2020-03-31",6
2020,"IT2282A","2020-04-01",13
2020,"IT2282A","2020-04-02",24
2020,"IT2282A","2020-04-03",29
2020,"IT2282A","2020-04-04",30
2020,"IT2282A","2020-04-05",21
2020,"IT2282A","2020-04-06",16
2020,"IT2282A","2020-04-07",19
2020,"IT2282A","2020-04-08",17
2020,"IT2282A","2020-04-09",17
2020,"IT2282A","2020-04-10",14
2020,"IT2282A","2020-04-11",11
2020,"IT2282A","2020-04-12",5
