"reporting_year","station_eu_code","date","C6H6"
2020,"IT2059A",2020-01-01,1.6757
2020,"IT2059A",2020-01-02,1.4518
2020,"IT2059A",2020-01-03,1.5093
2020,"IT2059A",2020-01-04,1.0026
2020,"IT2059A",2020-01-05,0.9629
2020,"IT2059A",2020-01-06,1.0161
2020,"IT2059A",2020-01-07,1.1457
2020,"IT2059A",2020-01-08,1.1548
2020,"IT2059A",2020-01-09,1.7056
2020,"IT2059A",2020-01-10,2.1591
2020,"IT2059A",2020-01-11,1.007
2020,"IT2059A",2020-01-12,1.0682
2020,"IT2059A",2020-01-13,1.3882
2020,"IT2059A",2020-01-14,1.6581
2020,"IT2059A",2020-01-15,2.2369
2020,"IT2059A",2020-01-16,2.0805
2020,"IT2059A",2020-01-17,1.0131
2020,"IT2059A",2020-01-18,1.0205
2020,"IT2059A",2020-01-19,1.061
2020,"IT2059A",2020-01-20,0.8416
2020,"IT2059A",2020-01-21,1.1907
2020,"IT2059A",2020-01-22,1.7955
2020,"IT2059A",2020-01-23,1.7148
2020,"IT2059A",2020-01-24,1.4146
2020,"IT2059A",2020-01-25,1.0919
2020,"IT2059A",2020-01-26,1.5349
2020,"IT2059A",2020-01-27,0.8839
2020,"IT2059A",2020-01-28,0.7654
2020,"IT2059A",2020-01-29,0.9228
2020,"IT2059A",2020-01-30,0.7391
2020,"IT2059A",2020-01-31,0.7566
2020,"IT2059A",2020-02-01,0.73
2020,"IT2059A",2020-02-02,0.5752
2020,"IT2059A",2020-02-03,0.7936
2020,"IT2059A",2020-02-04,0.4774
2020,"IT2059A",2020-02-05,0.8761
2020,"IT2059A",2020-02-06,1.3419
2020,"IT2059A",2020-02-07,1.5263
2020,"IT2059A",2020-02-08,1.6703
2020,"IT2059A",2020-02-09,1.0801
2020,"IT2059A",2020-02-10,0.6241
2020,"IT2059A",2020-02-11,0.7266
2020,"IT2059A",2020-02-12,0.9769
2020,"IT2059A",2020-02-13,1.8537
2020,"IT2059A",2020-02-14,1.1782
2020,"IT2059A",2020-02-15,1.3206
2020,"IT2059A",2020-02-16,1.0056
2020,"IT2059A",2020-02-17,1.2982
2020,"IT2059A",2020-02-18,0.8293
2020,"IT2059A",2020-02-19,0.5734
2020,"IT2059A",2020-02-20,0.7306
2020,"IT2059A",2020-02-21,1.0397
2020,"IT2059A",2020-02-22,1.1115
2020,"IT2059A",2020-02-23,0.683
2020,"IT2059A",2020-02-24,0.5889
2020,"IT2059A",2020-02-25,0.4797
2020,"IT2059A",2020-02-26,0.5865
