"reporting_year","station_eu_code","date","NO2"
2020,"IT2059A",2020-01-01,16.8489
2020,"IT2059A",2020-01-02,18.125
2020,"IT2059A",2020-01-03,15.9463
2020,"IT2059A",2020-01-04,14.4293
2020,"IT2059A",2020-01-05,9.8757
2020,"IT2059A",2020-01-06,11.0339
2020,"IT2059A",2020-01-07,13.0214
2020,"IT2059A",2020-01-08,12.0539
2020,"IT2059A",2020-01-09,24.1816
2020,"IT2059A",2020-01-10,17.9285
2020,"IT2059A",2020-01-11,11.5825
2020,"IT2059A",2020-01-12,10.693
2020,"IT2059A",2020-01-13,20.3665
2020,"IT2059A",2020-01-14,20.8006
2020,"IT2059A",2020-01-15,26.5563
2020,"IT2059A",2020-01-16,23.2718
2020,"IT2059A",2020-01-17,13.0992
2020,"IT2059A",2020-01-18,10.6376
2020,"IT2059A",2020-01-19,7.2493
2020,"IT2059A",2020-01-20,6.5011
2020,"IT2059A",2020-01-21,11.4274
2020,"IT2059A",2020-01-22,21.2199
2020,"IT2059A",2020-01-23,20.0955
2020,"IT2059A",2020-01-24,13.0451
2020,"IT2059A",2020-01-25,8.6948
2020,"IT2059A",2020-01-26,10.3966
2020,"IT2059A",2020-01-27,4.6405
2020,"IT2059A",2020-01-28,6.397
2020,"IT2059A",2020-01-29,11.9081
2020,"IT2059A",2020-01-30,8.6228
2020,"IT2059A",2020-01-31,6.5867
2020,"IT2059A",2020-02-01,4.0006
2020,"IT2059A",2020-02-02,3.8828
2020,"IT2059A",2020-02-03,11.7803
2020,"IT2059A",2020-02-04,5.2612
2020,"IT2059A",2020-02-05,12.0418
2020,"IT2059A",2020-02-06,17.8981
2020,"IT2059A",2020-02-07,19.6521
2020,"IT2059A",2020-02-08,17.2207
2020,"IT2059A",2020-02-09,6.1036
2020,"IT2059A",2020-02-10,2.7398
2020,"IT2059A",2020-02-11,7.2752
2020,"IT2059A",2020-02-12,10.8253
2020,"IT2059A",2020-02-13,14.383
2020,"IT2059A",2020-02-14,12.3369
2020,"IT2059A",2020-02-15,14.2274
2020,"IT2059A",2020-02-16,10.4347
2020,"IT2059A",2020-02-17,12.6875
2020,"IT2059A",2020-02-18,10.7877
2020,"IT2059A",2020-02-19,7.6481
2020,"IT2059A",2020-02-20,7.068
2020,"IT2059A",2020-02-21,10.582
2020,"IT2059A",2020-02-22,12.4184
2020,"IT2059A",2020-02-23,3.7186
2020,"IT2059A",2020-02-24,4.2404
2020,"IT2059A",2020-02-25,2.6595
2020,"IT2059A",2020-02-26,6.4509
2020,"IT2059A",2020-02-27,5.9028
2020,"IT2059A",2020-02-28,10.4403
2020,"IT2059A",2020-02-29,6.6437
2020,"IT2059A",2020-03-01,2.7791
2020,"IT2059A",2020-03-02,3.7716
2020,"IT2059A",2020-03-03,4.6
2020,"IT2059A",2020-03-04,11.4738
2020,"IT2059A",2020-03-05,3.4336
2020,"IT2059A",2020-03-06,8.2726
2020,"IT2059A",2020-03-07,9.2785
2020,"IT2059A",2020-03-08,9.1005
2020,"IT2059A",2020-03-09,6.3455
2020,"IT2059A",2020-03-10,9.4772
2020,"IT2059A",2020-03-11,3.1694
2020,"IT2059A",2020-03-12,4.9011
2020,"IT2059A",2020-03-13,7.9752
2020,"IT2059A",2020-03-14,5.5679
2020,"IT2059A",2020-03-15,3.5819
2020,"IT2059A",2020-03-16,3.9547
2020,"IT2059A",2020-03-17,6.0828
2020,"IT2059A",2020-03-18,6.1029
2020,"IT2059A",2020-03-19,7.4219
2020,"IT2059A",2020-03-20,6.4604
2020,"IT2059A",2020-03-21,5.4677
2020,"IT2059A",2020-03-22,2.9135
2020,"IT2059A",2020-03-23,2.7789
2020,"IT2059A",2020-03-24,2.3631
2020,"IT2059A",2020-03-25,4.2298
2020,"IT2059A",2020-03-26,4.6053
2020,"IT2059A",2020-03-27,6.7564
2020,"IT2059A",2020-03-28,6.3161
2020,"IT2059A",2020-03-29,3.2891
2020,"IT2059A",2020-03-30,4.0608
2020,"IT2059A",2020-03-31,4.4054
2020,"IT2059A",2020-04-01,3.615
2020,"IT2059A",2020-04-02,6.8414
2020,"IT2059A",2020-04-03,4.9608
2020,"IT2059A",2020-04-04,5.1519
2020,"IT2059A",2020-04-05,4.004
2020,"IT2059A",2020-04-06,5.8083
2020,"IT2059A",2020-04-07,6.7242
2020,"IT2059A",2020-04-08,5.7952
2020,"IT2059A",2020-04-09,5.4283
2020,"IT2059A",2020-04-10,6.3532
2020,"IT2059A",2020-04-11,5.7502
2020,"IT2059A",2020-04-12,3.3756
2020,"IT2059A",2020-04-13,4.9179
2020,"IT2059A",2020-04-14,2.3771
2020,"IT2059A",2020-04-15,2.4668
2020,"IT2059A",2020-04-16,5.622
2020,"IT2059A",2020-04-17,4.2822
2020,"IT2059A",2020-04-18,2.239
2020,"IT2059A",2020-04-19,2.8003
2020,"IT2059A",2020-04-20,2.7065
2020,"IT2059A",2020-04-21,3.4601
2020,"IT2059A",2020-04-22,4.097
2020,"IT2059A",2020-04-23,4.6153
2020,"IT2059A",2020-04-24,4.0178
2020,"IT2059A",2020-04-25,2.9037
2020,"IT2059A",2020-04-26,1.5005
2020,"IT2059A",2020-04-27,0.9262
2020,"IT2059A",2020-04-28,0.5633
2020,"IT2059A",2020-04-29,2.4648
2020,"IT2059A",2020-04-30,1.4474
2020,"IT2059A",2020-05-01,0.6563
2020,"IT2059A",2020-05-02,1.5648
2020,"IT2059A",2020-05-03,0.7129
2020,"IT2059A",2020-05-04,2.2186
2020,"IT2059A",2020-05-05,5.731
2020,"IT2059A",2020-05-06,3.7036
2020,"IT2059A",2020-05-07,2.7523
2020,"IT2059A",2020-05-08,5.835
2020,"IT2059A",2020-05-09,4.7243
2020,"IT2059A",2020-05-10,1.4471
2020,"IT2059A",2020-05-11,2.0142
2020,"IT2059A",2020-05-12,2.2779
2020,"IT2059A",2020-05-13,3.3595
2020,"IT2059A",2020-05-14,2.4777
2020,"IT2059A",2020-05-15,1.9895
2020,"IT2059A",2020-05-16,4.5104
2020,"IT2059A",2020-05-17,2.4159
2020,"IT2059A",2020-05-18,4.8804
2020,"IT2059A",2020-05-19,2.736
2020,"IT2059A",2020-05-20,4.7552
2020,"IT2059A",2020-05-21,6.8083
2020,"IT2059A",2020-05-22,6.5862
2020,"IT2059A",2020-05-23,3.8783
2020,"IT2059A",2020-05-24,3.4293
2020,"IT2059A",2020-05-25,4.1378
2020,"IT2059A",2020-05-26,3.7697
2020,"IT2059A",2020-05-27,3.8633
2020,"IT2059A",2020-05-28,6.6911
2020,"IT2059A",2020-05-29,4.1616
2020,"IT2059A",2020-05-30,3.4214
2020,"IT2059A",2020-05-31,4.1969
2020,"IT2059A",2020-06-01,5.3834
2020,"IT2059A",2020-06-02,2.6629
2020,"IT2059A",2020-06-03,5.6975
2020,"IT2059A",2020-06-04,3.3688
2020,"IT2059A",2020-06-05,3.4918
2020,"IT2059A",2020-06-06,2.7255
2020,"IT2059A",2020-06-07,1.4436
2020,"IT2059A",2020-06-08,3.7898
2020,"IT2059A",2020-06-09,3.7603
2020,"IT2059A",2020-06-10,2.9973
2020,"IT2059A",2020-06-11,3.8375
2020,"IT2059A",2020-06-12,7.4887
2020,"IT2059A",2020-06-13,0.8089
2020,"IT2059A",2020-06-14,2.1678
2020,"IT2059A",2020-06-15,3.0604
2020,"IT2059A",2020-06-16,2.2529
2020,"IT2059A",2020-06-17,3.2605
2020,"IT2059A",2020-06-18,4.6414
2020,"IT2059A",2020-06-19,7.6299
2020,"IT2059A",2020-06-20,4.1229
2020,"IT2059A",2020-06-21,3.1223
2020,"IT2059A",2020-06-22,4.2022
2020,"IT2059A",2020-06-23,4.3776
2020,"IT2059A",2020-06-24,5.4193
2020,"IT2059A",2020-06-25,8.8037
2020,"IT2059A",2020-06-26,6.6052
2020,"IT2059A",2020-06-27,3.0828
2020,"IT2059A",2020-06-28,3.6388
2020,"IT2059A",2020-06-29,4.2609
2020,"IT2059A",2020-06-30,5.9813
2020,"IT1397A",2020-01-01,7.8367
2020,"IT1397A",2020-01-02,13.8279
2020,"IT1397A",2020-01-03,15.9589
2020,"IT1397A",2020-01-04,13.415
2020,"IT1397A",2020-01-05,8.633
2020,"IT1397A",2020-01-06,8.2508
2020,"IT1397A",2020-01-07,7.6529
2020,"IT1397A",2020-01-08,14.9889
2020,"IT1397A",2020-01-09,18.1264
2020,"IT1397A",2020-01-10,20.988
2020,"IT1397A",2020-01-11,12.3571
2020,"IT1397A",2020-01-12,7.6638
2020,"IT1397A",2020-01-13,17.0429
2020,"IT1397A",2020-01-14,21.0712
2020,"IT1397A",2020-01-15,19.1963
2020,"IT1397A",2020-01-16,28.8113
2020,"IT1397A",2020-01-17,20.3516
2020,"IT1397A",2020-01-18,9.7029
2020,"IT1397A",2020-01-19,7.4415
2020,"IT1397A",2020-01-20,2.9975
2020,"IT1397A",2020-01-21,2.5281
2020,"IT1397A",2020-01-22,2.2627
2020,"IT1397A",2020-01-23,2.9466
