"reporting_year","station_eu_code","date","NOX"
2020,"IT2059A",2020-01-01,17.2219
2020,"IT2059A",2020-01-02,23.0443
2020,"IT2059A",2020-01-03,21.0694
2020,"IT2059A",2020-01-04,15.5405
2020,"IT2059A",2020-01-05,9.9995
2020,"IT2059A",2020-01-06,11.0774
2020,"IT2059A",2020-01-07,21.2518
2020,"IT2059A",2020-01-08,12.1392
2020,"IT2059A",2020-01-09,36.9617
2020,"IT2059A",2020-01-10,36.2692
2020,"IT2059A",2020-01-11,11.6691
2020,"IT2059A",2020-01-12,10.7001
2020,"IT2059A",2020-01-13,31.8118
2020,"IT2059A",2020-01-14,36.8984
2020,"IT2059A",2020-01-15,44.8596
2020,"IT2059A",2020-01-16,35.7124
2020,"IT2059A",2020-01-17,18.1144
2020,"IT2059A",2020-01-18,10.8327
2020,"IT2059A",2020-01-19,7.4257
2020,"IT2059A",2020-01-20,6.5011
2020,"IT2059A",2020-01-21,11.6404
2020,"IT2059A",2020-01-22,26.7193
2020,"IT2059A",2020-01-23,22.4221
2020,"IT2059A",2020-01-24,14.6686
2020,"IT2059A",2020-01-25,9.5863
2020,"IT2059A",2020-01-26,10.6039
2020,"IT2059A",2020-01-27,4.6405
2020,"IT2059A",2020-01-28,6.3977
2020,"IT2059A",2020-01-29,16.5678
2020,"IT2059A",2020-01-30,11.5966
2020,"IT2059A",2020-01-31,6.6216
2020,"IT2059A",2020-02-01,4.0006
2020,"IT2059A",2020-02-02,3.8828
2020,"IT2059A",2020-02-03,12.7751
2020,"IT2059A",2020-02-04,5.2612
2020,"IT2059A",2020-02-05,12.1955
2020,"IT2059A",2020-02-06,18.9953
2020,"IT2059A",2020-02-07,25.0939
2020,"IT2059A",2020-02-08,18.6921
2020,"IT2059A",2020-02-09,6.1408
2020,"IT2059A",2020-02-10,2.7398
2020,"IT2059A",2020-02-11,7.2753
2020,"IT2059A",2020-02-12,11.0436
2020,"IT2059A",2020-02-13,18.2614
2020,"IT2059A",2020-02-14,13.8208
2020,"IT2059A",2020-02-15,19.56
2020,"IT2059A",2020-02-16,10.841
2020,"IT2059A",2020-02-17,16.7404
2020,"IT2059A",2020-02-18,11.015
2020,"IT2059A",2020-02-19,7.6489
2020,"IT2059A",2020-02-20,7.0683
2020,"IT2059A",2020-02-21,12.258
2020,"IT2059A",2020-02-22,14.0643
2020,"IT2059A",2020-02-23,3.7186
2020,"IT2059A",2020-02-24,4.2405
2020,"IT2059A",2020-02-25,2.6595
2020,"IT2059A",2020-02-26,6.4509
2020,"IT2059A",2020-02-27,5.9098
2020,"IT2059A",2020-02-28,10.4679
2020,"IT2059A",2020-02-29,7.0576
2020,"IT2059A",2020-03-01,2.7791
2020,"IT2059A",2020-03-02,3.7716
2020,"IT2059A",2020-03-03,4.6
2020,"IT2059A",2020-03-04,13.0311
2020,"IT2059A",2020-03-05,3.4336
2020,"IT2059A",2020-03-06,8.319
2020,"IT2059A",2020-03-07,9.283
2020,"IT2059A",2020-03-08,9.106
2020,"IT2059A",2020-03-09,6.3529
2020,"IT2059A",2020-03-10,10.3925
2020,"IT2059A",2020-03-11,3.1694
2020,"IT2059A",2020-03-12,4.9668
2020,"IT2059A",2020-03-13,8.6344
2020,"IT2059A",2020-03-14,5.568
2020,"IT2059A",2020-03-15,3.5819
2020,"IT2059A",2020-03-16,3.9548
2020,"IT2059A",2020-03-17,6.0877
2020,"IT2059A",2020-03-18,6.1934
2020,"IT2059A",2020-03-19,7.9673
2020,"IT2059A",2020-03-20,6.4997
2020,"IT2059A",2020-03-21,5.4741
2020,"IT2059A",2020-03-22,2.9135
2020,"IT2059A",2020-03-23,2.7789
2020,"IT2059A",2020-03-24,2.3631
2020,"IT2059A",2020-03-25,4.2298
2020,"IT2059A",2020-03-26,4.6053
2020,"IT2059A",2020-03-27,6.7582
2020,"IT2059A",2020-03-28,6.329
2020,"IT2059A",2020-03-29,3.3059
2020,"IT2059A",2020-03-30,4.0608
2020,"IT2059A",2020-03-31,4.4057
2020,"IT2059A",2020-04-01,3.615
2020,"IT2059A",2020-04-02,6.8425
2020,"IT2059A",2020-04-03,4.9608
2020,"IT2059A",2020-04-04,5.1519
2020,"IT2059A",2020-04-05,4.004
2020,"IT2059A",2020-04-06,5.8144
2020,"IT2059A",2020-04-07,6.7389
2020,"IT2059A",2020-04-08,5.8265
2020,"IT2059A",2020-04-09,5.4355
2020,"IT2059A",2020-04-10,6.393
2020,"IT2059A",2020-04-11,5.7567
2020,"IT2059A",2020-04-12,3.3756
2020,"IT2059A",2020-04-13,4.9179
2020,"IT2059A",2020-04-14,2.3771
2020,"IT2059A",2020-04-15,2.4668
2020,"IT2059A",2020-04-16,5.7149
2020,"IT2059A",2020-04-17,4.3653
2020,"IT2059A",2020-04-18,2.239
2020,"IT2059A",2020-04-19,2.8003
2020,"IT2059A",2020-04-20,2.7066
2020,"IT2059A",2020-04-21,3.4601
2020,"IT2059A",2020-04-22,4.0971
2020,"IT2059A",2020-04-23,4.62
2020,"IT2059A",2020-04-24,4.0242
2020,"IT2059A",2020-04-25,2.9037
2020,"IT2059A",2020-04-26,1.5005
2020,"IT2059A",2020-04-27,0.9262
2020,"IT2059A",2020-04-28,0.5633
2020,"IT2059A",2020-04-29,2.4648
2020,"IT2059A",2020-04-30,1.4474
2020,"IT2059A",2020-05-01,0.6563
2020,"IT2059A",2020-05-02,1.5648
2020,"IT2059A",2020-05-03,0.7129
2020,"IT2059A",2020-05-04,2.2186
2020,"IT2059A",2020-05-05,6.1415
2020,"IT2059A",2020-05-06,3.7036
2020,"IT2059A",2020-05-07,2.7539
2020,"IT2059A",2020-05-08,5.9238
2020,"IT2059A",2020-05-09,4.7296
2020,"IT2059A",2020-05-10,1.4471
2020,"IT2059A",2020-05-11,2.0142
2020,"IT2059A",2020-05-12,2.2779
2020,"IT2059A",2020-05-13,3.3634
2020,"IT2059A",2020-05-14,2.4786
2020,"IT2059A",2020-05-15,1.9895
2020,"IT2059A",2020-05-16,4.5584
2020,"IT2059A",2020-05-17,2.4159
2020,"IT2059A",2020-05-18,4.8817
2020,"IT2059A",2020-05-19,2.736
2020,"IT2059A",2020-05-20,4.7642
2020,"IT2059A",2020-05-21,6.959
2020,"IT2059A",2020-05-22,6.5974
2020,"IT2059A",2020-05-23,3.8783
2020,"IT2059A",2020-05-24,3.4293
2020,"IT2059A",2020-05-25,4.1569
2020,"IT2059A",2020-05-26,3.7698
2020,"IT2059A",2020-05-27,3.8633
2020,"IT2059A",2020-05-28,6.8484
2020,"IT2059A",2020-05-29,4.1616
2020,"IT2059A",2020-05-30,3.4214
2020,"IT2059A",2020-05-31,4.1969
2020,"IT2059A",2020-06-01,5.3857
2020,"IT2059A",2020-06-02,2.6629
2020,"IT2059A",2020-06-03,5.74
2020,"IT2059A",2020-06-04,3.3688
2020,"IT2059A",2020-06-05,3.4918
2020,"IT2059A",2020-06-06,2.7255
2020,"IT2059A",2020-06-07,1.4436
2020,"IT2059A",2020-06-08,3.7898
2020,"IT2059A",2020-06-09,3.7603
2020,"IT2059A",2020-06-10,2.9973
2020,"IT2059A",2020-06-11,3.8375
2020,"IT2059A",2020-06-12,8.0851
2020,"IT2059A",2020-06-13,0.8089
2020,"IT2059A",2020-06-14,2.1679
2020,"IT2059A",2020-06-15,3.0604
2020,"IT2059A",2020-06-16,2.2529
2020,"IT2059A",2020-06-17,3.2605
2020,"IT2059A",2020-06-18,4.6414
2020,"IT2059A",2020-06-19,7.6299
2020,"IT2059A",2020-06-20,4.123
2020,"IT2059A",2020-06-21,3.1223
2020,"IT2059A",2020-06-22,4.2022
2020,"IT2059A",2020-06-23,4.3776
2020,"IT2059A",2020-06-24,5.4208
2020,"IT2059A",2020-06-25,8.8979
2020,"IT2059A",2020-06-26,6.6056
2020,"IT2059A",2020-06-27,3.0828
2020,"IT2059A",2020-06-28,3.6391
2020,"IT2059A",2020-06-29,4.2682
2020,"IT2059A",2020-06-30,6.0149
2020,"IT1397A",2020-01-01,7.963
2020,"IT1397A",2020-01-02,18.6837
2020,"IT1397A",2020-01-03,20.3866
2020,"IT1397A",2020-01-04,14.3001
2020,"IT1397A",2020-01-05,8.9638
2020,"IT1397A",2020-01-06,8.8943
2020,"IT1397A",2020-01-07,9.352
2020,"IT1397A",2020-01-08,17.3035
2020,"IT1397A",2020-01-09,19.4535
2020,"IT1397A",2020-01-10,25.6646
2020,"IT1397A",2020-01-11,13.7874
2020,"IT1397A",2020-01-12,8.0272
2020,"IT1397A",2020-01-13,25.7114
2020,"IT1397A",2020-01-14,29.4122
2020,"IT1397A",2020-01-15,28.6767
2020,"IT1397A",2020-01-16,37.3505
2020,"IT1397A",2020-01-17,25.3399
2020,"IT1397A",2020-01-18,10.0006
2020,"IT1397A",2020-01-19,8.1963
2020,"IT1397A",2020-01-20,3.0023
2020,"IT1397A",2020-01-21,2.5403
2020,"IT1397A",2020-01-22,2.2736
2020,"IT1397A",2020-01-23,2.9578
2020,"IT1397A",2020-01-24,8.4114
2020,"IT1397A",2020-01-25,18.2452
2020,"IT1397A",2020-01-26,12.8664
2020,"IT1397A",2020-01-27,22.4124
2020,"IT1397A",2020-01-28,8.6867
2020,"IT1397A",2020-01-29,13.3099
2020,"IT1397A",2020-01-30,15.8192
2020,"IT1397A",2020-01-31,21.5633
2020,"IT1397A",2020-02-01,18.2136
2020,"IT1397A",2020-02-02,13.1521
2020,"IT1397A",2020-02-03,16.0614
2020,"IT1397A",2020-02-04,11.2973
2020,"IT1397A",2020-02-05,6.4027
2020,"IT1397A",2020-02-06,20.7527
2020,"IT1397A",2020-02-07,20.5822
2020,"IT1397A",2020-02-08,12.5582
2020,"IT1397A",2020-02-09,8.5516
2020,"IT1397A",2020-02-10,23.7068
2020,"IT1397A",2020-02-11,21.0533
2020,"IT1397A",2020-02-12,22.9494
2020,"IT1397A",2020-02-13,21.3803
2020,"IT1397A",2020-02-14,23.0324
2020,"IT1397A",2020-02-15,12.7272
2020,"IT1397A",2020-02-16,9.6702
2020,"IT1397A",2020-02-17,16.4915
2020,"IT1397A",2020-02-18,21.702
2020,"IT1397A",2020-02-19,10.8816
2020,"IT1397A",2020-02-20,14.5848
2020,"IT1397A",2020-02-21,18.4261
2020,"IT1397A",2020-02-22,10.9033
2020,"IT1397A",2020-02-23,13.743
2020,"IT1397A",2020-02-24,23.106
2020,"IT1397A",2020-02-25,18.4709
2020,"IT1397A",2020-02-26,11.0689
2020,"IT1397A",2020-02-27,7.0073
2020,"IT1397A",2020-02-28,10.3557
2020,"IT1397A",2020-02-29,8.3356
2020,"IT1397A",2020-03-01,5.6666
2020,"IT1397A",2020-03-02,21.1243
2020,"IT1397A",2020-03-03,6.1838
2020,"IT1397A",2020-03-04,15.4856
2020,"IT1397A",2020-03-05,12.4932
2020,"IT1397A",2020-03-06,12.6453
2020,"IT1397A",2020-03-07,9.1625
2020,"IT1397A",2020-03-08,11.1297
2020,"IT1397A",2020-03-09,15.3086
2020,"IT1397A",2020-03-10,16.0052
2020,"IT1397A",2020-03-11,13.1734
2020,"IT1397A",2020-03-12,10.8783
2020,"IT1397A",2020-03-13,10.2572
2020,"IT1397A",2020-03-14,9.5471
2020,"IT1397A",2020-03-15,3.3351
2020,"IT1397A",2020-03-16,13.2543
2020,"IT1397A",2020-03-17,2.9856
2020,"IT1397A",2020-03-18,17.0643
2020,"IT1397A",2020-03-19,10.6229
2020,"IT1397A",2020-03-20,3.1469
2020,"IT1397A",2020-03-21,3.9558
2020,"IT1397A",2020-03-22,3.9593
2020,"IT1397A",2020-03-23,10.2154
2020,"IT1397A",2020-03-24,4.8856
2020,"IT1397A",2020-03-25,6.7513
2020,"IT1397A",2020-03-26,12.2256
2020,"IT1397A",2020-03-27,17.2248
2020,"IT1397A",2020-03-28,7.2945
2020,"IT1397A",2020-03-29,5.7548
2020,"IT1397A",2020-03-30,12.9108
2020,"IT1397A",2020-03-31,13.8157
2020,"IT1397A",2020-04-01,5.9582
2020,"IT1397A",2020-04-02,5.567
2020,"IT1397A",2020-04-03,7.971
2020,"IT1397A",2020-04-04,4.128
2020,"IT1397A",2020-04-05,5.9105
2020,"IT1397A",2020-04-06,11.4895
2020,"IT1397A",2020-04-07,15.1191
2020,"IT1397A",2020-04-08,12.0641
2020,"IT1397A",2020-04-09,10.2001
2020,"IT1397A",2020-04-10,10.3425
2020,"IT1397A",2020-04-11,9.6874
2020,"IT1397A",2020-04-12,6.1713
2020,"IT1397A",2020-04-13,2.9604
2020,"IT1397A",2020-04-14,5.8013
2020,"IT1397A",2020-04-15,8.6387
2020,"IT1397A",2020-04-16,2.5486
2020,"IT1397A",2020-04-17,4.8079
2020,"IT1397A",2020-04-18,4.128
2020,"IT1397A",2020-04-19,5.4337
2020,"IT1397A",2020-04-20,4.7377
2020,"IT1397A",2020-04-21,8.2096
2020,"IT1397A",2020-04-22,8.8461
2020,"IT1397A",2020-04-23,6.4687
2020,"IT1397A",2020-04-24,2.9051
2020,"IT1397A",2020-04-25,1.7785
2020,"IT1397A",2020-04-26,3.782
2020,"IT1397A",2020-04-27,9.8787
2020,"IT1397A",2020-04-28,6.6137
2020,"IT1397A",2020-04-29,5.8498
2020,"IT1397A",2020-04-30,12.6312
2020,"IT1397A",2020-05-01,3.1251
2020,"IT1397A",2020-05-02,9.2301
2020,"IT1397A",2020-05-03,9.8671
2020,"IT1397A",2020-05-04,6.6022
2020,"IT1397A",2020-05-05,6.421
2020,"IT1397A",2020-05-06,10.3821
2020,"IT1397A",2020-05-07,6.2945
2020,"IT1397A",2020-05-08,3.0538
2020,"IT1397A",2020-05-09,2.2181
2020,"IT1397A",2020-05-10,5.1424
2020,"IT1397A",2020-05-11,7.6687
2020,"IT1397A",2020-05-12,5.6587
2020,"IT1397A",2020-05-13,4.3883
2020,"IT1397A",2020-05-14,4.3179
2020,"IT1397A",2020-05-15,7.8943
2020,"IT1397A",2020-05-16,9.5375
2020,"IT1397A",2020-05-17,7.0223
2020,"IT1397A",2020-05-18,11.8081
2020,"IT1397A",2020-05-19,6.4135
2020,"IT1397A",2020-05-20,8.3325
2020,"IT1397A",2020-05-21,13.502
2020,"IT1397A",2020-05-22,12.206
2020,"IT1397A",2020-05-23,11.6742
2020,"IT1397A",2020-05-24,10.8597
2020,"IT1397A",2020-05-25,8.8806
2020,"IT1397A",2020-05-26,12.0252
2020,"IT1397A",2020-05-27,8.8729
2020,"IT1397A",2020-05-28,8.1447
2020,"IT1397A",2020-05-29,9.7016
2020,"IT1397A",2020-05-30,5.024
2020,"IT1397A",2020-05-31,7.1356
2020,"IT1397A",2020-06-01,10.1944
2020,"IT1397A",2020-06-02,6.6782
2020,"IT1397A",2020-06-03,8.8119
2020,"IT1397A",2020-06-04,5.4539
2020,"IT1397A",2020-06-05,6.0906
2020,"IT1397A",2020-06-06,5.0075
2020,"IT1397A",2020-06-07,5.4062
2020,"IT1397A",2020-06-08,13.1338
2020,"IT1397A",2020-06-09,13.829
2020,"IT1397A",2020-06-10,10.0219
2020,"IT1397A",2020-06-11,9.246
2020,"IT1397A",2020-06-12,5.2198
2020,"IT1397A",2020-06-13,9.1915
2020,"IT1397A",2020-06-14,8.6408
2020,"IT1397A",2020-06-15,11.3706
2020,"IT1397A",2020-06-16,13.4546
2020,"IT1397A",2020-06-17,14.8603
2020,"IT1397A",2020-06-18,6.5654
2020,"IT1397A",2020-06-19,14.4333
2020,"IT1397A",2020-06-20,15.3489
2020,"IT1397A",2020-06-21,10.0127
2020,"IT1397A",2020-06-22,10.6604
2020,"IT1397A",2020-06-23,20.5635
2020,"IT1397A",2020-06-24,27.9271
2020,"IT1397A",2020-06-25,33.1687
2020,"IT1397A",2020-06-26,21.4903
2020,"IT1397A",2020-06-29,20.1202
2020,"IT1397A",2020-06-30,17.3015
2020,"IT2049A",2020-01-01,25.0679
2020,"IT2049A",2020-01-02,41.2966
2020,"IT2049A",2020-01-03,48.4618
2020,"IT2049A",2020-01-04,20.7017
2020,"IT2049A",2020-01-05,29.9025
2020,"IT2049A",2020-01-06,35.3076
2020,"IT2049A",2020-01-07,37.8116
2020,"IT2049A",2020-01-08,47.2628
2020,"IT2049A",2020-01-09,47.6415
2020,"IT2049A",2020-01-10,44.2981
2020,"IT2049A",2020-01-11,33.6595
2020,"IT2049A",2020-01-12,25.3109
2020,"IT2049A",2020-01-13,43.6064
2020,"IT2049A",2020-01-14,65.7726
2020,"IT2049A",2020-01-15,66.6086
2020,"IT2049A",2020-01-16,49.939
2020,"IT2049A",2020-01-17,43.5977
