"reporting_year","station_eu_code","date","O3"
2020,"IT2059A",2020-01-01,22.292
2020,"IT2059A",2020-01-02,21.7912
2020,"IT2059A",2020-01-03,15.2116
2020,"IT2059A",2020-01-04,34.741
2020,"IT2059A",2020-01-05,28.6068
2020,"IT2059A",2020-01-06,26.3192
2020,"IT2059A",2020-01-07,32.3776
2020,"IT2059A",2020-01-08,36.7301
2020,"IT2059A",2020-01-09,19.4245
2020,"IT2059A",2020-01-10,22.4239
2020,"IT2059A",2020-01-11,33.9341
2020,"IT2059A",2020-01-12,34.511
2020,"IT2059A",2020-01-13,20.3618
2020,"IT2059A",2020-01-14,21.3751
2020,"IT2059A",2020-01-15,17.1179
2020,"IT2059A",2020-01-16,18.9885
2020,"IT2059A",2020-01-17,40.5834
2020,"IT2059A",2020-01-18,46.8096
2020,"IT2059A",2020-01-19,33.8146
2020,"IT2059A",2020-01-20,51.1391
2020,"IT2059A",2020-01-21,48.0798
2020,"IT2059A",2020-01-22,33.2584
2020,"IT2059A",2020-01-23,28.7182
2020,"IT2059A",2020-01-24,40.2023
2020,"IT2059A",2020-01-25,43.1002
2020,"IT2059A",2020-01-26,21.8717
2020,"IT2059A",2020-01-27,52.5564
2020,"IT2059A",2020-01-28,53.4183
2020,"IT2059A",2020-01-29,49.5371
2020,"IT2059A",2020-01-30,45.8539
2020,"IT2059A",2020-01-31,39.9769
2020,"IT2059A",2020-02-01,39.9854
2020,"IT2059A",2020-02-02,45.01
2020,"IT2059A",2020-02-03,33.85
2020,"IT2059A",2020-02-04,49.8455
2020,"IT2059A",2020-02-05,50.5331
2020,"IT2059A",2020-02-06,38.8297
2020,"IT2059A",2020-02-07,30.6582
2020,"IT2059A",2020-02-08,25.4748
2020,"IT2059A",2020-02-09,49.4857
2020,"IT2059A",2020-02-10,63.3935
2020,"IT2059A",2020-02-11,47.4555
2020,"IT2059A",2020-02-12,47.3691
2020,"IT2059A",2020-02-13,28.2377
2020,"IT2059A",2020-02-14,43.6597
2020,"IT2059A",2020-02-15,26.9195
2020,"IT2059A",2020-02-16,30.4621
2020,"IT2059A",2020-02-17,31.2647
2020,"IT2059A",2020-02-18,43.5891
2020,"IT2059A",2020-02-19,56.9064
2020,"IT2059A",2020-02-20,51.2562
2020,"IT2059A",2020-02-21,52.3567
2020,"IT2059A",2020-02-22,34.8646
2020,"IT2059A",2020-02-23,52.793
2020,"IT2059A",2020-02-24,67.5138
2020,"IT2059A",2020-02-25,67.4469
2020,"IT2059A",2020-02-26,65.9426
2020,"IT2059A",2020-02-27,65.9682
2020,"IT2059A",2020-02-28,56.957
2020,"IT2059A",2020-02-29,51.0608
2020,"IT2059A",2020-03-01,63.9288
2020,"IT2059A",2020-03-02,59.9133
2020,"IT2059A",2020-03-03,65.5042
2020,"IT2059A",2020-03-04,46.4235
2020,"IT2059A",2020-03-05,51.7857
2020,"IT2059A",2020-03-06,61.3134
2020,"IT2059A",2020-03-07,58.252
2020,"IT2059A",2020-03-08,45.3042
2020,"IT2059A",2020-03-09,55.8192
2020,"IT2059A",2020-03-10,51.4405
2020,"IT2059A",2020-03-11,56.5182
2020,"IT2059A",2020-03-12,41.0691
2020,"IT2059A",2020-03-13,33.7169
2020,"IT2059A",2020-03-14,43.0875
2020,"IT2059A",2020-03-15,42.4562
2020,"IT2059A",2020-03-16,50.2906
2020,"IT2059A",2020-03-17,41.4177
2020,"IT2059A",2020-03-18,41.8191
2020,"IT2059A",2020-03-19,45.6981
2020,"IT2059A",2020-03-20,52.7869
2020,"IT2059A",2020-03-21,46.4737
2020,"IT2059A",2020-03-22,42.965
2020,"IT2059A",2020-03-23,52.2307
2020,"IT2059A",2020-03-24,64.9418
2020,"IT2059A",2020-03-25,59.6597
2020,"IT2059A",2020-03-26,53.8466
2020,"IT2059A",2020-03-27,35.7049
2020,"IT2059A",2020-03-28,45.3493
2020,"IT2059A",2020-03-29,45.3965
2020,"IT2059A",2020-03-30,57.4379
2020,"IT2059A",2020-03-31,52.8762
2020,"IT2059A",2020-04-01,62.6409
2020,"IT2059A",2020-04-02,40.8954
2020,"IT2059A",2020-04-03,52.9533
2020,"IT2059A",2020-04-04,66.1334
2020,"IT2059A",2020-04-05,65.9964
2020,"IT2059A",2020-04-06,69.1989
2020,"IT2059A",2020-04-07,63.7566
2020,"IT2059A",2020-04-08,65.8159
2020,"IT2059A",2020-04-09,70.1598
2020,"IT2059A",2020-04-10,68.027
2020,"IT2059A",2020-04-11,68.1468
2020,"IT2059A",2020-04-12,63.1955
2020,"IT2059A",2020-04-13,63.2544
2020,"IT2059A",2020-04-14,49.5587
2020,"IT2059A",2020-04-15,59.4893
2020,"IT2059A",2020-04-16,55.464
2020,"IT2059A",2020-04-17,44.6123
2020,"IT2059A",2020-04-18,45.1971
2020,"IT2059A",2020-04-19,23.6087
2020,"IT2059A",2020-04-20,38.1844
2020,"IT2059A",2020-04-21,39.7181
2020,"IT2059A",2020-04-22,38.7243
2020,"IT2059A",2020-04-23,38.3768
2020,"IT2059A",2020-04-24,27.5021
2020,"IT2059A",2020-04-25,33.4718
2020,"IT2059A",2020-04-26,38.56
2020,"IT2059A",2020-04-27,51.0366
2020,"IT2059A",2020-04-28,61.6389
2020,"IT2059A",2020-04-29,60.1667
2020,"IT2059A",2020-04-30,58.4808
2020,"IT2059A",2020-05-01,55.3849
2020,"IT2059A",2020-05-02,40.5331
2020,"IT2059A",2020-05-03,28.8657
2020,"IT2059A",2020-05-04,24.049
2020,"IT2059A",2020-05-05,23.0246
2020,"IT2059A",2020-05-06,40.1518
2020,"IT2059A",2020-05-07,41.8416
2020,"IT2059A",2020-05-08,47.1431
2020,"IT2059A",2020-05-09,49.3704
2020,"IT2059A",2020-05-10,50.3531
2020,"IT2059A",2020-05-11,57.7599
2020,"IT2059A",2020-05-12,48.2858
2020,"IT2059A",2020-05-13,50.1589
2020,"IT2059A",2020-05-14,51.0947
2020,"IT2059A",2020-05-15,64.7473
2020,"IT2059A",2020-05-16,49.9034
2020,"IT2059A",2020-05-17,56.9447
2020,"IT2059A",2020-05-18,48.4394
2020,"IT2059A",2020-05-20,55.9226
2020,"IT2059A",2020-05-21,38.6667
2020,"IT2059A",2020-05-22,37.5014
2020,"IT2059A",2020-05-23,37.6268
2020,"IT2059A",2020-05-24,34.8775
2020,"IT2059A",2020-05-25,36.6894
2020,"IT2059A",2020-05-26,39.506
2020,"IT2059A",2020-05-27,49.5837
2020,"IT2059A",2020-05-28,47.9368
2020,"IT2059A",2020-05-29,49.514
2020,"IT2059A",2020-05-30,58.988
2020,"IT2059A",2020-05-31,57.3706
2020,"IT2059A",2020-06-01,55.7273
2020,"IT2059A",2020-06-02,56.1538
2020,"IT2059A",2020-06-03,45.0761
2020,"IT2059A",2020-06-04,55.4116
2020,"IT2059A",2020-06-05,56.1324
2020,"IT2059A",2020-06-06,46.0121
2020,"IT2059A",2020-06-07,43.0283
2020,"IT2059A",2020-06-08,38.3206
2020,"IT2059A",2020-06-09,53.9988
2020,"IT2059A",2020-06-10,56.1995
2020,"IT2059A",2020-06-11,45.049
2020,"IT2059A",2020-06-12,39.5666
2020,"IT2059A",2020-06-13,48.3696
2020,"IT2059A",2020-06-14,48.5859
2020,"IT2059A",2020-06-15,48.1176
2020,"IT2059A",2020-06-16,43.0041
2020,"IT2059A",2020-06-17,33.3059
2020,"IT2059A",2020-06-18,39.1913
2020,"IT2059A",2020-06-19,39.8425
2020,"IT2059A",2020-06-20,40.1916
2020,"IT2059A",2020-06-21,40.6916
2020,"IT2059A",2020-06-22,36.8158
2020,"IT2059A",2020-06-23,35.953
2020,"IT2059A",2020-06-24,43.3282
2020,"IT2059A",2020-06-25,47.0995
2020,"IT2059A",2020-06-26,50.0196
2020,"IT2059A",2020-06-27,36.576
2020,"IT2059A",2020-06-28,30.4659
2020,"IT2059A",2020-06-29,28.7389
2020,"IT2059A",2020-06-30,22.3199
2020,"IT1397A",2020-01-01,35.461
2020,"IT1397A",2020-01-02,29.1658
2020,"IT1397A",2020-01-03,29.668
2020,"IT1397A",2020-01-04,44.4115
2020,"IT1397A",2020-01-05,38.666
2020,"IT1397A",2020-01-06,33.1406
2020,"IT1397A",2020-01-07,37.7732
2020,"IT1397A",2020-01-08,39.1247
2020,"IT1397A",2020-01-09,40.3206
2020,"IT1397A",2020-01-10,33.3135
2020,"IT1397A",2020-01-11,38.0898
2020,"IT1397A",2020-01-12,38.7738
2020,"IT1397A",2020-01-13,35.3353
2020,"IT1397A",2020-01-14,30.543
2020,"IT1397A",2020-01-15,33.36
2020,"IT1397A",2020-01-16,24.6065
2020,"IT1397A",2020-01-17,39.9242
2020,"IT1397A",2020-01-18,57.0638
2020,"IT1397A",2020-01-19,49.7
2020,"IT1397A",2020-01-20,75.6144
2020,"IT1397A",2020-01-21,74.8978
2020,"IT1397A",2020-01-22,71.4157
2020,"IT1397A",2020-01-23,73.241
2020,"IT1397A",2020-01-24,55.3256
2020,"IT1397A",2020-01-25,28.0239
2020,"IT1397A",2020-01-26,32.3282
2020,"IT1397A",2020-01-27,38.4579
2020,"IT1397A",2020-01-28,57.381
2020,"IT1397A",2020-01-29,51.6636
2020,"IT1397A",2020-01-30,47.579
2020,"IT1397A",2020-01-31,32.1112
2020,"IT1397A",2020-02-01,35.2151
2020,"IT1397A",2020-02-02,49.2268
2020,"IT1397A",2020-02-03,48.3497
2020,"IT1397A",2020-02-04,57.4379
2020,"IT1397A",2020-02-05,66.7962
2020,"IT1397A",2020-02-06,49.4871
2020,"IT1397A",2020-02-07,45.9252
2020,"IT1397A",2020-02-08,54.9626
2020,"IT1397A",2020-02-09,46.5725
