"reporting_year","station_eu_code","date","PM10"
2020,"IT2059A",2020-01-01,20
2020,"IT2059A",2020-01-02,19.5
2020,"IT2059A",2020-01-03,18.4
2020,"IT2059A",2020-01-04,20
2020,"IT2059A",2020-01-05,22
2020,"IT2059A",2020-01-06,12.4
2020,"IT2059A",2020-01-07,14.3
2020,"IT2059A",2020-01-08,16.6
2020,"IT2059A",2020-01-09,19.5
2020,"IT2059A",2020-01-10,19.6
2020,"IT2059A",2020-01-11,11.7
2020,"IT2059A",2020-01-12,17.7
2020,"IT2059A",2020-01-13,19.8
2020,"IT2059A",2020-01-14,16
2020,"IT2059A",2020-01-15,28.3
2020,"IT2059A",2020-01-16,24.1
2020,"IT2059A",2020-01-17,14.9
2020,"IT2059A",2020-01-18,13.7
2020,"IT2059A",2020-01-21,12.2
2020,"IT2059A",2020-01-22,24.6
2020,"IT2059A",2020-01-23,20
2020,"IT2059A",2020-01-24,25.8
2020,"IT2059A",2020-01-25,21
2020,"IT2059A",2020-01-26,32.9
2020,"IT2059A",2020-01-27,30.6
2020,"IT2059A",2020-01-28,26.6
2020,"IT2059A",2020-01-29,24
2020,"IT2059A",2020-01-30,15
2020,"IT2059A",2020-01-31,11.9
2020,"IT2059A",2020-02-01,11
2020,"IT2059A",2020-02-02,9.9
2020,"IT2059A",2020-02-03,18.2
2020,"IT2059A",2020-02-04,35.4
2020,"IT2059A",2020-02-05,22.2
2020,"IT2059A",2020-02-06,16.8
2020,"IT2059A",2020-02-07,20.8
2020,"IT2059A",2020-02-08,20.5
2020,"IT2059A",2020-02-09,15.4
2020,"IT2059A",2020-02-10,30.2
2020,"IT2059A",2020-02-11,23
2020,"IT2059A",2020-02-12,16.1
2020,"IT2059A",2020-02-13,12.2
2020,"IT2059A",2020-02-15,22.5
2020,"IT2059A",2020-02-16,17.8
2020,"IT2059A",2020-02-17,20.2
2020,"IT2059A",2020-02-18,22.6
2020,"IT2059A",2020-02-19,23.4
2020,"IT2059A",2020-02-20,19.3
2020,"IT2059A",2020-02-21,16.2
2020,"IT2059A",2020-02-22,20.7
2020,"IT2059A",2020-02-23,13.8
2020,"IT2059A",2020-02-24,15.6
2020,"IT2059A",2020-02-25,10.2
2020,"IT2059A",2020-02-26,18.2
2020,"IT2059A",2020-02-27,16.7
2020,"IT2059A",2020-02-28,30.5
2020,"IT2059A",2020-02-29,22.3
2020,"IT2059A",2020-03-01,45.6
2020,"IT2059A",2020-03-02,27.4
2020,"IT2059A",2020-03-03,26.1
2020,"IT2059A",2020-03-04,18.9
2020,"IT2059A",2020-03-05,21.5
2020,"IT2059A",2020-03-06,20.1
2020,"IT2059A",2020-03-07,19.6
2020,"IT2059A",2020-03-08,16.8
2020,"IT2059A",2020-03-09,17.4
2020,"IT2059A",2020-03-10,17.5
2020,"IT2059A",2020-03-11,24.4
2020,"IT2059A",2020-03-12,17.7
2020,"IT2059A",2020-03-13,16.9
2020,"IT2059A",2020-03-14,18.4
2020,"IT2059A",2020-03-15,12.1
2020,"IT2059A",2020-03-17,19.9
2020,"IT2059A",2020-03-18,16.4
2020,"IT2059A",2020-03-19,14.7
2020,"IT2059A",2020-03-20,14.3
2020,"IT2059A",2020-03-21,16.7
2020,"IT2059A",2020-03-22,17.3
2020,"IT2059A",2020-03-23,15.6
2020,"IT2059A",2020-03-24,12.7
2020,"IT2059A",2020-03-25,10.5
2020,"IT2059A",2020-03-26,10
2020,"IT2059A",2020-03-27,5.9
2020,"IT2059A",2020-03-28,7.9
2020,"IT2059A",2020-03-29,14.796
2020,"IT2059A",2020-03-30,26.4083
2020,"IT2059A",2020-03-31,19.3208
2020,"IT2059A",2020-04-01,10.6917
2020,"IT2059A",2020-04-02,12.7125
2020,"IT2059A",2020-04-03,10.7708
2020,"IT2059A",2020-04-04,12.4875
2020,"IT2059A",2020-04-05,14.6958
2020,"IT2059A",2020-04-06,19.2083
2020,"IT2059A",2020-04-07,19.375
2020,"IT2059A",2020-04-08,18.9208
