"reporting_year","station_eu_code","date","PM2.5"
2020,"IT2056A",2020-01-01,23.6671
2020,"IT2056A",2020-01-02,25.4172
2020,"IT2056A",2020-01-03,28.836
2020,"IT2056A",2020-01-04,17.1551
2020,"IT2056A",2020-01-05,14.7131
2020,"IT2056A",2020-01-06,22.7717
2020,"IT2056A",2020-01-07,27.9609
2020,"IT2056A",2020-01-08,17.6842
2020,"IT2056A",2020-01-09,26.394
2020,"IT2056A",2020-01-10,19.4546
2020,"IT2056A",2020-01-11,31.8274
2020,"IT2056A",2020-01-12,29.5075
2020,"IT2056A",2020-01-13,38.4208
2020,"IT2056A",2020-01-14,48.2092
2020,"IT2056A",2020-01-15,31.2576
2020,"IT2056A",2020-01-16,49.2877
2020,"IT2056A",2020-01-17,37.4847
2020,"IT2056A",2020-01-18,18.5592
2020,"IT2056A",2020-01-20,13.5124
2020,"IT2056A",2020-01-21,22.9548
2020,"IT2056A",2020-01-22,21.0216
2020,"IT2056A",2020-01-23,17.1347
2020,"IT2056A",2020-01-24,18.4778
2020,"IT2056A",2020-01-25,29.1005
2020,"IT2056A",2020-01-26,38.7057
2020,"IT2056A",2020-01-27,36.3451
2020,"IT2056A",2020-01-28,18.6202
2020,"IT2056A",2020-01-29,17.6027
2020,"IT2056A",2020-01-30,15.873
2020,"IT2056A",2020-01-31,19.7599
2020,"IT2056A",2020-02-01,17.8266
2020,"IT2056A",2020-02-02,15.4864
2020,"IT2056A",2020-02-03,13.6956
2020,"IT2056A",2020-02-04,20.9809
2020,"IT2056A",2020-02-05,19.8819
2020,"IT2056A",2020-02-06,22.6089
2020,"IT2056A",2020-02-07,27.9609
2020,"IT2056A",2020-02-08,25.3561
2020,"IT2056A",2020-02-09,25.641
2020,"IT2056A",2020-02-10,22.6496
2020,"IT2056A",2020-02-11,16.8702
2020,"IT2056A",2020-02-12,14.0822
2020,"IT2056A",2020-02-13,20.4925
2020,"IT2056A",2020-02-14,18.2743
2020,"IT2056A",2020-02-15,14.4689
2020,"IT2056A",2020-02-16,16.5242
2020,"IT2056A",2020-02-17,32.7635
2020,"IT2056A",2020-02-18,28.1237
2020,"IT2056A",2020-02-19,13.9805
2020,"IT2056A",2020-02-20,20.2279
2020,"IT2056A",2020-02-21,13.1258
2020,"IT2056A",2020-02-22,14.2247
2020,"IT2056A",2020-02-23,23.5857
2020,"IT2056A",2020-02-24,13.3293
2020,"IT2056A",2020-02-25,20.9401
2020,"IT2056A",2020-02-26,15.2422
2020,"IT2056A",2020-02-27,16.3004
2020,"IT2056A",2020-02-28,12.9426
2020,"IT2056A",2020-02-29,17.847
2020,"IT2056A",2020-03-01,26.4143
2020,"IT2056A",2020-03-02,17.3789
2020,"IT2056A",2020-03-03,13.37
2020,"IT2056A",2020-03-04,19.2715
2020,"IT2056A",2020-03-05,13.2479
2020,"IT2056A",2020-03-06,14.2043
2020,"IT2056A",2020-03-07,14.652
2020,"IT2056A",2020-03-08,15.4457
2020,"IT2056A",2020-03-09,14.2857
2020,"IT2056A",2020-03-10,12.9019
2020,"IT2056A",2020-03-11,15.7713
2020,"IT2056A",2020-03-12,22.1408
2020,"IT2056A",2020-03-13,22.5108
2020,"IT2056A",2020-03-14,15.8323
2020,"IT2056A",2020-03-15,14.2393
2020,"IT2056A",2020-03-16,14.1148
2020,"IT2056A",2020-03-17,14.8555
2020,"IT2056A",2020-03-18,16.7684
2020,"IT2056A",2020-03-19,17.5417
2020,"IT2056A",2020-03-20,20.7163
2020,"IT2056A",2020-03-21,19.9023
2020,"IT2056A",2020-03-22,21.4896
2020,"IT2056A",2020-03-23,20.0651
2020,"IT2056A",2020-03-24,12.6781
2020,"IT2056A",2020-03-25,13.0647
2020,"IT2056A",2020-03-26,12.9223
2020,"IT2056A",2020-03-28,7.1429
2020,"IT2056A",2020-03-29,14.2043
2020,"IT2056A",2020-03-30,17.1551
2020,"IT2056A",2020-03-31,20.4314
2020,"IT2056A",2020-04-01,17.8877
2020,"IT2056A",2020-04-02,10.3378
2020,"IT2056A",2020-04-03,15.4457
2020,"IT2056A",2020-04-04,20.0448
2020,"IT2056A",2020-04-05,19.943
2020,"IT2056A",2020-04-06,24.4404
2020,"IT2056A",2020-04-07,16.7413
2020,"IT2056A",2020-04-08,17.6638
2020,"IT2056A",2020-04-09,20.3703
2020,"IT2056A",2020-04-10,25.4172
2020,"IT2056A",2020-04-11,19.0476
2020,"IT2056A",2020-04-12,16.28
2020,"IT2056A",2020-04-13,13.4107
2020,"IT2056A",2020-04-14,21.2861
2020,"IT2056A",2020-04-15,15.6492
2020,"IT2056A",2020-04-16,13.0444
2020,"IT2056A",2020-04-17,18.5185
2020,"IT2056A",2020-04-18,13.8177
2020,"IT2056A",2020-04-19,8.079
2020,"IT2056A",2020-04-20,17.2568
2020,"IT2056A",2020-04-21,8.9811
2020,"IT2056A",2020-04-22,10.0936
2020,"IT2056A",2020-04-23,8.3916
2020,"IT2056A",2020-04-24,11.1518
2020,"IT2056A",2020-04-25,8.7912
2020,"IT2056A",2020-04-26,10.928
2020,"IT2056A",2020-04-27,13.3089
2020,"IT2056A",2020-04-28,12.7188
2020,"IT2056A",2020-04-29,11.2129
2020,"IT2056A",2020-04-30,12.8816
2020,"IT2056A",2020-05-01,11.4571
2020,"IT2056A",2020-05-02,12.963
2020,"IT2056A",2020-05-03,6.4917
2020,"IT2056A",2020-05-04,12.6781
2020,"IT2056A",2020-05-05,16.2393
2020,"IT2056A",2020-05-06,12.556
2020,"IT2056A",2020-05-07,11.7013
2020,"IT2056A",2020-05-08,14.591
2020,"IT2056A",2020-05-09,13.0037
2020,"IT2056A",2020-05-10,17.4196
2020,"IT2056A",2020-05-11,10.8466
2020,"IT2056A",2020-05-12,7.5702
2020,"IT2056A",2020-05-13,18.6813
2020,"IT2056A",2020-05-14,16.0358
2020,"IT2056A",2020-05-15,14.1026
2020,"IT2056A",2020-05-16,17.3993
2020,"IT2056A",2020-05-17,15.9951
2020,"IT2056A",2020-05-18,11.7623
2020,"IT2056A",2020-05-19,8.547
2020,"IT2056A",2020-05-20,9.5849
2020,"IT2056A",2020-05-21,10.9076
2020,"IT2056A",2020-05-22,11.1315
2020,"IT2056A",2020-05-23,11.9251
2020,"IT2056A",2020-05-24,10.7245
2020,"IT2056A",2020-05-25,12.617
2020,"IT2056A",2020-05-26,10.1343
