"reporting_year","station_eu_code","date","SO2"
2020,"IT2059A",2020-01-01,0.1355
2020,"IT2059A",2020-01-02,0.8397
2020,"IT2059A",2020-01-03,0.6654
2020,"IT2059A",2020-01-04,1.7485
2020,"IT2059A",2020-01-05,0.1386
2020,"IT2059A",2020-01-06,0.4393
2020,"IT2059A",2020-01-07,0.344
2020,"IT2059A",2020-01-08,0.4417
2020,"IT2059A",2020-01-09,0.6691
2020,"IT2059A",2020-01-10,1.0195
2020,"IT2059A",2020-01-11,0.1024
2020,"IT2059A",2020-01-12,0.231
2020,"IT2059A",2020-01-13,0.8472
2020,"IT2059A",2020-01-14,0.6707
2020,"IT2059A",2020-01-15,0.7556
2020,"IT2059A",2020-01-16,0.3862
2020,"IT2059A",2020-01-17,0.8831
2020,"IT2059A",2020-01-18,0.418
2020,"IT2059A",2020-01-19,0.9761
2020,"IT2059A",2020-01-20,0.1031
2020,"IT2059A",2020-01-21,0.7619
2020,"IT2059A",2020-01-22,1.5392
2020,"IT2059A",2020-01-23,0.5756
2020,"IT2059A",2020-01-24,0.873
2020,"IT2059A",2020-01-25,0.1083
2020,"IT2059A",2020-01-26,0.0537
2020,"IT2059A",2020-01-27,0.1972
2020,"IT2059A",2020-01-28,1.0722
2020,"IT2059A",2020-01-29,0.768
2020,"IT2059A",2020-01-30,0.8381
2020,"IT2059A",2020-01-31,0.296
2020,"IT2059A",2020-02-01,0.3407
2020,"IT2059A",2020-02-02,0.4586
2020,"IT2059A",2020-02-03,1.3918
2020,"IT2059A",2020-02-04,1.044
2020,"IT2059A",2020-02-05,0.263
2020,"IT2059A",2020-02-06,0.0454
2020,"IT2059A",2020-02-07,0.8918
2020,"IT2059A",2020-02-08,1.0424
2020,"IT2059A",2020-02-09,0.3061
2020,"IT2059A",2020-02-10,1.9768
2020,"IT2059A",2020-02-11,0.5133
2020,"IT2059A",2020-02-12,0.4986
2020,"IT2059A",2020-02-13,0.7714
2020,"IT2059A",2020-02-14,1.1001
2020,"IT2059A",2020-02-15,0.4595
2020,"IT2059A",2020-02-16,0.8159
2020,"IT2059A",2020-02-17,0.9723
2020,"IT2059A",2020-02-18,0.7957
2020,"IT2059A",2020-02-19,0.2698
2020,"IT2059A",2020-02-20,0.8197
2020,"IT2059A",2020-02-21,0.7054
2020,"IT2059A",2020-02-22,0.9689
2020,"IT2059A",2020-02-23,0.7192
2020,"IT2059A",2020-02-24,1.5495
2020,"IT2059A",2020-02-25,1.5937
2020,"IT2059A",2020-02-26,0.5318
2020,"IT2059A",2020-02-27,0.4375
2020,"IT2059A",2020-02-28,0.3359
