"reporting_year","pollutant_fk","station_eu_code","date","value"
2020,10,"IT0813A",2020-01-01,0.570024985454545
2020,10,"IT0813A",2020-01-02,0.616840656521739
2020,10,"IT0813A",2020-01-03,0.615584904782609
2020,10,"IT0813A",2020-01-04,0.605884562608696
2020,10,"IT0813A",2020-01-05,0.556983246086956
2020,10,"IT0813A",2020-01-06,0.548193436956522
2020,10,"IT0813A",2020-01-07,0.631065675652174
2020,10,"IT0813A",2020-01-08,0.497179208695652
2020,10,"IT0813A",2020-01-09,0.605698596086957
2020,10,"IT0813A",2020-01-10,0.584544593478261
2020,10,"IT0813A",2020-01-11,0.462367424347826
2020,10,"IT0813A",2020-01-12,0.45022626826087
2020,10,"IT0813A",2020-01-13,0.37078170173913
2020,10,"IT0813A",2020-01-14,0.436062186521739
2020,10,"IT0813A",2020-01-15,0.405546409130435
2020,10,"IT0813A",2020-01-16,0.500859576086957
2020,10,"IT0813A",2020-01-17,0.498840409130435
2020,10,"IT0813A",2020-01-18,0.506240552608696
2020,10,"IT0813A",2020-01-19,0.466761898695652
2020,10,"IT0813A",2020-01-20,0.333643313478261
2020,10,"IT0813A",2020-01-21,0.327377818636364
2020,10,"IT0813A",2020-01-22,0.430665428
2020,10,"IT0813A",2020-01-23,0.09701743875
2020,10,"IT0813A",2020-01-24,0.000801755652173913
2020,10,"IT0813A",2020-01-25,0.00403726869565217
2020,10,"IT0813A",2020-01-26,0.00404244826086957
2020,10,"IT0813A",2020-01-27,0.0219561152173913
2020,10,"IT0813A",2020-01-28,0.0056443347826087
2020,10,"IT0813A",2020-01-29,0.00109634565217391
2020,10,"IT0813A",2020-01-30,0.0147521947826087
2020,10,"IT0813A",2020-01-31,0.0151198613043478
2020,10,"IT0813A",2020-02-01,0.00260250652173913
2020,10,"IT0813A",2020-02-02,0.0057552947826087
2020,10,"IT0813A",2020-02-03,0.0228672560869565
2020,10,"IT0813A",2020-02-04,0.00493920636363636
2020,10,"IT0813A",2020-02-05,0.00868768608695652
2020,10,"IT0813A",2020-02-06,0.0234683191304348
2020,10,"IT0813A",2020-02-07,0.0232728065217391
2020,10,"IT0813A",2020-02-08,0.0330619660869565
2020,10,"IT0813A",2020-02-09,0.018620612173913
2020,10,"IT0813A",2020-02-10,0.00641318304347826
2020,10,"IT0813A",2020-02-11,0.00288323304347826
2020,10,"IT0813A",2020-02-12,0.0263593230434783
2020,10,"IT0813A",2020-02-13,0.00652693652173913
2020,10,"IT0813A",2020-02-14,0.00744757434782609
