"reporting_year","pollutant_fk","station_eu_code","date","value"
2020,5,"IT0611A",2020-01-01,13
2020,5,"IT0611A",2020-01-02,12.0416666666667
2020,5,"IT0611A",2020-01-03,12.9583333333333
2020,5,"IT0611A",2020-01-04,13
2020,5,"IT0611A",2020-01-05,12.0416666666667
2020,5,"IT0611A",2020-01-06,12
2020,5,"IT0611A",2020-01-07,11.0416666666667
2020,5,"IT0611A",2020-01-08,11.9583333333333
2020,5,"IT0611A",2020-01-09,14.875
2020,5,"IT0611A",2020-01-10,15.9583333333333
2020,5,"IT0611A",2020-01-11,14.0833333333333
2020,5,"IT0611A",2020-01-12,14
2020,5,"IT0611A",2020-01-13,11.125
2020,5,"IT0611A",2020-01-14,18.6666666666667
2020,5,"IT0611A",2020-01-15,16.125
2020,5,"IT0611A",2020-01-16,16
2020,5,"IT0611A",2020-01-17,16
2020,5,"IT0611A",2020-01-18,13.125
2020,5,"IT0611A",2020-01-19,10.125
2020,5,"IT0611A",2020-01-20,9.04166666666667
2020,5,"IT0611A",2020-01-21,8.04166666666667
2020,5,"IT0611A",2020-01-22,12.7916666666667
2020,5,"IT0611A",2020-01-23,16.8333333333333
2020,5,"IT0611A",2020-01-24,11.25
2020,5,"IT0611A",2020-01-25,13.875
2020,5,"IT0611A",2020-01-26,20.7083333333333
2020,5,"IT0611A",2020-01-27,26.75
2020,5,"IT0611A",2020-01-28,15.5
2020,5,"IT0611A",2020-01-29,13.0833333333333
2020,5,"IT0611A",2020-01-30,13
2020,5,"IT0611A",2020-01-31,19.7083333333333
2020,5,"IT0611A",2020-02-01,15.2083333333333
2020,5,"IT0611A",2020-02-02,16.9166666666667
2020,5,"IT0611A",2020-02-03,13.1666666666667
2020,5,"IT0611A",2020-02-04,37.9166666666667
2020,5,"IT0611A",2020-02-05,8.33333333333333
2020,5,"IT0611A",2020-02-06,10.8333333333333
2020,5,"IT0611A",2020-02-07,11.9583333333333
2020,5,"IT0611A",2020-02-08,12.9583333333333
2020,5,"IT0611A",2020-02-09,15.875
2020,5,"IT0611A",2020-02-10,16
2020,5,"IT0611A",2020-02-11,18.875
2020,5,"IT0611A",2020-02-12,12.2916666666667
2020,5,"IT0611A",2020-02-13,12
2020,5,"IT0611A",2020-02-14,NA
2020,5,"IT0611A",2020-02-15,11
2020,5,"IT0611A",2020-02-16,12.9166666666667
2020,5,"IT0611A",2020-02-17,13
2020,5,"IT0611A",2020-02-18,16.8333333333333
2020,5,"IT0611A",2020-02-19,12.2083333333333
2020,5,"IT0611A",2020-02-20,12
2020,5,"IT0611A",2020-02-21,10.0833333333333
2020,5,"IT0611A",2020-02-22,14.7916666666667
2020,5,"IT0611A",2020-02-23,12.125
2020,5,"IT0611A",2020-02-24,15.8333333333333
2020,5,"IT0611A",2020-02-25,18.875
2020,5,"IT0611A",2020-02-26,14.2083333333333
2020,5,"IT0611A",2020-02-27,14.9583333333333
2020,5,"IT0611A",2020-02-28,15.9583333333333
2020,5,"IT0611A",2020-02-29,17.9166666666667
2020,5,"IT0611A",2020-03-01,26.625
2020,5,"IT0611A",2020-03-02,27
2020,5,"IT0611A",2020-03-03,11.6666666666667
2020,5,"IT0611A",2020-03-04,6.20833333333333
2020,5,"IT0611A",2020-03-05,9.83333333333333
2020,5,"IT0611A",2020-03-06,10
2020,5,"IT0611A",2020-03-07,NA
2020,5,"IT0611A",2020-03-08,3
2020,5,"IT0611A",2020-03-09,7.79166666666667
2020,5,"IT0611A",2020-03-10,11.8333333333333
2020,5,"IT0611A",2020-03-11,10.0833333333333
2020,5,"IT0611A",2020-03-12,14.7916666666667
2020,5,"IT0611A",2020-03-13,15
2020,5,"IT0611A",2020-03-14,14.0416666666667
2020,5,"IT0611A",2020-03-15,15.9166666666667
2020,5,"IT0611A",2020-03-16,16
2020,5,"IT0611A",2020-03-17,11.2083333333333
2020,5,"IT0611A",2020-03-18,13.875
2020,5,"IT0611A",2020-03-19,13.0416666666667
2020,5,"IT0611A",2020-03-20,17.7916666666667
2020,5,"IT0611A",2020-03-21,13.2083333333333
2020,5,"IT0611A",2020-03-22,13
2020,5,"IT0611A",2020-03-23,15.875
2020,5,"IT0611A",2020-03-24,9.29166666666667
2020,5,"IT0611A",2020-03-25,9
2020,5,"IT0611A",2020-03-26,NA
2020,5,"IT0611A",2020-03-27,NA
2020,5,"IT0611A",2020-03-28,NA
2020,5,"IT0611A",2020-03-29,NA
2020,5,"IT0611A",2020-03-30,NA
2020,5,"IT0611A",2020-03-31,NA
2020,5,"IT0611A",2020-04-01,NA
2020,5,"IT0611A",2020-04-02,NA
2020,5,"IT0611A",2020-04-03,NA
2020,5,"IT0611A",2020-04-04,14
2020,5,"IT0611A",2020-04-05,18.7916666666667
2020,5,"IT0611A",2020-04-06,16.125
2020,5,"IT0611A",2020-04-07,15.0416666666667
2020,5,"IT0611A",2020-04-08,15.9583333333333
2020,5,"IT0611A",2020-04-09,16.9583333333333
2020,5,"IT0611A",2020-04-10,21.7916666666667
