"reporting_year","station_eu_code","date","C6H6"
2020,"IT0861A",2020-01-02,4
2020,"IT0861A",2020-01-03,5.83333333333333
2020,"IT0861A",2020-01-04,7
2020,"IT0861A",2020-01-06,2
2020,"IT0861A",2020-01-07,4
2020,"IT0861A",2020-01-08,6.66666666666667
2020,"IT0861A",2020-01-09,4.5
2020,"IT0861A",2020-01-10,5.5
2020,"IT0861A",2020-01-11,3.5
2020,"IT0861A",2020-01-12,1.33333333333333
2020,"IT0861A",2020-01-13,2
2020,"IT0861A",2020-01-14,5
2020,"IT0861A",2020-01-15,5
2020,"IT0861A",2020-01-16,5.5
2020,"IT0861A",2020-01-17,4.2
2020,"IT0861A",2020-01-18,2
2020,"IT0861A",2020-01-19,1.5
2020,"IT0861A",2020-01-20,2.5
2020,"IT0861A",2020-01-21,4
2020,"IT0861A",2020-01-22,4.4
2020,"IT0861A",2020-01-23,8
2020,"IT0861A",2020-01-25,4
2020,"IT0861A",2020-01-26,3.75
2020,"IT0861A",2020-01-27,5
2020,"IT0861A",2020-01-28,1.66666666666667
2020,"IT0861A",2020-01-29,2.5
2020,"IT0861A",2020-01-30,4
2020,"IT0861A",2020-01-31,4.5
2020,"IT0861A",2020-02-01,1.66666666666667
2020,"IT0861A",2020-02-02,1
2020,"IT0861A",2020-02-03,3.33333333333333
2020,"IT0861A",2020-02-04,1.33333333333333
2020,"IT0861A",2020-02-05,1.66666666666667
2020,"IT0861A",2020-02-06,1
2020,"IT0861A",2020-02-07,4.5
2020,"IT0861A",2020-02-08,4
2020,"IT0861A",2020-02-09,4.75
2020,"IT0861A",2020-02-10,2.75
2020,"IT0861A",2020-02-11,1
2020,"IT0861A",2020-02-12,1
2020,"IT0861A",2020-02-13,2.25
2020,"IT0861A",2020-02-14,3
2020,"IT0861A",2020-02-15,3.2
2020,"IT0861A",2020-02-16,4
2020,"IT0861A",2020-02-17,1
2020,"IT0861A",2020-02-18,2
2020,"IT0861A",2020-02-19,2
2020,"IT0861A",2020-02-20,3.5
2020,"IT0861A",2020-02-21,4
2020,"IT0861A",2020-02-22,2
2020,"IT0861A",2020-02-23,2.5
2020,"IT0861A",2020-02-24,5
2020,"IT0861A",2020-02-25,3
2020,"IT0861A",2020-02-26,2
2020,"IT0861A",2020-02-27,2
2020,"IT0861A",2020-02-28,2
2020,"IT0861A",2020-02-29,2
2020,"IT0861A",2020-03-01,1
2020,"IT0861A",2020-03-03,2
2020,"IT0861A",2020-03-04,2.6
2020,"IT0861A",2020-03-05,2.66666666666667
2020,"IT0861A",2020-03-07,1.5
2020,"IT0861A",2020-03-08,2
2020,"IT0861A",2020-03-09,2
2020,"IT0861A",2020-03-10,1.8
2020,"IT0861A",2020-03-11,1
2020,"IT0861A",2020-03-12,2.66666666666667
2020,"IT0861A",2020-03-13,1.5
2020,"IT0861A",2020-03-14,2
2020,"IT0861A",2020-03-16,1.5
2020,"IT0861A",2020-03-17,1.66666666666667
