"reporting_year","station_eu_code","date","PM10"
2020,"IT0063A",2020-01-01,8
2020,"IT0063A",2020-01-02,20
2020,"IT0063A",2020-01-03,15
2020,"IT0063A",2020-01-04,11
2020,"IT0063A",2020-01-05,12
2020,"IT0063A",2020-01-06,13
2020,"IT0063A",2020-01-07,16
2020,"IT0063A",2020-01-08,19
2020,"IT0063A",2020-01-09,17
2020,"IT0063A",2020-01-10,10
2020,"IT0063A",2020-01-11,15
2020,"IT0063A",2020-01-12,11
2020,"IT0063A",2020-01-13,21
2020,"IT0063A",2020-01-14,18
2020,"IT0063A",2020-01-15,13
2020,"IT0063A",2020-01-16,15
2020,"IT0063A",2020-01-17,13
2020,"IT0063A",2020-01-18,9
2020,"IT0063A",2020-01-19,6
2020,"IT0063A",2020-01-20,12
2020,"IT0063A",2020-01-21,18
2020,"IT0063A",2020-01-22,16
2020,"IT0063A",2020-01-23,16
2020,"IT0063A",2020-01-24,18
2020,"IT0063A",2020-01-25,15
2020,"IT0063A",2020-01-26,16
2020,"IT0063A",2020-01-27,16
2020,"IT0063A",2020-01-28,17
2020,"IT0063A",2020-01-29,24
2020,"IT0063A",2020-01-30,19
2020,"IT0063A",2020-01-31,18
2020,"IT0063A",2020-02-01,15
2020,"IT0063A",2020-02-02,13
2020,"IT0063A",2020-02-03,16
2020,"IT0063A",2020-02-04,23
2020,"IT0063A",2020-02-05,14
2020,"IT0063A",2020-02-06,14
2020,"IT0063A",2020-02-07,16
2020,"IT0063A",2020-02-08,15
2020,"IT0063A",2020-02-09,10
2020,"IT0063A",2020-02-10,19
2020,"IT0063A",2020-02-11,25
2020,"IT0063A",2020-02-12,16
2020,"IT0063A",2020-02-13,22
2020,"IT0063A",2020-02-14,22
2020,"IT0063A",2020-02-15,17
2020,"IT0063A",2020-02-16,18
2020,"IT0063A",2020-02-17,15
2020,"IT0063A",2020-02-18,12
2020,"IT0063A",2020-02-19,13
2020,"IT0063A",2020-02-21,15
2020,"IT0063A",2020-02-22,21
2020,"IT0063A",2020-02-23,17
2020,"IT0063A",2020-02-24,19
2020,"IT0063A",2020-02-25,16
2020,"IT0063A",2020-02-26,18
2020,"IT0063A",2020-02-27,10
2020,"IT0063A",2020-02-28,16
2020,"IT0063A",2020-02-29,17
2020,"IT0063A",2020-03-01,30
2020,"IT0063A",2020-03-02,17
2020,"IT0063A",2020-03-03,12
2020,"IT0063A",2020-03-04,14
2020,"IT0063A",2020-03-05,10
2020,"IT0063A",2020-03-06,19
2020,"IT0063A",2020-03-07,12
2020,"IT0063A",2020-03-08,10
2020,"IT0063A",2020-03-09,14
2020,"IT0063A",2020-03-10,17
2020,"IT0063A",2020-03-11,16
2020,"IT0063A",2020-03-12,18
2020,"IT0063A",2020-03-13,18
2020,"IT0063A",2020-03-14,12
2020,"IT0063A",2020-03-15,9
2020,"IT0063A",2020-03-16,12
2020,"IT0063A",2020-03-17,21
2020,"IT0063A",2020-03-18,20
2020,"IT0063A",2020-03-19,21
2020,"IT0063A",2020-03-20,20
2020,"IT0063A",2020-03-21,11
2020,"IT0063A",2020-03-22,16
2020,"IT0063A",2020-03-23,14
2020,"IT0063A",2020-03-24,14
2020,"IT0063A",2020-03-25,17
2020,"IT0063A",2020-03-26,9
2020,"IT0063A",2020-03-27,5
2020,"IT0063A",2020-03-28,82
2020,"IT0063A",2020-03-29,45
2020,"IT0063A",2020-03-30,38
2020,"IT0063A",2020-03-31,17
2020,"IT0063A",2020-04-01,13
2020,"IT0063A",2020-04-02,13
2020,"IT0063A",2020-04-03,11
2020,"IT0063A",2020-04-04,11
2020,"IT0063A",2020-04-05,17
2020,"IT0063A",2020-04-06,23
2020,"IT0063A",2020-04-07,26
2020,"IT0063A",2020-04-08,25
2020,"IT0063A",2020-04-09,17
2020,"IT0063A",2020-04-10,17
2020,"IT0063A",2020-04-11,15
2020,"IT0063A",2020-04-12,19
2020,"IT0063A",2020-04-13,17
2020,"IT0063A",2020-04-14,14
2020,"IT0063A",2020-04-15,9
2020,"IT0063A",2020-04-16,13
2020,"IT0063A",2020-04-17,19
2020,"IT0063A",2020-04-18,20
2020,"IT0063A",2020-04-19,18
2020,"IT0063A",2020-04-20,6
2020,"IT0063A",2020-04-21,2
2020,"IT0063A",2020-04-22,9
2020,"IT0063A",2020-04-23,17
2020,"IT0063A",2020-04-24,18
2020,"IT0063A",2020-04-25,11
2020,"IT0063A",2020-04-26,8
2020,"IT0063A",2020-04-27,11
2020,"IT0063A",2020-04-28,14
2020,"IT0063A",2020-04-29,14
2020,"IT0063A",2020-04-30,15
2020,"IT0063A",2020-05-01,18
2020,"IT0063A",2020-05-02,16
2020,"IT0063A",2020-05-03,15
2020,"IT0063A",2020-05-04,11
2020,"IT0063A",2020-05-05,12
2020,"IT0063A",2020-05-06,10
2020,"IT0063A",2020-05-07,9
2020,"IT0063A",2020-05-08,9
2020,"IT0063A",2020-05-09,12
2020,"IT0063A",2020-05-10,10
2020,"IT0063A",2020-05-11,18
2020,"IT0063A",2020-05-12,23
2020,"IT0063A",2020-05-13,33
2020,"IT0063A",2020-05-14,42
2020,"IT0063A",2020-05-15,25
2020,"IT0063A",2020-05-16,17
2020,"IT0063A",2020-05-17,20
2020,"IT0063A",2020-05-19,23
2020,"IT0063A",2020-05-20,12
2020,"IT0063A",2020-05-21,13
2020,"IT0063A",2020-05-22,16
2020,"IT0063A",2020-05-23,12
2020,"IT0063A",2020-05-24,14
2020,"IT0063A",2020-05-25,9
2020,"IT0063A",2020-05-26,12
2020,"IT0063A",2020-05-27,5
2020,"IT0063A",2020-05-28,6
2020,"IT0063A",2020-05-29,8
2020,"IT0063A",2020-05-30,3
2020,"IT0063A",2020-05-31,8
2020,"IT0063A",2020-06-01,9
2020,"IT0063A",2020-06-02,9
2020,"IT0063A",2020-06-03,14
2020,"IT0063A",2020-06-04,19
2020,"IT0063A",2020-06-05,16
2020,"IT0063A",2020-06-06,17
2020,"IT0063A",2020-06-07,21
2020,"IT0063A",2020-06-08,18
2020,"IT0063A",2020-06-09,16
2020,"IT0063A",2020-06-10,13
2020,"IT0063A",2020-06-11,10
2020,"IT0063A",2020-06-12,13
2020,"IT0063A",2020-06-13,12
2020,"IT0063A",2020-06-14,14
2020,"IT0063A",2020-06-15,19
2020,"IT0063A",2020-06-16,18
2020,"IT0063A",2020-06-17,15
2020,"IT0063A",2020-06-18,11
2020,"IT0063A",2020-06-19,12
2020,"IT0063A",2020-06-20,17
2020,"IT0063A",2020-06-21,17
2020,"IT0063A",2020-06-22,12
2020,"IT0063A",2020-06-23,12
2020,"IT0063A",2020-06-24,15
2020,"IT0063A",2020-06-25,12
2020,"IT0063A",2020-06-26,11
2020,"IT0063A",2020-06-27,13
2020,"IT0063A",2020-06-28,12
2020,"IT0063A",2020-06-29,19
2020,"IT0063A",2020-06-30,24
2020,"IT0832A",2020-01-01,64
2020,"IT0832A",2020-01-02,59
2020,"IT0832A",2020-01-03,48
2020,"IT0832A",2020-01-04,63
2020,"IT0832A",2020-01-05,24
2020,"IT0832A",2020-01-06,22
2020,"IT0832A",2020-01-07,49
2020,"IT0832A",2020-01-08,70
2020,"IT0832A",2020-01-09,60
2020,"IT0832A",2020-01-10,78
2020,"IT0832A",2020-01-11,40
2020,"IT0832A",2020-01-12,32
2020,"IT0832A",2020-01-13,48
2020,"IT0832A",2020-01-14,75
2020,"IT0832A",2020-01-15,76
2020,"IT0832A",2020-01-17,54
2020,"IT0832A",2020-01-18,27
2020,"IT0832A",2020-01-19,14
2020,"IT0832A",2020-01-20,16
2020,"IT0832A",2020-01-21,29
2020,"IT0832A",2020-01-22,53
2020,"IT0832A",2020-01-23,64
2020,"IT0832A",2020-01-24,70
2020,"IT0832A",2020-01-25,40
2020,"IT0832A",2020-01-26,40
2020,"IT0832A",2020-01-27,38
2020,"IT0832A",2020-01-28,19
2020,"IT0832A",2020-01-29,31
2020,"IT0832A",2020-01-30,41
2020,"IT0832A",2020-01-31,42
2020,"IT0832A",2020-02-01,38
2020,"IT0832A",2020-02-02,17
2020,"IT0832A",2020-02-03,33
2020,"IT0832A",2020-02-04,27
2020,"IT0832A",2020-02-05,20
2020,"IT0832A",2020-02-06,20
2020,"IT0832A",2020-02-07,33
2020,"IT0832A",2020-02-08,65
2020,"IT0832A",2020-02-09,49
2020,"IT0832A",2020-02-10,29
2020,"IT0832A",2020-02-11,31
2020,"IT0832A",2020-02-12,35
2020,"IT0832A",2020-02-13,27
2020,"IT0832A",2020-02-14,21
2020,"IT0832A",2020-02-15,27
2020,"IT0832A",2020-02-16,30
2020,"IT0832A",2020-02-17,29
2020,"IT0832A",2020-02-18,22
2020,"IT0832A",2020-02-20,25
2020,"IT0832A",2020-02-21,39
2020,"IT0832A",2020-02-22,41
2020,"IT0832A",2020-02-23,31
2020,"IT0832A",2020-02-24,35
2020,"IT0832A",2020-02-25,24
2020,"IT0832A",2020-02-26,14
2020,"IT0832A",2020-02-27,14
2020,"IT0832A",2020-02-28,19
2020,"IT0832A",2020-02-29,24
2020,"IT0832A",2020-03-01,19
2020,"IT0832A",2020-03-02,11
2020,"IT0832A",2020-03-03,12
2020,"IT0832A",2020-03-04,22
2020,"IT0832A",2020-03-06,19
2020,"IT0832A",2020-03-07,17
2020,"IT0832A",2020-03-08,13
2020,"IT0832A",2020-03-09,22
2020,"IT0832A",2020-03-10,19
2020,"IT0832A",2020-03-11,24
2020,"IT0832A",2020-03-13,27
2020,"IT0832A",2020-03-14,21
2020,"IT0832A",2020-03-15,10
2020,"IT0832A",2020-03-16,16
2020,"IT0832A",2020-03-17,28
2020,"IT0832A",2020-03-18,22
2020,"IT0832A",2020-03-19,23
2020,"IT0832A",2020-03-20,30
2020,"IT0832A",2020-03-21,26
2020,"IT0832A",2020-03-22,18
2020,"IT0832A",2020-03-23,12
2020,"IT0832A",2020-03-24,13
2020,"IT0832A",2020-03-25,9
2020,"IT0832A",2020-03-26,5
2020,"IT0832A",2020-03-27,17
2020,"IT0832A",2020-03-28,147
2020,"IT0832A",2020-03-29,84
2020,"IT0832A",2020-03-30,37
2020,"IT0832A",2020-03-31,10
2020,"IT0832A",2020-04-01,12
2020,"IT0832A",2020-04-02,14
2020,"IT0832A",2020-04-03,15
2020,"IT0832A",2020-04-04,18
2020,"IT0832A",2020-04-05,21
2020,"IT0832A",2020-04-06,30
2020,"IT0832A",2020-04-07,27
2020,"IT0832A",2020-04-08,21
2020,"IT0832A",2020-04-09,18
2020,"IT0832A",2020-04-10,19
2020,"IT0832A",2020-04-11,19
2020,"IT0832A",2020-04-12,17
2020,"IT0832A",2020-04-13,16
2020,"IT0832A",2020-04-14,16
2020,"IT0832A",2020-04-15,11
2020,"IT0832A",2020-04-16,11
2020,"IT0832A",2020-04-17,17
2020,"IT0832A",2020-04-18,21
2020,"IT0832A",2020-04-19,23
2020,"IT0832A",2020-04-20,9
2020,"IT0832A",2020-04-21,6
2020,"IT0832A",2020-04-22,13
2020,"IT0832A",2020-04-23,19
2020,"IT0832A",2020-04-24,18
2020,"IT0832A",2020-04-25,13
2020,"IT0832A",2020-04-26,8
2020,"IT0832A",2020-04-27,11
2020,"IT0832A",2020-04-28,12
2020,"IT0832A",2020-04-29,12
2020,"IT0832A",2020-04-30,13
2020,"IT0832A",2020-05-01,10
2020,"IT0832A",2020-05-02,12
2020,"IT0832A",2020-05-03,9
2020,"IT0832A",2020-05-04,9
2020,"IT0832A",2020-05-05,11
2020,"IT0832A",2020-05-06,10
2020,"IT0832A",2020-05-07,9
2020,"IT0832A",2020-05-08,11
2020,"IT0832A",2020-05-09,12
2020,"IT0832A",2020-05-10,12
2020,"IT0832A",2020-05-11,13
2020,"IT0832A",2020-05-12,15
2020,"IT0832A",2020-05-13,25
2020,"IT0832A",2020-05-14,45
2020,"IT0832A",2020-05-15,27
2020,"IT0832A",2020-05-16,16
2020,"IT0832A",2020-05-17,28
2020,"IT0832A",2020-05-18,37
2020,"IT0832A",2020-05-19,26
2020,"IT0832A",2020-05-20,15
2020,"IT0832A",2020-05-21,12
2020,"IT0832A",2020-05-22,18
2020,"IT0832A",2020-05-23,17
2020,"IT0832A",2020-05-24,13
2020,"IT0832A",2020-05-25,8
2020,"IT0832A",2020-05-26,8
2020,"IT0832A",2020-05-27,10
2020,"IT0832A",2020-05-29,11
2020,"IT0832A",2020-05-30,13
2020,"IT0832A",2020-05-31,13
2020,"IT0832A",2020-06-02,13
2020,"IT0832A",2020-06-03,14
2020,"IT0832A",2020-06-04,14
2020,"IT0832A",2020-06-05,19
2020,"IT0832A",2020-06-06,21
2020,"IT0832A",2020-06-07,17
2020,"IT0832A",2020-06-08,19
2020,"IT0832A",2020-06-10,18
2020,"IT0832A",2020-06-11,15
2020,"IT0832A",2020-06-12,17
2020,"IT0832A",2020-06-13,16
2020,"IT0832A",2020-06-14,11
2020,"IT0832A",2020-06-15,21
2020,"IT0832A",2020-06-16,19
2020,"IT0832A",2020-06-17,21
2020,"IT0832A",2020-06-18,21
2020,"IT0832A",2020-06-19,14
2020,"IT0832A",2020-06-20,13
2020,"IT0832A",2020-06-21,15
2020,"IT0832A",2020-06-22,16
2020,"IT0832A",2020-06-23,18
2020,"IT0832A",2020-06-24,21
2020,"IT0832A",2020-06-25,23
2020,"IT0832A",2020-06-26,23
2020,"IT0832A",2020-06-27,19
2020,"IT0832A",2020-06-28,20
2020,"IT0860A",2020-01-01,81
2020,"IT0860A",2020-01-02,60
2020,"IT0860A",2020-01-03,60
2020,"IT0860A",2020-01-04,63
2020,"IT0860A",2020-01-05,45
2020,"IT0860A",2020-01-06,38
