"reporting_year","station_eu_code","date","PM2,5"
2020,"IT0861A",2020-01-01,52
2020,"IT0861A",2020-01-02,45
2020,"IT0861A",2020-01-03,47
2020,"IT0861A",2020-01-04,53
2020,"IT0861A",2020-01-05,30
2020,"IT0861A",2020-01-06,23
2020,"IT0861A",2020-01-07,38
2020,"IT0861A",2020-01-08,33
2020,"IT0861A",2020-01-09,38
2020,"IT0861A",2020-01-10,44
2020,"IT0861A",2020-01-11,25
2020,"IT0861A",2020-01-12,20
2020,"IT0861A",2020-01-13,29
2020,"IT0861A",2020-01-14,44
2020,"IT0861A",2020-01-15,44
2020,"IT0861A",2020-01-16,35
2020,"IT0861A",2020-01-17,38
2020,"IT0861A",2020-01-18,17
2020,"IT0861A",2020-01-19,7
2020,"IT0861A",2020-01-20,7
2020,"IT0861A",2020-01-21,16
2020,"IT0861A",2020-01-22,27
2020,"IT0861A",2020-01-23,33
2020,"IT0861A",2020-01-24,41
2020,"IT0861A",2020-01-25,26
2020,"IT0861A",2020-01-26,28
2020,"IT0861A",2020-01-27,25
2020,"IT0861A",2020-01-28,8
2020,"IT0861A",2020-01-29,10
2020,"IT0861A",2020-01-30,18
2020,"IT0861A",2020-01-31,20
2020,"IT0861A",2020-02-01,14
2020,"IT0861A",2020-02-02,13
2020,"IT0861A",2020-02-03,17
2020,"IT0861A",2020-02-04,12
2020,"IT0861A",2020-02-05,8
2020,"IT0861A",2020-02-06,8
2020,"IT0861A",2020-02-07,18
2020,"IT0861A",2020-02-08,22
2020,"IT0861A",2020-02-09,34
2020,"IT0861A",2020-02-10,14
2020,"IT0861A",2020-02-11,9
2020,"IT0861A",2020-02-12,12
2020,"IT0861A",2020-02-13,11
2020,"IT0861A",2020-02-14,15
2020,"IT0861A",2020-02-15,17
2020,"IT0861A",2020-02-16,20
2020,"IT0861A",2020-02-17,19
2020,"IT0861A",2020-02-19,14
2020,"IT0861A",2020-02-20,16
2020,"IT0861A",2020-02-21,21
2020,"IT0861A",2020-02-22,25
2020,"IT0861A",2020-02-23,13
2020,"IT0861A",2020-02-24,16
2020,"IT0861A",2020-02-25,17
2020,"IT0861A",2020-02-26,9
2020,"IT0861A",2020-02-27,9
2020,"IT0861A",2020-02-28,14
2020,"IT0861A",2020-02-29,21
2020,"IT0861A",2020-03-01,7
2020,"IT0861A",2020-03-02,8
2020,"IT0861A",2020-03-03,8
2020,"IT0861A",2020-03-04,14
2020,"IT0861A",2020-03-05,13
2020,"IT0861A",2020-03-06,6
2020,"IT0861A",2020-03-07,11
2020,"IT0861A",2020-03-08,13
2020,"IT0861A",2020-03-09,16
2020,"IT0861A",2020-03-10,17
2020,"IT0861A",2020-03-11,15
2020,"IT0861A",2020-03-12,27
2020,"IT0861A",2020-03-13,15
2020,"IT0861A",2020-03-14,14
2020,"IT0861A",2020-03-15,6
2020,"IT0861A",2020-03-16,10
2020,"IT0861A",2020-03-17,15
2020,"IT0861A",2020-03-18,16
2020,"IT0861A",2020-03-19,15
2020,"IT0861A",2020-03-20,19
2020,"IT0861A",2020-03-21,19
2020,"IT0861A",2020-03-22,14
2020,"IT0861A",2020-03-23,7
2020,"IT0861A",2020-03-24,9
2020,"IT0861A",2020-03-25,8
2020,"IT0861A",2020-03-26,7
2020,"IT0861A",2020-03-27,11
2020,"IT0861A",2020-03-28,34
2020,"IT0861A",2020-03-29,15
2020,"IT0861A",2020-03-30,13
2020,"IT0861A",2020-03-31,6
2020,"IT0861A",2020-04-02,11
2020,"IT0861A",2020-04-03,12
2020,"IT0861A",2020-04-04,13
2020,"IT0861A",2020-04-05,12
2020,"IT0861A",2020-04-06,18
2020,"IT0861A",2020-04-07,18
2020,"IT0861A",2020-04-08,14
2020,"IT0861A",2020-04-09,15
2020,"IT0861A",2020-04-10,16
2020,"IT0861A",2020-04-11,14
2020,"IT0861A",2020-04-12,12
2020,"IT0861A",2020-04-13,13
2020,"IT0861A",2020-04-14,11
2020,"IT0861A",2020-04-15,6
2020,"IT0861A",2020-04-16,9
2020,"IT0861A",2020-04-17,10
2020,"IT0861A",2020-04-18,12
2020,"IT0861A",2020-04-19,14
2020,"IT0861A",2020-04-20,9
2020,"IT0861A",2020-04-22,11
2020,"IT0861A",2020-04-23,15
2020,"IT0861A",2020-04-24,16
2020,"IT0861A",2020-04-25,11
2020,"IT0861A",2020-04-26,7
2020,"IT0861A",2020-04-27,8
2020,"IT0861A",2020-04-28,7
2020,"IT0861A",2020-04-29,5
2020,"IT0861A",2020-04-30,6
2020,"IT0861A",2020-05-01,5
2020,"IT0861A",2020-05-02,6
2020,"IT0861A",2020-05-03,5
2020,"IT0861A",2020-05-04,5
2020,"IT0861A",2020-05-05,8
2020,"IT0861A",2020-05-06,8
2020,"IT0861A",2020-05-07,8
2020,"IT0861A",2020-05-08,10
2020,"IT0861A",2020-05-09,8
2020,"IT0861A",2020-05-10,9
2020,"IT0861A",2020-05-11,7
2020,"IT0861A",2020-05-12,3
2020,"IT0861A",2020-05-13,9
2020,"IT0861A",2020-05-14,15
2020,"IT0861A",2020-05-15,6
2020,"IT0861A",2020-05-16,9
2020,"IT0861A",2020-05-17,10
2020,"IT0861A",2020-05-18,13
2020,"IT0861A",2020-05-19,18
2020,"IT0861A",2020-05-20,9
2020,"IT0861A",2020-05-22,10
2020,"IT0861A",2020-05-23,9
2020,"IT0861A",2020-05-24,7
2020,"IT0861A",2020-05-25,8
2020,"IT0861A",2020-05-26,6
2020,"IT0861A",2020-05-27,5
2020,"IT0861A",2020-05-28,6
2020,"IT0861A",2020-05-29,5
2020,"IT0861A",2020-05-30,8
2020,"IT0861A",2020-05-31,8
2020,"IT0861A",2020-06-01,6
2020,"IT0861A",2020-06-02,6
2020,"IT0861A",2020-06-03,8
2020,"IT0861A",2020-06-04,9
2020,"IT0861A",2020-06-05,7
2020,"IT0861A",2020-06-06,6
2020,"IT0861A",2020-06-07,7
2020,"IT0861A",2020-06-08,7
2020,"IT0861A",2020-06-09,8
2020,"IT0861A",2020-06-10,8
2020,"IT0861A",2020-06-11,8
2020,"IT0861A",2020-06-12,8
2020,"IT0861A",2020-06-13,8
2020,"IT0861A",2020-06-14,5
2020,"IT0861A",2020-06-15,8
2020,"IT0861A",2020-06-16,9
2020,"IT0861A",2020-06-17,7
2020,"IT0861A",2020-06-18,7
2020,"IT0861A",2020-06-19,7
2020,"IT0861A",2020-06-20,7
2020,"IT0861A",2020-06-21,10
2020,"IT0861A",2020-06-22,10
2020,"IT0861A",2020-06-23,12
2020,"IT0861A",2020-06-24,12
2020,"IT0861A",2020-06-25,13
2020,"IT0861A",2020-06-26,12
2020,"IT0861A",2020-06-27,10
2020,"IT0861A",2020-06-28,11
2020,"IT0861A",2020-06-29,10
2020,"IT0861A",2020-06-30,8
2020,"IT0862A",2020-01-01,64
2020,"IT0862A",2020-01-02,40
2020,"IT0862A",2020-01-03,42
2020,"IT0862A",2020-01-04,54
2020,"IT0862A",2020-01-05,32
2020,"IT0862A",2020-01-06,24
2020,"IT0862A",2020-01-07,36
2020,"IT0862A",2020-01-08,27
2020,"IT0862A",2020-01-09,31
2020,"IT0862A",2020-01-10,39
2020,"IT0862A",2020-01-11,23
2020,"IT0862A",2020-01-12,18
2020,"IT0862A",2020-01-13,32
2020,"IT0862A",2020-01-14,49
2020,"IT0862A",2020-01-15,45
2020,"IT0862A",2020-01-16,37
2020,"IT0862A",2020-01-17,37
2020,"IT0862A",2020-01-18,11
2020,"IT0862A",2020-01-19,4
2020,"IT0862A",2020-01-20,6
2020,"IT0862A",2020-01-21,13
2020,"IT0862A",2020-01-22,28
2020,"IT0862A",2020-01-23,34
2020,"IT0862A",2020-01-24,32
2020,"IT0862A",2020-01-25,20
2020,"IT0862A",2020-01-26,26
2020,"IT0862A",2020-01-27,19
2020,"IT0862A",2020-01-28,7
2020,"IT0862A",2020-01-29,11
2020,"IT0862A",2020-01-30,18
2020,"IT0862A",2020-01-31,15
2020,"IT0862A",2020-02-01,10
2020,"IT0862A",2020-02-02,9
2020,"IT0862A",2020-02-03,12
