"reporting_year","station_eu_code","date","C6H6"
2020,"IT1180A",2020-01-01,2.515204
2020,"IT1180A",2020-01-02,2.532969
2020,"IT1180A",2020-01-03,2.661216
2020,"IT1180A",2020-01-04,2.607816
2020,"IT1180A",2020-01-05,1.081253
2020,"IT1180A",2020-01-06,0.4470564
2020,"IT1180A",2020-01-07,1.601733
2020,"IT1180A",2020-01-08,0.9587875
2020,"IT1180A",2020-01-09,2.144969
2020,"IT1180A",2020-01-10,2.558238
2020,"IT1180A",2020-01-11,1.648178
2020,"IT1180A",2020-01-12,0.8256207
2020,"IT1180A",2020-01-13,2.018143
2020,"IT1180A",2020-01-14,2.712566
2020,"IT1180A",2020-01-15,3.482392
2020,"IT1180A",2020-01-16,2.844151
2020,"IT1180A",2020-01-17,2.890861
2020,"IT1180A",2020-01-18,1.343245
2020,"IT1180A",2020-01-19,0.4261731
2020,"IT1180A",2020-01-20,0.5754515
2020,"IT1180A",2020-01-21,0.9441943
2020,"IT1180A",2020-01-22,2.297082
2020,"IT1180A",2020-01-23,3.179226
2020,"IT1180A",2020-01-24,2.371873
2020,"IT1180A",2020-01-25,1.563157
2020,"IT1180A",2020-01-26,1.725408
2020,"IT1180A",2020-01-27,1.523317
2020,"IT1180A",2020-01-28,0.2874198
2020,"IT1180A",2020-01-29,0.5921984
2020,"IT1180A",2020-01-30,0.7409703
2020,"IT1180A",2020-01-31,0.3521412
2020,"IT1180A",2020-02-01,0.691232
2020,"IT1180A",2020-02-02,0.2974395
2020,"IT1180A",2020-02-03,0.9073565
2020,"IT1180A",2020-02-04,0.4434678
2020,"IT1180A",2020-02-05,0.2630107
2020,"IT1180A",2020-02-06,0.7084342
2020,"IT1180A",2020-02-07,1.487029
2020,"IT1180A",2020-02-08,2.140809
2020,"IT1180A",2020-02-09,1.280998
2020,"IT1180A",2020-02-10,0.3002544
2020,"IT1180A",2020-02-11,0.3427576
2020,"IT1180A",2020-02-12,0.6916662
2020,"IT1180A",2020-02-13,0.5864481
2020,"IT1180A",2020-02-14,0.5822691
2020,"IT1180A",2020-02-15,1.068188
2020,"IT1180A",2020-02-16,1.580835
2020,"IT1180A",2020-02-17,1.010395
2020,"IT1180A",2020-02-18,0.934926
2020,"IT1180A",2020-02-19,0.9915313
2020,"IT1180A",2020-02-20,0.8395011
2020,"IT1180A",2020-02-21,0.8566903
2020,"IT1180A",2020-02-22,0.9710491
2020,"IT1180A",2020-02-23,1.013811
2020,"IT1180A",2020-02-24,1.110354
2020,"IT1180A",2020-02-25,0.225
2020,"IT1180A",2020-02-26,0.225
2020,"IT1180A",2020-02-27,0.3842862
2020,"IT1180A",2020-02-28,0.3078363
2020,"IT1180A",2020-02-29,0.5901635
2020,"IT1180A",2020-03-01,0.2618654
2020,"IT1180A",2020-03-02,0.225
2020,"IT1180A",2020-03-03,0.3567193
2020,"IT1180A",2020-03-04,0.5812896
2020,"IT1180A",2020-03-05,0.4426306
2020,"IT1180A",2020-03-06,0.2599354
2020,"IT1180A",2020-03-07,0.2792747
2020,"IT1180A",2020-03-09,0.586483
2020,"IT1180A",2020-03-10,0.4574873
2020,"IT1180A",2020-03-11,0.9111502
2020,"IT1180A",2020-03-12,0.6786632
2020,"IT1180A",2020-03-13,0.9297435
2020,"IT1180A",2020-03-14,0.7452831
2020,"IT1180A",2020-03-17,0.9582245
2020,"IT1180A",2020-03-18,0.4082929
2020,"IT1180A",2020-03-19,0.4678718
2020,"IT1180A",2020-03-20,0.7468508
2020,"IT1180A",2020-03-21,0.6480744
2020,"IT1180A",2020-03-22,0.3962828
2020,"IT1180A",2020-03-23,0.225
2020,"IT1180A",2020-03-24,0.3517908
2020,"IT1180A",2020-03-25,0.3841293
2020,"IT1180A",2020-03-26,0.4307084
2020,"IT1180A",2020-03-27,0.4474396
2020,"IT1180A",2020-03-28,0.5460672
2020,"IT1180A",2020-03-29,0.7003299
2020,"IT1180A",2020-03-30,0.4247075
2020,"IT1180A",2020-03-31,0.225
2020,"IT1180A",2020-04-01,0.2829943
2020,"IT1180A",2020-04-02,0.5338194
2020,"IT1180A",2020-04-03,0.4701422
2020,"IT1180A",2020-04-04,0.2358004
2020,"IT1180A",2020-04-05,0.2573668
2020,"IT1180A",2020-04-06,0.3768661
2020,"IT1180A",2020-04-07,0.3564213
2020,"IT1180A",2020-04-08,0.2998219
2020,"IT1180A",2020-04-09,0.3032137
2020,"IT1180A",2020-04-10,0.3681993
2020,"IT1180A",2020-04-11,0.2922201
2020,"IT1180A",2020-04-12,0.2479413
2020,"IT1180A",2020-04-13,0.225
2020,"IT1180A",2020-04-14,0.2565963
2020,"IT1180A",2020-04-15,0.225
2020,"IT1180A",2020-04-16,0.2649713
2020,"IT1180A",2020-04-17,0.2494227
2020,"IT1180A",2020-04-18,0.225
