"reporting_year","station_eu_code","date","SO2"
2020,"IT1180A",2020-01-01,1.842453
2020,"IT1180A",2020-01-02,2.62494
2020,"IT1180A",2020-01-03,3.005121
2020,"IT1180A",2020-01-04,3.073197
2020,"IT1180A",2020-01-05,1.969549
2020,"IT1180A",2020-01-06,1.31
2020,"IT1180A",2020-01-07,2.424682
2020,"IT1180A",2020-01-08,1.544126
2020,"IT1180A",2020-01-09,2.938545
2020,"IT1180A",2020-01-10,2.656737
2020,"IT1180A",2020-01-11,1.698454
2020,"IT1180A",2020-01-12,1.31
2020,"IT1180A",2020-01-13,2.418913
2020,"IT1180A",2020-01-14,2.206836
2020,"IT1180A",2020-01-15,2.187247
2020,"IT1180A",2020-01-16,3.070316
2020,"IT1180A",2020-01-17,2.764029
2020,"IT1180A",2020-01-18,1.381366
2020,"IT1180A",2020-01-19,1.31
2020,"IT1180A",2020-01-20,1.31
2020,"IT1180A",2020-01-21,1.31
2020,"IT1180A",2020-01-22,2.273637
2020,"IT1180A",2020-01-23,2.382564
2020,"IT1180A",2020-01-24,1.996113
2020,"IT1180A",2020-01-25,1.31
2020,"IT1180A",2020-01-26,1.526869
2020,"IT1180A",2020-01-27,1.536644
2020,"IT1180A",2020-01-28,1.31
2020,"IT1180A",2020-01-29,1.725092
2020,"IT1180A",2020-01-30,1.526505
2020,"IT1180A",2020-01-31,1.31
2020,"IT1180A",2020-02-01,1.31
2020,"IT1180A",2020-02-02,1.31
2020,"IT1180A",2020-02-03,1.511271
2020,"IT1180A",2020-02-04,1.445726
2020,"IT1180A",2020-02-05,1.31
2020,"IT1180A",2020-02-06,1.31
2020,"IT1180A",2020-02-07,1.904358
2020,"IT1180A",2020-02-08,1.679306
2020,"IT1180A",2020-02-09,1.31
2020,"IT1180A",2020-02-10,1.31
2020,"IT1180A",2020-02-11,1.459382
2020,"IT1180A",2020-02-12,1.31
2020,"IT1180A",2020-02-13,1.603948
2020,"IT1180A",2020-02-14,1.31
2020,"IT1180A",2020-02-15,1.377131
2020,"IT1180A",2020-02-16,1.31
2020,"IT1180A",2020-02-17,1.31
2020,"IT1180A",2020-02-18,1.31
2020,"IT1180A",2020-02-19,1.690222
2020,"IT1180A",2020-02-20,1.31
2020,"IT1180A",2020-02-21,1.31
2020,"IT1180A",2020-02-22,1.31
2020,"IT1180A",2020-02-23,1.31
2020,"IT1180A",2020-02-24,1.372737
2020,"IT1180A",2020-02-25,1.31
2020,"IT1180A",2020-02-26,1.31
2020,"IT1180A",2020-02-27,1.31
2020,"IT1180A",2020-02-28,1.31
2020,"IT1180A",2020-02-29,1.31
2020,"IT1180A",2020-03-01,1.31
2020,"IT1180A",2020-03-02,1.864066
2020,"IT1180A",2020-03-03,1.657173
2020,"IT1180A",2020-03-04,1.469713
2020,"IT1180A",2020-03-05,1.31
2020,"IT1180A",2020-03-06,1.31
2020,"IT1180A",2020-03-07,1.31
2020,"IT1180A",2020-03-10,5.021049
2020,"IT1180A",2020-03-11,4.978143
2020,"IT1180A",2020-03-12,4.711246
2020,"IT1180A",2020-03-13,3.621606
2020,"IT1180A",2020-03-14,2.302672
2020,"IT1180A",2020-03-15,1.31
2020,"IT1180A",2020-03-16,1.31
2020,"IT1180A",2020-03-17,1.31
2020,"IT1180A",2020-03-18,1.31
2020,"IT1180A",2020-03-19,1.31
2020,"IT1180A",2020-03-20,1.608937
