station_eu_code,p16_19,p20,Valida,pollutant_fk
IT1529A,TRUE,FALSE,FALSE,8
IT1523A,FALSE,FALSE,FALSE,8
IT1802A,FALSE,FALSE,FALSE,8
IT1676A,FALSE,TRUE,FALSE,8
IT1903A,TRUE,FALSE,FALSE,8
IT1830A,TRUE,FALSE,FALSE,8
IT0705A,FALSE,TRUE,FALSE,8
IT0707A,FALSE,TRUE,FALSE,8
IT1737A,FALSE,FALSE,FALSE,8
IT1590A,TRUE,FALSE,FALSE,8
IT0963A,TRUE,FALSE,FALSE,8
IT1222A,TRUE,FALSE,FALSE,8
IT1453A,TRUE,FALSE,FALSE,8
IT1880A,TRUE,FALSE,FALSE,8
IT1870A,TRUE,FALSE,FALSE,8
IT2071A,TRUE,FALSE,FALSE,8
IT1608A,TRUE,FALSE,FALSE,8
IT1214A,TRUE,FALSE,FALSE,8
IT0448A,TRUE,FALSE,FALSE,8
IT0469A,TRUE,FALSE,FALSE,8
IT0470A,FALSE,TRUE,FALSE,8
IT0477A,TRUE,FALSE,FALSE,8
IT0544A,TRUE,FALSE,FALSE,8
IT0663A,TRUE,FALSE,FALSE,8
IT0709A,TRUE,FALSE,FALSE,8
IT0721A,TRUE,FALSE,FALSE,8
IT0755A,FALSE,TRUE,FALSE,8
IT0804A,TRUE,FALSE,FALSE,8
IT0892A,TRUE,FALSE,FALSE,8
IT0895A,TRUE,FALSE,FALSE,8
IT0903A,TRUE,FALSE,FALSE,8
IT0940A,TRUE,FALSE,FALSE,8
IT0966A,TRUE,FALSE,FALSE,8
IT1029A,TRUE,FALSE,FALSE,8
IT1923A,FALSE,FALSE,FALSE,8
IT1043A,TRUE,FALSE,FALSE,8
IT1048A,FALSE,FALSE,FALSE,8
IT2074A,TRUE,FALSE,FALSE,8
IT1128A,TRUE,FALSE,FALSE,8
IT1153A,TRUE,FALSE,FALSE,8
IT1163A,TRUE,FALSE,FALSE,8
IT1672A,TRUE,FALSE,FALSE,8
IT1177A,TRUE,FALSE,FALSE,8
IT1204A,TRUE,FALSE,FALSE,8
IT1215A,TRUE,FALSE,FALSE,8
IT1247A,FALSE,TRUE,FALSE,8
IT1594A,TRUE,FALSE,FALSE,8
IT1596A,TRUE,FALSE,FALSE,8
IT2097A,TRUE,FALSE,FALSE,8
IT1670A,TRUE,FALSE,FALSE,8
IT1917A,TRUE,FALSE,FALSE,8
IT1743A,FALSE,TRUE,FALSE,8
IT1838A,TRUE,FALSE,FALSE,8
IT1927A,TRUE,FALSE,FALSE,8
IT1928A,TRUE,FALSE,FALSE,8
IT1878A,TRUE,FALSE,FALSE,8
IT1908A,TRUE,FALSE,FALSE,8
IT1911A,TRUE,FALSE,FALSE,8
IT2027A,FALSE,FALSE,FALSE,8
IT1915A,FALSE,TRUE,FALSE,8
IT1916A,FALSE,FALSE,FALSE,8
IT1967A,FALSE,TRUE,FALSE,8
IT1975A,TRUE,FALSE,FALSE,8
IT2072A,TRUE,FALSE,FALSE,8
IT2075A,TRUE,FALSE,FALSE,8
IT2098A,FALSE,TRUE,FALSE,8
IT1560A,FALSE,FALSE,FALSE,8
IT2140A,TRUE,FALSE,FALSE,8
IT2158A,TRUE,FALSE,FALSE,8
IT2201A,TRUE,FALSE,FALSE,8
IT2231A,TRUE,FALSE,FALSE,8
IT0957A,FALSE,TRUE,FALSE,8
IT1741A,FALSE,TRUE,FALSE,8
IT1897A,FALSE,TRUE,FALSE,8
IT1895A,FALSE,TRUE,FALSE,8
IT0505A,FALSE,TRUE,FALSE,8
IT0898A,FALSE,TRUE,FALSE,8
IT0934A,FALSE,TRUE,FALSE,8
IT0936A,FALSE,TRUE,FALSE,8
IT1486A,FALSE,FALSE,FALSE,8
IT1487A,FALSE,TRUE,FALSE,8
IT1488A,FALSE,TRUE,FALSE,8
IT1491A,FALSE,TRUE,FALSE,8
IT1493A,FALSE,TRUE,FALSE,8
IT1504A,FALSE,TRUE,FALSE,8
IT2210A,FALSE,TRUE,FALSE,8
IT2211A,FALSE,TRUE,FALSE,8
IT2212A,FALSE,TRUE,FALSE,8
IT2213A,FALSE,TRUE,FALSE,8
IT2214A,FALSE,TRUE,FALSE,8
IT2215A,FALSE,TRUE,FALSE,8
IT2216A,FALSE,TRUE,FALSE,8
IT2217A,FALSE,TRUE,FALSE,8
IT2218A,FALSE,TRUE,FALSE,8
IT2219A,FALSE,TRUE,FALSE,8
IT2226A,FALSE,TRUE,FALSE,8
IT2227A,FALSE,TRUE,FALSE,8
IT2228A,FALSE,TRUE,FALSE,8
IT2268A,FALSE,TRUE,FALSE,8
IT2269A,FALSE,TRUE,FALSE,8
IT2270A,FALSE,FALSE,FALSE,8
IT2271A,FALSE,TRUE,FALSE,8
IT2013A,FALSE,TRUE,FALSE,8
IT2248A,FALSE,TRUE,FALSE,8
IT2249A,FALSE,TRUE,FALSE,8
IT2250A,FALSE,TRUE,FALSE,8
IT1804A,FALSE,FALSE,FALSE,8
IT2251A,FALSE,TRUE,FALSE,8
IT2252A,FALSE,TRUE,FALSE,8
IT2253A,FALSE,TRUE,FALSE,8
IT2254A,FALSE,TRUE,FALSE,8
IT1863A,FALSE,FALSE,FALSE,8
IT2255A,FALSE,TRUE,FALSE,8
IT2257A,FALSE,TRUE,FALSE,8
IT1798A,FALSE,FALSE,FALSE,8
IT1800A,TRUE,FALSE,FALSE,8
IT1801A,TRUE,FALSE,FALSE,8
IT1806A,FALSE,FALSE,FALSE,8
IT1962A,TRUE,FALSE,FALSE,8
IT1607A,FALSE,TRUE,FALSE,8
IT1660A,FALSE,TRUE,FALSE,8
IT1704A,FALSE,TRUE,FALSE,8
IT2149A,FALSE,FALSE,FALSE,8
IT2150A,FALSE,TRUE,FALSE,8
IT2151A,FALSE,TRUE,FALSE,8
IT2059A,FALSE,TRUE,FALSE,8
IT1375A,FALSE,TRUE,FALSE,8
IT1947A,FALSE,FALSE,FALSE,8
IT1383A,FALSE,TRUE,FALSE,8
IT2242A,FALSE,TRUE,FALSE,8
