station_eu_code,p16_19,p20,Valida,pollutant_fk
IT0865A,FALSE,TRUE,FALSE,9
IT1375A,FALSE,TRUE,FALSE,9
IT1453A,TRUE,FALSE,FALSE,9
IT1560A,FALSE,FALSE,FALSE,9
IT1596A,TRUE,FALSE,FALSE,9
IT1672A,TRUE,FALSE,FALSE,9
IT0505A,FALSE,TRUE,FALSE,9
IT1911A,TRUE,FALSE,FALSE,9
IT0957A,FALSE,TRUE,FALSE,9
IT2013A,FALSE,TRUE,FALSE,9
IT1798A,FALSE,FALSE,FALSE,9
IT1799A,FALSE,TRUE,FALSE,9
IT1800A,TRUE,FALSE,FALSE,9
IT1801A,TRUE,FALSE,FALSE,9
IT1802A,FALSE,FALSE,FALSE,9
IT1804A,FALSE,FALSE,FALSE,9
IT1806A,FALSE,FALSE,FALSE,9
IT1863A,FALSE,FALSE,FALSE,9
IT1962A,TRUE,FALSE,FALSE,9
IT2059A,FALSE,TRUE,FALSE,9
IT1947A,FALSE,FALSE,FALSE,9
IT1383A,FALSE,TRUE,FALSE,9
IT2242A,FALSE,TRUE,FALSE,9
IT0448A,TRUE,FALSE,FALSE,9
IT0663A,TRUE,FALSE,FALSE,9
IT0963A,TRUE,FALSE,FALSE,9
IT1177A,TRUE,FALSE,FALSE,9
IT1214A,TRUE,FALSE,FALSE,9
IT1215A,TRUE,FALSE,FALSE,9
IT1222A,TRUE,FALSE,FALSE,9
IT1590A,TRUE,FALSE,FALSE,9
IT1594A,TRUE,FALSE,FALSE,9
IT1838A,TRUE,FALSE,FALSE,9
IT1862A,TRUE,FALSE,FALSE,9
IT1870A,TRUE,FALSE,FALSE,9
IT1880A,TRUE,FALSE,FALSE,9
IT1915A,FALSE,TRUE,FALSE,9
IT1927A,TRUE,FALSE,FALSE,9
IT2027A,FALSE,FALSE,FALSE,9
IT2071A,TRUE,FALSE,FALSE,9
IT2072A,TRUE,FALSE,FALSE,9
IT2074A,TRUE,FALSE,FALSE,9
IT2097A,TRUE,FALSE,FALSE,9
IT2158A,TRUE,FALSE,FALSE,9
IT2231A,TRUE,FALSE,FALSE,9
