station_eu_code,p16_19,p20,Valida,pollutant_fk
IT0703A,TRUE,TRUE,TRUE,5
IT0753A,TRUE,TRUE,TRUE,5
IT0591A,TRUE,TRUE,TRUE,5
IT1037A,TRUE,TRUE,TRUE,5
IT1859A,TRUE,TRUE,TRUE,5
IT1336A,TRUE,TRUE,TRUE,5
IT2243A,TRUE,TRUE,TRUE,5
IT0663A,TRUE,TRUE,TRUE,5
IT1177A,TRUE,TRUE,TRUE,5
IT1594A,TRUE,TRUE,TRUE,5
IT1590A,TRUE,TRUE,TRUE,5
IT1596A,TRUE,TRUE,TRUE,5
IT2231A,TRUE,TRUE,TRUE,5
IT0963A,TRUE,TRUE,TRUE,5
IT0448A,TRUE,TRUE,TRUE,5
IT1453A,TRUE,TRUE,TRUE,5
IT1880A,TRUE,TRUE,TRUE,5
IT1870A,TRUE,TRUE,TRUE,5
IT1215A,TRUE,TRUE,TRUE,5
IT0966A,TRUE,TRUE,TRUE,5
IT1170A,TRUE,TRUE,TRUE,5
IT2140A,TRUE,TRUE,TRUE,5
IT1112A,TRUE,TRUE,TRUE,5
IT2115A,TRUE,TRUE,TRUE,5
IT2201A,TRUE,TRUE,TRUE,5
IT0544A,TRUE,TRUE,TRUE,5
IT1923A,TRUE,TRUE,TRUE,5
IT1975A,TRUE,TRUE,TRUE,5
IT2074A,TRUE,TRUE,TRUE,5
IT0804A,TRUE,TRUE,TRUE,5
IT1105A,TRUE,TRUE,TRUE,5
IT1910A,TRUE,TRUE,TRUE,5
IT1911A,TRUE,TRUE,TRUE,5
IT0903A,TRUE,TRUE,TRUE,5
IT0940A,TRUE,TRUE,TRUE,5
IT1672A,TRUE,TRUE,TRUE,5
IT1914A,TRUE,TRUE,TRUE,5
IT2156A,TRUE,TRUE,TRUE,5
IT1152A,TRUE,TRUE,TRUE,5
IT0721A,TRUE,TRUE,TRUE,5
IT1771A,TRUE,TRUE,TRUE,5
IT1920A,TRUE,TRUE,TRUE,5
IT1921A,TRUE,TRUE,TRUE,5
IT2073A,TRUE,TRUE,TRUE,5
IT1029A,TRUE,TRUE,TRUE,5
IT1159A,TRUE,TRUE,TRUE,5
IT1163A,TRUE,TRUE,TRUE,5
IT1451A,TRUE,TRUE,TRUE,5
IT2075A,TRUE,TRUE,TRUE,5
IT2097A,TRUE,TRUE,TRUE,5
IT0187A,TRUE,TRUE,TRUE,5
IT1179A,TRUE,TRUE,TRUE,5
IT1918A,TRUE,TRUE,TRUE,5
IT1204A,TRUE,TRUE,TRUE,5
IT0895A,TRUE,TRUE,TRUE,5
IT1928A,TRUE,TRUE,TRUE,5
IT2209A,TRUE,TRUE,TRUE,5
IT1043A,TRUE,TRUE,TRUE,5
IT1044A,TRUE,TRUE,TRUE,5
IT1048A,TRUE,TRUE,TRUE,5
IT0755A,TRUE,TRUE,TRUE,5
IT1670A,TRUE,TRUE,TRUE,5
IT1908A,TRUE,TRUE,TRUE,5
IT2027A,TRUE,TRUE,TRUE,5
IT1916A,TRUE,TRUE,TRUE,5
IT2158A,TRUE,TRUE,TRUE,5
IT0983A,TRUE,TRUE,TRUE,5
IT0988A,TRUE,TRUE,TRUE,5
IT1588A,TRUE,TRUE,TRUE,5
IT0776A,TRUE,TRUE,TRUE,5
IT0906A,TRUE,TRUE,TRUE,5
IT1967A,TRUE,TRUE,TRUE,5
IT1016A,TRUE,TRUE,TRUE,5
IT0705A,TRUE,TRUE,TRUE,5
IT1692A,TRUE,TRUE,TRUE,5
IT1743A,TRUE,TRUE,TRUE,5
IT0997A,TRUE,TRUE,TRUE,5
IT0594A,TRUE,TRUE,TRUE,5
IT0912A,TRUE,TRUE,TRUE,5
IT1104A,TRUE,TRUE,TRUE,5
IT1153A,TRUE,TRUE,TRUE,5
IT1739A,TRUE,TRUE,TRUE,5
IT0709A,TRUE,TRUE,TRUE,5
IT1869A,TRUE,TRUE,TRUE,5
IT1286A,TRUE,TRUE,TRUE,5
IT1965A,TRUE,TRUE,TRUE,5
IT2233A,TRUE,TRUE,TRUE,5
